cell,species,Landuse
7594074,Acer platanoides,ForestDryPoor
7594075,Acer platanoides,ForestDryPoor
7594076,Acer platanoides,ForestDryPoor
7594077,Acer platanoides,ForestDryPoor
7594078,Acer platanoides,ForestDryPoor
7596766,Acer platanoides,ForestDryPoor
7596767,Acer platanoides,ForestDryPoor
7596768,Acer platanoides,ForestDryPoor
7596769,Acer platanoides,ForestDryPoor
7596770,Acer platanoides,ForestDryPoor
7596771,Acer platanoides,ForestDryPoor
7596772,Acer platanoides,ForestDryPoor
7596773,Acer platanoides,ForestDryPoor
7596774,Acer platanoides,ForestDryPoor
7596775,Acer platanoides,ForestDryPoor
7596776,Acer platanoides,ForestDryPoor
7596777,Acer platanoides,ForestDryPoor
7596778,Acer platanoides,ForestDryPoor
7596779,Acer platanoides,ForestDryPoor
7596780,Acer platanoides,ForestDryPoor
7596781,Acer platanoides,ForestDryPoor
7596782,Acer platanoides,ForestDryPoor
7596783,Acer platanoides,ForestDryPoor
7596784,Acer platanoides,ForestDryPoor
7596785,Acer platanoides,ForestDryPoor
7599462,Acer platanoides,ForestDryPoor
7599463,Acer platanoides,ForestDryPoor
7599464,Acer platanoides,ForestDryPoor
7599465,Acer platanoides,ForestDryPoor
7599466,Acer platanoides,ForestDryPoor
7599467,Acer platanoides,ForestDryPoor
7599468,Acer platanoides,ForestDryPoor
7599469,Acer platanoides,ForestDryPoor
7599470,Acer platanoides,ForestDryPoor
7599471,Acer platanoides,ForestDryPoor
7599472,Acer platanoides,ForestDryPoor
7599473,Acer platanoides,ForestDryPoor
7599474,Acer platanoides,ForestDryPoor
7599475,Acer platanoides,ForestDryPoor
7599476,Acer platanoides,ForestDryPoor
7599477,Acer platanoides,ForestDryPoor
7599478,Acer platanoides,ForestDryPoor
7599479,Acer platanoides,ForestDryPoor
7599480,Acer platanoides,ForestDryPoor
7599481,Acer platanoides,ForestDryPoor
7599482,Acer platanoides,ForestDryPoor
7599483,Acer platanoides,ForestDryPoor
7599484,Acer platanoides,ForestDryPoor
7599485,Acer platanoides,ForestDryPoor
7599486,Acer platanoides,ForestDryPoor
7599487,Acer platanoides,ForestDryPoor
7599488,Acer platanoides,ForestDryPoor
7599489,Acer platanoides,ForestDryPoor
7599490,Acer platanoides,ForestDryPoor
7602159,Acer platanoides,ForestDryPoor
7602160,Acer platanoides,ForestDryPoor
7602161,Acer platanoides,ForestDryPoor
7602162,Acer platanoides,ForestDryPoor
7602163,Acer platanoides,ForestDryPoor
7602164,Acer platanoides,ForestDryPoor
7602165,Acer platanoides,ForestDryPoor
7602166,Acer platanoides,ForestDryPoor
7602167,Acer platanoides,ForestDryPoor
7602168,Acer platanoides,ForestDryPoor
7602169,Acer platanoides,ForestDryPoor
7602170,Acer platanoides,ForestDryPoor
7602171,Acer platanoides,ForestDryPoor
7602172,Acer platanoides,ForestDryPoor
7602173,Acer platanoides,ForestDryPoor
7602174,Acer platanoides,ForestDryPoor
7602175,Acer platanoides,ForestDryPoor
7602176,Acer platanoides,ForestDryPoor
7602177,Acer platanoides,ForestDryPoor
7602178,Acer platanoides,ForestDryPoor
7602179,Acer platanoides,ForestDryPoor
7602180,Acer platanoides,ForestDryPoor
7602181,Acer platanoides,ForestDryPoor
7602182,Acer platanoides,ForestDryPoor
7602183,Acer platanoides,ForestDryPoor
7602184,Acer platanoides,ForestDryPoor
7602185,Acer platanoides,ForestDryPoor
7602186,Acer platanoides,ForestDryPoor
7602187,Acer platanoides,ForestDryPoor
7602188,Acer platanoides,ForestDryPoor
7602189,Acer platanoides,ForestDryPoor
7602190,Acer platanoides,ForestDryPoor
7602191,Acer platanoides,ForestDryPoor
7602192,Acer platanoides,ForestDryPoor
7604857,Acer platanoides,ForestDryPoor
7604858,Acer platanoides,ForestDryPoor
7604859,Acer platanoides,ForestDryPoor
7604860,Acer platanoides,ForestDryPoor
7604861,Acer platanoides,ForestDryPoor
7604862,Acer platanoides,ForestDryPoor
7604863,Acer platanoides,ForestDryPoor
7604864,Acer platanoides,ForestDryPoor
7604865,Acer platanoides,ForestDryPoor
7604866,Acer platanoides,ForestDryPoor
7604867,Acer platanoides,ForestDryPoor
7604868,Acer platanoides,ForestDryPoor
7604869,Acer platanoides,ForestDryPoor
7604870,Acer platanoides,ForestDryPoor
7604871,Acer platanoides,ForestDryPoor
7604872,Acer platanoides,ForestDryPoor
7604873,Acer platanoides,ForestDryPoor
7604874,Acer platanoides,ForestDryPoor
7604875,Acer platanoides,ForestDryPoor
7604876,Acer platanoides,ForestDryPoor
7604877,Acer platanoides,ForestDryPoor
7604878,Acer platanoides,ForestDryPoor
7604879,Acer platanoides,ForestDryPoor
7604880,Acer platanoides,ForestDryPoor
7604881,Acer platanoides,ForestDryPoor
7604882,Acer platanoides,ForestDryPoor
7604883,Acer platanoides,ForestDryPoor
7604884,Acer platanoides,ForestDryPoor
7604885,Acer platanoides,ForestDryPoor
7604886,Acer platanoides,ForestDryPoor
7604887,Acer platanoides,ForestDryPoor
7604888,Acer platanoides,ForestDryPoor
7604889,Acer platanoides,ForestDryPoor
7604890,Acer platanoides,ForestDryPoor
7604891,Acer platanoides,ForestDryPoor
7604892,Acer platanoides,ForestDryPoor
7604893,Acer platanoides,ForestDryPoor
7604894,Acer platanoides,ForestDryPoor
7604895,Acer platanoides,ForestDryPoor
7607554,Acer platanoides,ForestDryPoor
7607555,Acer platanoides,ForestDryPoor
7607556,Acer platanoides,ForestDryPoor
7607557,Acer platanoides,ForestDryPoor
7607558,Acer platanoides,ForestDryPoor
7607559,Acer platanoides,ForestDryPoor
7607560,Acer platanoides,ForestDryPoor
7607561,Acer platanoides,ForestDryPoor
7607562,Acer platanoides,ForestDryPoor
7607563,Acer platanoides,ForestDryPoor
7607564,Acer platanoides,ForestDryPoor
7607565,Acer platanoides,ForestDryPoor
7607566,Acer platanoides,ForestDryPoor
7607567,Acer platanoides,ForestDryPoor
7607568,Acer platanoides,ForestDryPoor
7607569,Acer platanoides,ForestDryPoor
7607570,Acer platanoides,ForestDryPoor
7607571,Acer platanoides,ForestDryPoor
7607572,Acer platanoides,ForestDryPoor
7607573,Acer platanoides,ForestDryPoor
7607574,Acer platanoides,ForestDryPoor
7607575,Acer platanoides,ForestDryPoor
7607576,Acer platanoides,ForestDryPoor
7607577,Acer platanoides,ForestDryPoor
7607578,Acer platanoides,ForestDryPoor
7607579,Acer platanoides,ForestDryPoor
7607580,Acer platanoides,ForestDryPoor
7607581,Acer platanoides,ForestDryPoor
7607582,Acer platanoides,ForestDryPoor
7607583,Acer platanoides,ForestDryPoor
7607584,Acer platanoides,ForestDryPoor
7607585,Acer platanoides,ForestDryPoor
7607586,Acer platanoides,ForestDryPoor
7607587,Acer platanoides,ForestDryPoor
7607588,Acer platanoides,ForestDryPoor
7607589,Acer platanoides,ForestDryPoor
7607590,Acer platanoides,ForestDryPoor
7607591,Acer platanoides,ForestDryPoor
7607592,Acer platanoides,ForestDryPoor
7607593,Acer platanoides,ForestDryPoor
7607594,Acer platanoides,ForestDryPoor
7607595,Acer platanoides,ForestDryPoor
7607596,Acer platanoides,ForestDryPoor
7607597,Acer platanoides,ForestDryPoor
7610252,Acer platanoides,ForestDryPoor
7610253,Acer platanoides,ForestDryPoor
7610254,Acer platanoides,ForestDryPoor
7610255,Acer platanoides,ForestDryPoor
7610256,Acer platanoides,ForestDryPoor
7610257,Acer platanoides,ForestDryPoor
7610258,Acer platanoides,ForestDryPoor
7610259,Acer platanoides,ForestDryPoor
7610260,Acer platanoides,ForestDryPoor
7610261,Acer platanoides,ForestDryPoor
7610262,Acer platanoides,ForestDryPoor
7610263,Acer platanoides,ForestDryPoor
7610264,Acer platanoides,ForestDryPoor
7610265,Acer platanoides,ForestDryPoor
7610266,Acer platanoides,ForestDryPoor
7610267,Acer platanoides,ForestDryPoor
7610268,Acer platanoides,ForestDryPoor
7610269,Acer platanoides,ForestDryPoor
7610270,Acer platanoides,ForestDryPoor
7610271,Acer platanoides,ForestDryPoor
7610272,Acer platanoides,ForestDryPoor
7610273,Acer platanoides,ForestDryPoor
7610274,Acer platanoides,ForestDryPoor
7610275,Acer platanoides,ForestDryPoor
7610276,Acer platanoides,ForestDryPoor
7610277,Acer platanoides,ForestDryPoor
7610278,Acer platanoides,ForestDryPoor
7610279,Acer platanoides,ForestDryPoor
7610280,Acer platanoides,ForestDryPoor
7610281,Acer platanoides,ForestDryPoor
7610282,Acer platanoides,ForestDryPoor
7610283,Acer platanoides,ForestDryPoor
7610284,Acer platanoides,ForestDryPoor
7610285,Acer platanoides,ForestDryPoor
7610286,Acer platanoides,ForestDryPoor
7610287,Acer platanoides,ForestDryPoor
7610288,Acer platanoides,ForestDryPoor
7610289,Acer platanoides,ForestDryPoor
7610290,Acer platanoides,ForestDryPoor
7610291,Acer platanoides,ForestDryPoor
7610292,Acer platanoides,ForestDryPoor
7610293,Acer platanoides,ForestDryPoor
7610294,Acer platanoides,ForestDryPoor
7610295,Acer platanoides,ForestDryPoor
7610296,Acer platanoides,ForestDryPoor
7610297,Acer platanoides,ForestDryPoor
7610298,Acer platanoides,ForestDryPoor
7610299,Acer platanoides,ForestDryPoor
7612951,Acer platanoides,ForestDryPoor
7612952,Acer platanoides,ForestDryPoor
7612953,Acer platanoides,ForestDryPoor
7612954,Acer platanoides,ForestDryPoor
7612955,Acer platanoides,ForestDryPoor
7612956,Acer platanoides,ForestDryPoor
7612957,Acer platanoides,ForestDryPoor
7612958,Acer platanoides,ForestDryPoor
7612959,Acer platanoides,ForestDryPoor
7612960,Acer platanoides,ForestDryPoor
7612961,Acer platanoides,ForestDryPoor
7612962,Acer platanoides,ForestDryPoor
7612963,Acer platanoides,ForestDryPoor
7612964,Acer platanoides,ForestDryPoor
7612965,Acer platanoides,ForestDryPoor
7612966,Acer platanoides,ForestDryPoor
7612967,Acer platanoides,ForestDryPoor
7612968,Acer platanoides,ForestDryPoor
7612969,Acer platanoides,ForestDryPoor
7612970,Acer platanoides,ForestDryPoor
7612971,Acer platanoides,ForestDryPoor
7612972,Acer platanoides,ForestDryPoor
