cell,species,Landuse
7358998,Alisma plantago-aquatica,ForestDryPoor
7358999,Alisma plantago-aquatica,ForestDryPoor
7359000,Alisma plantago-aquatica,ForestDryPoor
7361696,Alisma plantago-aquatica,ForestDryPoor
7361697,Alisma plantago-aquatica,ForestDryPoor
7361698,Alisma plantago-aquatica,ForestDryPoor
7361699,Alisma plantago-aquatica,ForestDryPoor
7361700,Alisma plantago-aquatica,ForestDryPoor
7364393,Alisma plantago-aquatica,ForestDryPoor
7364394,Alisma plantago-aquatica,ForestDryPoor
7364395,Alisma plantago-aquatica,ForestDryPoor
7364396,Alisma plantago-aquatica,ForestDryPoor
7364397,Alisma plantago-aquatica,ForestDryPoor
7364398,Alisma plantago-aquatica,ForestDryPoor
7364399,Alisma plantago-aquatica,ForestDryPoor
7364400,Alisma plantago-aquatica,ForestDryPoor
7367091,Alisma plantago-aquatica,ForestDryPoor
7367092,Alisma plantago-aquatica,ForestDryPoor
7367093,Alisma plantago-aquatica,ForestDryPoor
7367094,Alisma plantago-aquatica,ForestDryPoor
7367095,Alisma plantago-aquatica,ForestDryPoor
7367096,Alisma plantago-aquatica,ForestDryPoor
7367097,Alisma plantago-aquatica,ForestDryPoor
7367098,Alisma plantago-aquatica,ForestDryPoor
7367099,Alisma plantago-aquatica,ForestDryPoor
7367100,Alisma plantago-aquatica,ForestDryPoor
7369789,Alisma plantago-aquatica,ForestDryPoor
7369790,Alisma plantago-aquatica,ForestDryPoor
7369791,Alisma plantago-aquatica,ForestDryPoor
7369792,Alisma plantago-aquatica,ForestDryPoor
7369793,Alisma plantago-aquatica,ForestDryPoor
7369794,Alisma plantago-aquatica,ForestDryPoor
7369795,Alisma plantago-aquatica,ForestDryPoor
7369796,Alisma plantago-aquatica,ForestDryPoor
7369797,Alisma plantago-aquatica,ForestDryPoor
7369798,Alisma plantago-aquatica,ForestDryPoor
7369799,Alisma plantago-aquatica,ForestDryPoor
7369800,Alisma plantago-aquatica,ForestDryPoor
7372488,Alisma plantago-aquatica,ForestDryPoor
7372489,Alisma plantago-aquatica,ForestDryPoor
7372490,Alisma plantago-aquatica,ForestDryPoor
7372491,Alisma plantago-aquatica,ForestDryPoor
7372492,Alisma plantago-aquatica,ForestDryPoor
7372493,Alisma plantago-aquatica,ForestDryPoor
7372494,Alisma plantago-aquatica,ForestDryPoor
7372495,Alisma plantago-aquatica,ForestDryPoor
7372496,Alisma plantago-aquatica,ForestDryPoor
7372497,Alisma plantago-aquatica,ForestDryPoor
7372498,Alisma plantago-aquatica,ForestDryPoor
7372499,Alisma plantago-aquatica,ForestDryPoor
7372500,Alisma plantago-aquatica,ForestDryPoor
7375186,Alisma plantago-aquatica,ForestDryPoor
7375187,Alisma plantago-aquatica,ForestDryPoor
7375188,Alisma plantago-aquatica,ForestDryPoor
7375189,Alisma plantago-aquatica,ForestDryPoor
7375190,Alisma plantago-aquatica,ForestDryPoor
7375191,Alisma plantago-aquatica,ForestDryPoor
7375192,Alisma plantago-aquatica,ForestDryPoor
7375193,Alisma plantago-aquatica,ForestDryPoor
7375194,Alisma plantago-aquatica,ForestDryPoor
7375195,Alisma plantago-aquatica,ForestDryPoor
7375196,Alisma plantago-aquatica,ForestDryPoor
7375197,Alisma plantago-aquatica,ForestDryPoor
7375198,Alisma plantago-aquatica,ForestDryPoor
7375199,Alisma plantago-aquatica,ForestDryPoor
7375200,Alisma plantago-aquatica,ForestDryPoor
7375241,Alisma plantago-aquatica,ForestDryPoor
7377885,Alisma plantago-aquatica,ForestDryPoor
7377886,Alisma plantago-aquatica,ForestDryPoor
7377887,Alisma plantago-aquatica,ForestDryPoor
7377888,Alisma plantago-aquatica,ForestDryPoor
7377889,Alisma plantago-aquatica,ForestDryPoor
7377890,Alisma plantago-aquatica,ForestDryPoor
7377891,Alisma plantago-aquatica,ForestDryPoor
7377892,Alisma plantago-aquatica,ForestDryPoor
7377893,Alisma plantago-aquatica,ForestDryPoor
7377894,Alisma plantago-aquatica,ForestDryPoor
7377895,Alisma plantago-aquatica,ForestDryPoor
7377896,Alisma plantago-aquatica,ForestDryPoor
7377897,Alisma plantago-aquatica,ForestDryPoor
7377898,Alisma plantago-aquatica,ForestDryPoor
7377899,Alisma plantago-aquatica,ForestDryPoor
7377900,Alisma plantago-aquatica,ForestDryPoor
7377941,Alisma plantago-aquatica,ForestDryPoor
7377942,Alisma plantago-aquatica,ForestDryPoor
7380583,Alisma plantago-aquatica,ForestDryPoor
7380584,Alisma plantago-aquatica,ForestDryPoor
7380585,Alisma plantago-aquatica,ForestDryPoor
7380586,Alisma plantago-aquatica,ForestDryPoor
7380587,Alisma plantago-aquatica,ForestDryPoor
7380588,Alisma plantago-aquatica,ForestDryPoor
7380589,Alisma plantago-aquatica,ForestDryPoor
7380590,Alisma plantago-aquatica,ForestDryPoor
7380591,Alisma plantago-aquatica,ForestDryPoor
7380592,Alisma plantago-aquatica,ForestDryPoor
7380593,Alisma plantago-aquatica,ForestDryPoor
7380594,Alisma plantago-aquatica,ForestDryPoor
7380595,Alisma plantago-aquatica,ForestDryPoor
7380596,Alisma plantago-aquatica,ForestDryPoor
7380597,Alisma plantago-aquatica,ForestDryPoor
7380598,Alisma plantago-aquatica,ForestDryPoor
7380599,Alisma plantago-aquatica,ForestDryPoor
7380600,Alisma plantago-aquatica,ForestDryPoor
7380641,Alisma plantago-aquatica,ForestDryPoor
7380642,Alisma plantago-aquatica,ForestDryPoor
7380643,Alisma plantago-aquatica,ForestDryPoor
7380644,Alisma plantago-aquatica,ForestDryPoor
7383282,Alisma plantago-aquatica,ForestDryPoor
7383283,Alisma plantago-aquatica,ForestDryPoor
7383284,Alisma plantago-aquatica,ForestDryPoor
7383285,Alisma plantago-aquatica,ForestDryPoor
7383286,Alisma plantago-aquatica,ForestDryPoor
7383287,Alisma plantago-aquatica,ForestDryPoor
7383288,Alisma plantago-aquatica,ForestDryPoor
7383289,Alisma plantago-aquatica,ForestDryPoor
7383290,Alisma plantago-aquatica,ForestDryPoor
7383291,Alisma plantago-aquatica,ForestDryPoor
7383292,Alisma plantago-aquatica,ForestDryPoor
7383293,Alisma plantago-aquatica,ForestDryPoor
7383294,Alisma plantago-aquatica,ForestDryPoor
7383295,Alisma plantago-aquatica,ForestDryPoor
7383296,Alisma plantago-aquatica,ForestDryPoor
7383297,Alisma plantago-aquatica,ForestDryPoor
7383298,Alisma plantago-aquatica,ForestDryPoor
7383299,Alisma plantago-aquatica,ForestDryPoor
7383300,Alisma plantago-aquatica,ForestDryPoor
7383341,Alisma plantago-aquatica,ForestDryPoor
7383342,Alisma plantago-aquatica,ForestDryPoor
7383343,Alisma plantago-aquatica,ForestDryPoor
7383344,Alisma plantago-aquatica,ForestDryPoor
7383345,Alisma plantago-aquatica,ForestDryPoor
7385981,Alisma plantago-aquatica,ForestDryPoor
7385982,Alisma plantago-aquatica,ForestDryPoor
7385983,Alisma plantago-aquatica,ForestDryPoor
7385984,Alisma plantago-aquatica,ForestDryPoor
7385985,Alisma plantago-aquatica,ForestDryPoor
7385986,Alisma plantago-aquatica,ForestDryPoor
7385987,Alisma plantago-aquatica,ForestDryPoor
7385988,Alisma plantago-aquatica,ForestDryPoor
7385989,Alisma plantago-aquatica,ForestDryPoor
7385990,Alisma plantago-aquatica,ForestDryPoor
7385991,Alisma plantago-aquatica,ForestDryPoor
7385992,Alisma plantago-aquatica,ForestDryPoor
7385993,Alisma plantago-aquatica,ForestDryPoor
7385994,Alisma plantago-aquatica,ForestDryPoor
7385995,Alisma plantago-aquatica,ForestDryPoor
7385996,Alisma plantago-aquatica,ForestDryPoor
7385997,Alisma plantago-aquatica,ForestDryPoor
7385998,Alisma plantago-aquatica,ForestDryPoor
7385999,Alisma plantago-aquatica,ForestDryPoor
7386000,Alisma plantago-aquatica,ForestDryPoor
7386041,Alisma plantago-aquatica,ForestDryPoor
7386042,Alisma plantago-aquatica,ForestDryPoor
7386043,Alisma plantago-aquatica,ForestDryPoor
7386044,Alisma plantago-aquatica,ForestDryPoor
7386045,Alisma plantago-aquatica,ForestDryPoor
7386046,Alisma plantago-aquatica,ForestDryPoor
7388681,Alisma plantago-aquatica,ForestDryPoor
7388682,Alisma plantago-aquatica,ForestDryPoor
7388683,Alisma plantago-aquatica,ForestDryPoor
7388684,Alisma plantago-aquatica,ForestDryPoor
7388685,Alisma plantago-aquatica,ForestDryPoor
7388686,Alisma plantago-aquatica,ForestDryPoor
7388687,Alisma plantago-aquatica,ForestDryPoor
7388688,Alisma plantago-aquatica,ForestDryPoor
7388689,Alisma plantago-aquatica,ForestDryPoor
7388690,Alisma plantago-aquatica,ForestDryPoor
7388691,Alisma plantago-aquatica,ForestDryPoor
7388692,Alisma plantago-aquatica,ForestDryPoor
7388693,Alisma plantago-aquatica,ForestDryPoor
7388694,Alisma plantago-aquatica,ForestDryPoor
7388695,Alisma plantago-aquatica,ForestDryPoor
7388696,Alisma plantago-aquatica,ForestDryPoor
7388697,Alisma plantago-aquatica,ForestDryPoor
7388698,Alisma plantago-aquatica,ForestDryPoor
7388699,Alisma plantago-aquatica,ForestDryPoor
7388700,Alisma plantago-aquatica,ForestDryPoor
7388741,Alisma plantago-aquatica,ForestDryPoor
7388742,Alisma plantago-aquatica,ForestDryPoor
7388743,Alisma plantago-aquatica,ForestDryPoor
7388744,Alisma plantago-aquatica,ForestDryPoor
7388745,Alisma plantago-aquatica,ForestDryPoor
7388746,Alisma plantago-aquatica,ForestDryPoor
7388747,Alisma plantago-aquatica,ForestDryPoor
7391381,Alisma plantago-aquatica,ForestDryPoor
7391382,Alisma plantago-aquatica,ForestDryPoor
7391383,Alisma plantago-aquatica,ForestDryPoor
7391384,Alisma plantago-aquatica,ForestDryPoor
7391385,Alisma plantago-aquatica,ForestDryPoor
7391386,Alisma plantago-aquatica,ForestDryPoor
7391387,Alisma plantago-aquatica,ForestDryPoor
7391388,Alisma plantago-aquatica,ForestDryPoor
7391389,Alisma plantago-aquatica,ForestDryPoor
7391390,Alisma plantago-aquatica,ForestDryPoor
7391391,Alisma plantago-aquatica,ForestDryPoor
7391392,Alisma plantago-aquatica,ForestDryPoor
7391393,Alisma plantago-aquatica,ForestDryPoor
7391394,Alisma plantago-aquatica,ForestDryPoor
7391395,Alisma plantago-aquatica,ForestDryPoor
7391396,Alisma plantago-aquatica,ForestDryPoor
7391397,Alisma plantago-aquatica,ForestDryPoor
7391398,Alisma plantago-aquatica,ForestDryPoor
7391399,Alisma plantago-aquatica,ForestDryPoor
7391400,Alisma plantago-aquatica,ForestDryPoor
7391441,Alisma plantago-aquatica,ForestDryPoor
7391442,Alisma plantago-aquatica,ForestDryPoor
7391443,Alisma plantago-aquatica,ForestDryPoor
7391444,Alisma plantago-aquatica,ForestDryPoor
7391445,Alisma plantago-aquatica,ForestDryPoor
7391446,Alisma plantago-aquatica,ForestDryPoor
7391447,Alisma plantago-aquatica,ForestDryPoor
7391448,Alisma plantago-aquatica,ForestDryPoor
7394081,Alisma plantago-aquatica,ForestDryPoor
7394082,Alisma plantago-aquatica,ForestDryPoor
7394083,Alisma plantago-aquatica,ForestDryPoor
7394084,Alisma plantago-aquatica,ForestDryPoor
7394085,Alisma plantago-aquatica,ForestDryPoor
7394086,Alisma plantago-aquatica,ForestDryPoor
7394087,Alisma plantago-aquatica,ForestDryPoor
7394088,Alisma plantago-aquatica,ForestDryPoor
7394089,Alisma plantago-aquatica,ForestDryPoor
7394090,Alisma plantago-aquatica,ForestDryPoor
7394091,Alisma plantago-aquatica,ForestDryPoor
7394092,Alisma plantago-aquatica,ForestDryPoor
7394093,Alisma plantago-aquatica,ForestDryPoor
7394094,Alisma plantago-aquatica,ForestDryPoor
7394095,Alisma plantago-aquatica,ForestDryPoor
7394096,Alisma plantago-aquatica,ForestDryPoor
