cell,species,Landuse
8479341,Cicuta virosa,ForestDryPoor
8479342,Cicuta virosa,ForestDryPoor
8479343,Cicuta virosa,ForestDryPoor
8479344,Cicuta virosa,ForestDryPoor
8479345,Cicuta virosa,ForestDryPoor
8479346,Cicuta virosa,ForestDryPoor
8479347,Cicuta virosa,ForestDryPoor
8479348,Cicuta virosa,ForestDryPoor
8479349,Cicuta virosa,ForestDryPoor
8479350,Cicuta virosa,ForestDryPoor
8479351,Cicuta virosa,ForestDryPoor
8479352,Cicuta virosa,ForestDryPoor
8479353,Cicuta virosa,ForestDryPoor
8479354,Cicuta virosa,ForestDryPoor
8479355,Cicuta virosa,ForestDryPoor
8479356,Cicuta virosa,ForestDryPoor
8479357,Cicuta virosa,ForestDryPoor
8479358,Cicuta virosa,ForestDryPoor
8479359,Cicuta virosa,ForestDryPoor
8479360,Cicuta virosa,ForestDryPoor
8482041,Cicuta virosa,ForestDryPoor
8482042,Cicuta virosa,ForestDryPoor
8482043,Cicuta virosa,ForestDryPoor
8482044,Cicuta virosa,ForestDryPoor
8482045,Cicuta virosa,ForestDryPoor
8482046,Cicuta virosa,ForestDryPoor
8482047,Cicuta virosa,ForestDryPoor
8482048,Cicuta virosa,ForestDryPoor
8482049,Cicuta virosa,ForestDryPoor
8482050,Cicuta virosa,ForestDryPoor
8482051,Cicuta virosa,ForestDryPoor
8482052,Cicuta virosa,ForestDryPoor
8482053,Cicuta virosa,ForestDryPoor
8482054,Cicuta virosa,ForestDryPoor
8482055,Cicuta virosa,ForestDryPoor
8482056,Cicuta virosa,ForestDryPoor
8482057,Cicuta virosa,ForestDryPoor
8482058,Cicuta virosa,ForestDryPoor
8482059,Cicuta virosa,ForestDryPoor
8482060,Cicuta virosa,ForestDryPoor
8484741,Cicuta virosa,ForestDryPoor
8484742,Cicuta virosa,ForestDryPoor
8484743,Cicuta virosa,ForestDryPoor
8484744,Cicuta virosa,ForestDryPoor
8484745,Cicuta virosa,ForestDryPoor
8484746,Cicuta virosa,ForestDryPoor
8484747,Cicuta virosa,ForestDryPoor
8484748,Cicuta virosa,ForestDryPoor
8484749,Cicuta virosa,ForestDryPoor
8484750,Cicuta virosa,ForestDryPoor
8484751,Cicuta virosa,ForestDryPoor
8484752,Cicuta virosa,ForestDryPoor
8484753,Cicuta virosa,ForestDryPoor
8484754,Cicuta virosa,ForestDryPoor
8484755,Cicuta virosa,ForestDryPoor
8484756,Cicuta virosa,ForestDryPoor
8484757,Cicuta virosa,ForestDryPoor
8484758,Cicuta virosa,ForestDryPoor
8484759,Cicuta virosa,ForestDryPoor
8484760,Cicuta virosa,ForestDryPoor
8487441,Cicuta virosa,ForestDryPoor
8487442,Cicuta virosa,ForestDryPoor
8487443,Cicuta virosa,ForestDryPoor
8487444,Cicuta virosa,ForestDryPoor
8487445,Cicuta virosa,ForestDryPoor
8487446,Cicuta virosa,ForestDryPoor
8487447,Cicuta virosa,ForestDryPoor
8487448,Cicuta virosa,ForestDryPoor
8487449,Cicuta virosa,ForestDryPoor
8487450,Cicuta virosa,ForestDryPoor
8487451,Cicuta virosa,ForestDryPoor
8487452,Cicuta virosa,ForestDryPoor
8487453,Cicuta virosa,ForestDryPoor
8487454,Cicuta virosa,ForestDryPoor
8487455,Cicuta virosa,ForestDryPoor
8487456,Cicuta virosa,ForestDryPoor
8487457,Cicuta virosa,ForestDryPoor
8487458,Cicuta virosa,ForestDryPoor
8487459,Cicuta virosa,ForestDryPoor
8490141,Cicuta virosa,ForestDryPoor
8490142,Cicuta virosa,ForestDryPoor
8490143,Cicuta virosa,ForestDryPoor
8490144,Cicuta virosa,ForestDryPoor
8490145,Cicuta virosa,ForestDryPoor
8490146,Cicuta virosa,ForestDryPoor
8490147,Cicuta virosa,ForestDryPoor
8490148,Cicuta virosa,ForestDryPoor
8490149,Cicuta virosa,ForestDryPoor
8490150,Cicuta virosa,ForestDryPoor
8490151,Cicuta virosa,ForestDryPoor
8490152,Cicuta virosa,ForestDryPoor
8490153,Cicuta virosa,ForestDryPoor
8490154,Cicuta virosa,ForestDryPoor
8490155,Cicuta virosa,ForestDryPoor
8490156,Cicuta virosa,ForestDryPoor
8490157,Cicuta virosa,ForestDryPoor
8490158,Cicuta virosa,ForestDryPoor
8490159,Cicuta virosa,ForestDryPoor
8492841,Cicuta virosa,ForestDryPoor
8492842,Cicuta virosa,ForestDryPoor
8492843,Cicuta virosa,ForestDryPoor
8492844,Cicuta virosa,ForestDryPoor
8492845,Cicuta virosa,ForestDryPoor
8492846,Cicuta virosa,ForestDryPoor
8492847,Cicuta virosa,ForestDryPoor
8492848,Cicuta virosa,ForestDryPoor
8492849,Cicuta virosa,ForestDryPoor
8492850,Cicuta virosa,ForestDryPoor
8492851,Cicuta virosa,ForestDryPoor
8492852,Cicuta virosa,ForestDryPoor
