cell,species,Landuse
7421081,Galium aparine,ForestDryPoor
7423781,Galium aparine,ForestDryPoor
7423782,Galium aparine,ForestDryPoor
7423783,Galium aparine,ForestDryPoor
7423784,Galium aparine,ForestDryPoor
7423785,Galium aparine,ForestDryPoor
7423786,Galium aparine,ForestDryPoor
7426481,Galium aparine,ForestDryPoor
7426482,Galium aparine,ForestDryPoor
7426483,Galium aparine,ForestDryPoor
7426484,Galium aparine,ForestDryPoor
7426485,Galium aparine,ForestDryPoor
7426486,Galium aparine,ForestDryPoor
7426487,Galium aparine,ForestDryPoor
7426488,Galium aparine,ForestDryPoor
7426489,Galium aparine,ForestDryPoor
7426490,Galium aparine,ForestDryPoor
7429181,Galium aparine,ForestDryPoor
7429182,Galium aparine,ForestDryPoor
7429183,Galium aparine,ForestDryPoor
7429184,Galium aparine,ForestDryPoor
7429185,Galium aparine,ForestDryPoor
7429186,Galium aparine,ForestDryPoor
7429187,Galium aparine,ForestDryPoor
7429188,Galium aparine,ForestDryPoor
7429189,Galium aparine,ForestDryPoor
7429190,Galium aparine,ForestDryPoor
7429191,Galium aparine,ForestDryPoor
7429192,Galium aparine,ForestDryPoor
7431881,Galium aparine,ForestDryPoor
7431882,Galium aparine,ForestDryPoor
7431883,Galium aparine,ForestDryPoor
7431884,Galium aparine,ForestDryPoor
7431885,Galium aparine,ForestDryPoor
7431886,Galium aparine,ForestDryPoor
7431887,Galium aparine,ForestDryPoor
7431888,Galium aparine,ForestDryPoor
7431889,Galium aparine,ForestDryPoor
7431890,Galium aparine,ForestDryPoor
7431891,Galium aparine,ForestDryPoor
7431892,Galium aparine,ForestDryPoor
7431893,Galium aparine,ForestDryPoor
7431894,Galium aparine,ForestDryPoor
7434581,Galium aparine,ForestDryPoor
7434582,Galium aparine,ForestDryPoor
7434583,Galium aparine,ForestDryPoor
7434584,Galium aparine,ForestDryPoor
7434585,Galium aparine,ForestDryPoor
7434586,Galium aparine,ForestDryPoor
7434587,Galium aparine,ForestDryPoor
7434588,Galium aparine,ForestDryPoor
7434589,Galium aparine,ForestDryPoor
7434590,Galium aparine,ForestDryPoor
7434591,Galium aparine,ForestDryPoor
7434592,Galium aparine,ForestDryPoor
7434593,Galium aparine,ForestDryPoor
7434594,Galium aparine,ForestDryPoor
7434595,Galium aparine,ForestDryPoor
7434596,Galium aparine,ForestDryPoor
7434597,Galium aparine,ForestDryPoor
7437281,Galium aparine,ForestDryPoor
7437282,Galium aparine,ForestDryPoor
7437283,Galium aparine,ForestDryPoor
7437284,Galium aparine,ForestDryPoor
7437285,Galium aparine,ForestDryPoor
7437286,Galium aparine,ForestDryPoor
7437287,Galium aparine,ForestDryPoor
7437288,Galium aparine,ForestDryPoor
7437289,Galium aparine,ForestDryPoor
7437290,Galium aparine,ForestDryPoor
7437291,Galium aparine,ForestDryPoor
7437292,Galium aparine,ForestDryPoor
7437293,Galium aparine,ForestDryPoor
7437294,Galium aparine,ForestDryPoor
7437295,Galium aparine,ForestDryPoor
7437296,Galium aparine,ForestDryPoor
7437297,Galium aparine,ForestDryPoor
7437298,Galium aparine,ForestDryPoor
7439981,Galium aparine,ForestDryPoor
7439982,Galium aparine,ForestDryPoor
7439983,Galium aparine,ForestDryPoor
7439984,Galium aparine,ForestDryPoor
7439985,Galium aparine,ForestDryPoor
7439986,Galium aparine,ForestDryPoor
7439987,Galium aparine,ForestDryPoor
7439988,Galium aparine,ForestDryPoor
7439989,Galium aparine,ForestDryPoor
7439990,Galium aparine,ForestDryPoor
7439991,Galium aparine,ForestDryPoor
7439992,Galium aparine,ForestDryPoor
7439993,Galium aparine,ForestDryPoor
7439994,Galium aparine,ForestDryPoor
7439995,Galium aparine,ForestDryPoor
7439996,Galium aparine,ForestDryPoor
7439997,Galium aparine,ForestDryPoor
7439998,Galium aparine,ForestDryPoor
7439999,Galium aparine,ForestDryPoor
7440000,Galium aparine,ForestDryPoor
7442681,Galium aparine,ForestDryPoor
7442682,Galium aparine,ForestDryPoor
7442683,Galium aparine,ForestDryPoor
7442684,Galium aparine,ForestDryPoor
7442685,Galium aparine,ForestDryPoor
7442686,Galium aparine,ForestDryPoor
7442687,Galium aparine,ForestDryPoor
7442688,Galium aparine,ForestDryPoor
7442689,Galium aparine,ForestDryPoor
7442690,Galium aparine,ForestDryPoor
7442691,Galium aparine,ForestDryPoor
7442692,Galium aparine,ForestDryPoor
7442693,Galium aparine,ForestDryPoor
7442694,Galium aparine,ForestDryPoor
7442695,Galium aparine,ForestDryPoor
7442696,Galium aparine,ForestDryPoor
7442697,Galium aparine,ForestDryPoor
7442698,Galium aparine,ForestDryPoor
7442699,Galium aparine,ForestDryPoor
7442700,Galium aparine,ForestDryPoor
7445381,Galium aparine,ForestDryPoor
7445382,Galium aparine,ForestDryPoor
7445383,Galium aparine,ForestDryPoor
7445384,Galium aparine,ForestDryPoor
7445385,Galium aparine,ForestDryPoor
7445386,Galium aparine,ForestDryPoor
7445387,Galium aparine,ForestDryPoor
7445388,Galium aparine,ForestDryPoor
7445389,Galium aparine,ForestDryPoor
7445390,Galium aparine,ForestDryPoor
7445391,Galium aparine,ForestDryPoor
7445392,Galium aparine,ForestDryPoor
7445393,Galium aparine,ForestDryPoor
7445394,Galium aparine,ForestDryPoor
7445395,Galium aparine,ForestDryPoor
7445396,Galium aparine,ForestDryPoor
7445397,Galium aparine,ForestDryPoor
7445398,Galium aparine,ForestDryPoor
7445399,Galium aparine,ForestDryPoor
7445400,Galium aparine,ForestDryPoor
7448081,Galium aparine,ForestDryPoor
7448082,Galium aparine,ForestDryPoor
7448083,Galium aparine,ForestDryPoor
7448084,Galium aparine,ForestDryPoor
7448085,Galium aparine,ForestDryPoor
7448086,Galium aparine,ForestDryPoor
7448087,Galium aparine,ForestDryPoor
7448088,Galium aparine,ForestDryPoor
7448089,Galium aparine,ForestDryPoor
7448090,Galium aparine,ForestDryPoor
7448091,Galium aparine,ForestDryPoor
7448092,Galium aparine,ForestDryPoor
7448093,Galium aparine,ForestDryPoor
7448094,Galium aparine,ForestDryPoor
7448095,Galium aparine,ForestDryPoor
7448096,Galium aparine,ForestDryPoor
7448097,Galium aparine,ForestDryPoor
7448098,Galium aparine,ForestDryPoor
7448099,Galium aparine,ForestDryPoor
7448100,Galium aparine,ForestDryPoor
7450781,Galium aparine,ForestDryPoor
7450782,Galium aparine,ForestDryPoor
7450783,Galium aparine,ForestDryPoor
7450784,Galium aparine,ForestDryPoor
7450785,Galium aparine,ForestDryPoor
7450786,Galium aparine,ForestDryPoor
7450787,Galium aparine,ForestDryPoor
7450788,Galium aparine,ForestDryPoor
7450789,Galium aparine,ForestDryPoor
7450790,Galium aparine,ForestDryPoor
7450791,Galium aparine,ForestDryPoor
7450792,Galium aparine,ForestDryPoor
7450793,Galium aparine,ForestDryPoor
7450794,Galium aparine,ForestDryPoor
7450795,Galium aparine,ForestDryPoor
7450796,Galium aparine,ForestDryPoor
7450797,Galium aparine,ForestDryPoor
7450798,Galium aparine,ForestDryPoor
7450799,Galium aparine,ForestDryPoor
7450800,Galium aparine,ForestDryPoor
7453501,Galium aparine,ForestDryPoor
7453502,Galium aparine,ForestDryPoor
7453503,Galium aparine,ForestDryPoor
7453504,Galium aparine,ForestDryPoor
7453505,Galium aparine,ForestDryPoor
7453506,Galium aparine,ForestDryPoor
7453507,Galium aparine,ForestDryPoor
7456201,Galium aparine,ForestDryPoor
7456202,Galium aparine,ForestDryPoor
7456203,Galium aparine,ForestDryPoor
7456204,Galium aparine,ForestDryPoor
7456205,Galium aparine,ForestDryPoor
7456206,Galium aparine,ForestDryPoor
7456207,Galium aparine,ForestDryPoor
7456208,Galium aparine,ForestDryPoor
7458839,Galium aparine,ForestDryPoor
7458840,Galium aparine,ForestDryPoor
7458901,Galium aparine,ForestDryPoor
7458902,Galium aparine,ForestDryPoor
7458903,Galium aparine,ForestDryPoor
7458904,Galium aparine,ForestDryPoor
7458905,Galium aparine,ForestDryPoor
7458906,Galium aparine,ForestDryPoor
7458907,Galium aparine,ForestDryPoor
7458908,Galium aparine,ForestDryPoor
7458909,Galium aparine,ForestDryPoor
7461539,Galium aparine,ForestDryPoor
7461540,Galium aparine,ForestDryPoor
7461601,Galium aparine,ForestDryPoor
7461602,Galium aparine,ForestDryPoor
7461603,Galium aparine,ForestDryPoor
7461604,Galium aparine,ForestDryPoor
7461605,Galium aparine,ForestDryPoor
7461606,Galium aparine,ForestDryPoor
7461607,Galium aparine,ForestDryPoor
7461608,Galium aparine,ForestDryPoor
7461609,Galium aparine,ForestDryPoor
7461610,Galium aparine,ForestDryPoor
7464238,Galium aparine,ForestDryPoor
7464239,Galium aparine,ForestDryPoor
7464240,Galium aparine,ForestDryPoor
7464301,Galium aparine,ForestDryPoor
7464302,Galium aparine,ForestDryPoor
7464303,Galium aparine,ForestDryPoor
7464304,Galium aparine,ForestDryPoor
7464305,Galium aparine,ForestDryPoor
7464306,Galium aparine,ForestDryPoor
7464307,Galium aparine,ForestDryPoor
7464308,Galium aparine,ForestDryPoor
7464309,Galium aparine,ForestDryPoor
7464310,Galium aparine,ForestDryPoor
7464311,Galium aparine,ForestDryPoor
7466937,Galium aparine,ForestDryPoor
7466938,Galium aparine,ForestDryPoor
7466939,Galium aparine,ForestDryPoor
7466940,Galium aparine,ForestDryPoor
7467001,Galium aparine,ForestDryPoor
7467002,Galium aparine,ForestDryPoor
7467003,Galium aparine,ForestDryPoor
7467004,Galium aparine,ForestDryPoor
7467005,Galium aparine,ForestDryPoor
7467006,Galium aparine,ForestDryPoor
7467007,Galium aparine,ForestDryPoor
7467008,Galium aparine,ForestDryPoor
7467009,Galium aparine,ForestDryPoor
7467010,Galium aparine,ForestDryPoor
7467011,Galium aparine,ForestDryPoor
7467012,Galium aparine,ForestDryPoor
7469636,Galium aparine,ForestDryPoor
7469637,Galium aparine,ForestDryPoor
7469638,Galium aparine,ForestDryPoor
7469639,Galium aparine,ForestDryPoor
7469640,Galium aparine,ForestDryPoor
7469701,Galium aparine,ForestDryPoor
7469702,Galium aparine,ForestDryPoor
7469703,Galium aparine,ForestDryPoor
7469704,Galium aparine,ForestDryPoor
7469705,Galium aparine,ForestDryPoor
7469706,Galium aparine,ForestDryPoor
7469707,Galium aparine,ForestDryPoor
7469708,Galium aparine,ForestDryPoor
7469709,Galium aparine,ForestDryPoor
7469710,Galium aparine,ForestDryPoor
7469711,Galium aparine,ForestDryPoor
7469712,Galium aparine,ForestDryPoor
7472335,Galium aparine,ForestDryPoor
7472336,Galium aparine,ForestDryPoor
7472337,Galium aparine,ForestDryPoor
7472338,Galium aparine,ForestDryPoor
7472339,Galium aparine,ForestDryPoor
7472340,Galium aparine,ForestDryPoor
7472401,Galium aparine,ForestDryPoor
7472402,Galium aparine,ForestDryPoor
7472403,Galium aparine,ForestDryPoor
7472404,Galium aparine,ForestDryPoor
7472405,Galium aparine,ForestDryPoor
7472406,Galium aparine,ForestDryPoor
7472407,Galium aparine,ForestDryPoor
7472408,Galium aparine,ForestDryPoor
7472409,Galium aparine,ForestDryPoor
7472410,Galium aparine,ForestDryPoor
7472411,Galium aparine,ForestDryPoor
7472412,Galium aparine,ForestDryPoor
7472413,Galium aparine,ForestDryPoor
7475034,Galium aparine,ForestDryPoor
7475035,Galium aparine,ForestDryPoor
7475036,Galium aparine,ForestDryPoor
7475037,Galium aparine,ForestDryPoor
7475038,Galium aparine,ForestDryPoor
7475039,Galium aparine,ForestDryPoor
7475040,Galium aparine,ForestDryPoor
7475101,Galium aparine,ForestDryPoor
7475102,Galium aparine,ForestDryPoor
7475103,Galium aparine,ForestDryPoor
7475104,Galium aparine,ForestDryPoor
7475105,Galium aparine,ForestDryPoor
7475106,Galium aparine,ForestDryPoor
7475107,Galium aparine,ForestDryPoor
7475108,Galium aparine,ForestDryPoor
7475109,Galium aparine,ForestDryPoor
7475110,Galium aparine,ForestDryPoor
7475111,Galium aparine,ForestDryPoor
7475112,Galium aparine,ForestDryPoor
7475113,Galium aparine,ForestDryPoor
7475114,Galium aparine,ForestDryPoor
7477734,Galium aparine,ForestDryPoor
7477735,Galium aparine,ForestDryPoor
7477736,Galium aparine,ForestDryPoor
7477737,Galium aparine,ForestDryPoor
7477738,Galium aparine,ForestDryPoor
7477739,Galium aparine,ForestDryPoor
7477740,Galium aparine,ForestDryPoor
7477801,Galium aparine,ForestDryPoor
7477802,Galium aparine,ForestDryPoor
7477803,Galium aparine,ForestDryPoor
7477804,Galium aparine,ForestDryPoor
7477805,Galium aparine,ForestDryPoor
7477806,Galium aparine,ForestDryPoor
7477807,Galium aparine,ForestDryPoor
7477808,Galium aparine,ForestDryPoor
