cell,species,Landuse
7431961,Galium verum,ForestDryPoor
7431962,Galium verum,ForestDryPoor
7431963,Galium verum,ForestDryPoor
7431964,Galium verum,ForestDryPoor
7431965,Galium verum,ForestDryPoor
7431966,Galium verum,ForestDryPoor
7434661,Galium verum,ForestDryPoor
7434662,Galium verum,ForestDryPoor
7434663,Galium verum,ForestDryPoor
7434664,Galium verum,ForestDryPoor
7434665,Galium verum,ForestDryPoor
7434666,Galium verum,ForestDryPoor
7434667,Galium verum,ForestDryPoor
7434668,Galium verum,ForestDryPoor
7434669,Galium verum,ForestDryPoor
7434670,Galium verum,ForestDryPoor
7437361,Galium verum,ForestDryPoor
7437362,Galium verum,ForestDryPoor
7437363,Galium verum,ForestDryPoor
7437364,Galium verum,ForestDryPoor
7437365,Galium verum,ForestDryPoor
7437366,Galium verum,ForestDryPoor
7437367,Galium verum,ForestDryPoor
7437368,Galium verum,ForestDryPoor
7437369,Galium verum,ForestDryPoor
7437370,Galium verum,ForestDryPoor
7437371,Galium verum,ForestDryPoor
7437372,Galium verum,ForestDryPoor
7440061,Galium verum,ForestDryPoor
7440062,Galium verum,ForestDryPoor
7440063,Galium verum,ForestDryPoor
7440064,Galium verum,ForestDryPoor
7440065,Galium verum,ForestDryPoor
7440066,Galium verum,ForestDryPoor
7440067,Galium verum,ForestDryPoor
7440068,Galium verum,ForestDryPoor
7440069,Galium verum,ForestDryPoor
7440070,Galium verum,ForestDryPoor
7440071,Galium verum,ForestDryPoor
7440072,Galium verum,ForestDryPoor
7440073,Galium verum,ForestDryPoor
7440074,Galium verum,ForestDryPoor
7440075,Galium verum,ForestDryPoor
7442761,Galium verum,ForestDryPoor
7442762,Galium verum,ForestDryPoor
7442763,Galium verum,ForestDryPoor
7442764,Galium verum,ForestDryPoor
7442765,Galium verum,ForestDryPoor
7442766,Galium verum,ForestDryPoor
7442767,Galium verum,ForestDryPoor
7442768,Galium verum,ForestDryPoor
7442769,Galium verum,ForestDryPoor
7442770,Galium verum,ForestDryPoor
7442771,Galium verum,ForestDryPoor
7442772,Galium verum,ForestDryPoor
7442773,Galium verum,ForestDryPoor
7442774,Galium verum,ForestDryPoor
7442775,Galium verum,ForestDryPoor
7442776,Galium verum,ForestDryPoor
7442777,Galium verum,ForestDryPoor
7445461,Galium verum,ForestDryPoor
7445462,Galium verum,ForestDryPoor
7445463,Galium verum,ForestDryPoor
7445464,Galium verum,ForestDryPoor
7445465,Galium verum,ForestDryPoor
7445466,Galium verum,ForestDryPoor
7445467,Galium verum,ForestDryPoor
7445468,Galium verum,ForestDryPoor
7445469,Galium verum,ForestDryPoor
7445470,Galium verum,ForestDryPoor
7445471,Galium verum,ForestDryPoor
7445472,Galium verum,ForestDryPoor
7445473,Galium verum,ForestDryPoor
7445474,Galium verum,ForestDryPoor
7445475,Galium verum,ForestDryPoor
7445476,Galium verum,ForestDryPoor
7445477,Galium verum,ForestDryPoor
7445478,Galium verum,ForestDryPoor
7445479,Galium verum,ForestDryPoor
7448161,Galium verum,ForestDryPoor
7448162,Galium verum,ForestDryPoor
7448163,Galium verum,ForestDryPoor
7448164,Galium verum,ForestDryPoor
7448165,Galium verum,ForestDryPoor
7448166,Galium verum,ForestDryPoor
7448167,Galium verum,ForestDryPoor
7448168,Galium verum,ForestDryPoor
7448169,Galium verum,ForestDryPoor
7448170,Galium verum,ForestDryPoor
7448171,Galium verum,ForestDryPoor
7448172,Galium verum,ForestDryPoor
