cell,species,Landuse
7358998,Hottonia palustris,ForestDryPoor
7358999,Hottonia palustris,ForestDryPoor
7359000,Hottonia palustris,ForestDryPoor
7361696,Hottonia palustris,ForestDryPoor
7361697,Hottonia palustris,ForestDryPoor
7361698,Hottonia palustris,ForestDryPoor
7361699,Hottonia palustris,ForestDryPoor
7361700,Hottonia palustris,ForestDryPoor
7364393,Hottonia palustris,ForestDryPoor
7364394,Hottonia palustris,ForestDryPoor
7364395,Hottonia palustris,ForestDryPoor
7364396,Hottonia palustris,ForestDryPoor
7364397,Hottonia palustris,ForestDryPoor
7364398,Hottonia palustris,ForestDryPoor
7364399,Hottonia palustris,ForestDryPoor
7364400,Hottonia palustris,ForestDryPoor
7367091,Hottonia palustris,ForestDryPoor
7367092,Hottonia palustris,ForestDryPoor
7367093,Hottonia palustris,ForestDryPoor
7367094,Hottonia palustris,ForestDryPoor
7367095,Hottonia palustris,ForestDryPoor
7367096,Hottonia palustris,ForestDryPoor
7367097,Hottonia palustris,ForestDryPoor
7367098,Hottonia palustris,ForestDryPoor
7367099,Hottonia palustris,ForestDryPoor
7367100,Hottonia palustris,ForestDryPoor
7369789,Hottonia palustris,ForestDryPoor
7369790,Hottonia palustris,ForestDryPoor
7369791,Hottonia palustris,ForestDryPoor
7369792,Hottonia palustris,ForestDryPoor
7369793,Hottonia palustris,ForestDryPoor
7369794,Hottonia palustris,ForestDryPoor
7369795,Hottonia palustris,ForestDryPoor
7369796,Hottonia palustris,ForestDryPoor
7369797,Hottonia palustris,ForestDryPoor
7369798,Hottonia palustris,ForestDryPoor
7369799,Hottonia palustris,ForestDryPoor
7369800,Hottonia palustris,ForestDryPoor
7372488,Hottonia palustris,ForestDryPoor
7372489,Hottonia palustris,ForestDryPoor
7372490,Hottonia palustris,ForestDryPoor
7372491,Hottonia palustris,ForestDryPoor
7372492,Hottonia palustris,ForestDryPoor
7372493,Hottonia palustris,ForestDryPoor
7372494,Hottonia palustris,ForestDryPoor
7372495,Hottonia palustris,ForestDryPoor
7372496,Hottonia palustris,ForestDryPoor
7372497,Hottonia palustris,ForestDryPoor
7372498,Hottonia palustris,ForestDryPoor
7372499,Hottonia palustris,ForestDryPoor
7372500,Hottonia palustris,ForestDryPoor
7375186,Hottonia palustris,ForestDryPoor
7375187,Hottonia palustris,ForestDryPoor
7375188,Hottonia palustris,ForestDryPoor
7375189,Hottonia palustris,ForestDryPoor
7375190,Hottonia palustris,ForestDryPoor
7375191,Hottonia palustris,ForestDryPoor
7375192,Hottonia palustris,ForestDryPoor
7375193,Hottonia palustris,ForestDryPoor
7375194,Hottonia palustris,ForestDryPoor
7375195,Hottonia palustris,ForestDryPoor
7375196,Hottonia palustris,ForestDryPoor
7375197,Hottonia palustris,ForestDryPoor
7375198,Hottonia palustris,ForestDryPoor
7375199,Hottonia palustris,ForestDryPoor
7375200,Hottonia palustris,ForestDryPoor
7375241,Hottonia palustris,ForestDryPoor
7377885,Hottonia palustris,ForestDryPoor
7377886,Hottonia palustris,ForestDryPoor
7377887,Hottonia palustris,ForestDryPoor
7377888,Hottonia palustris,ForestDryPoor
7377889,Hottonia palustris,ForestDryPoor
7377890,Hottonia palustris,ForestDryPoor
7377891,Hottonia palustris,ForestDryPoor
7377892,Hottonia palustris,ForestDryPoor
7377893,Hottonia palustris,ForestDryPoor
7377894,Hottonia palustris,ForestDryPoor
7377895,Hottonia palustris,ForestDryPoor
7377896,Hottonia palustris,ForestDryPoor
7377897,Hottonia palustris,ForestDryPoor
7377898,Hottonia palustris,ForestDryPoor
7377899,Hottonia palustris,ForestDryPoor
7377900,Hottonia palustris,ForestDryPoor
7377941,Hottonia palustris,ForestDryPoor
7377942,Hottonia palustris,ForestDryPoor
7380583,Hottonia palustris,ForestDryPoor
7380584,Hottonia palustris,ForestDryPoor
7380585,Hottonia palustris,ForestDryPoor
7380586,Hottonia palustris,ForestDryPoor
7380587,Hottonia palustris,ForestDryPoor
7380588,Hottonia palustris,ForestDryPoor
7380589,Hottonia palustris,ForestDryPoor
7380590,Hottonia palustris,ForestDryPoor
7380591,Hottonia palustris,ForestDryPoor
7380592,Hottonia palustris,ForestDryPoor
7380593,Hottonia palustris,ForestDryPoor
7380594,Hottonia palustris,ForestDryPoor
7380595,Hottonia palustris,ForestDryPoor
7380596,Hottonia palustris,ForestDryPoor
7380597,Hottonia palustris,ForestDryPoor
7380598,Hottonia palustris,ForestDryPoor
7380599,Hottonia palustris,ForestDryPoor
7380600,Hottonia palustris,ForestDryPoor
7380641,Hottonia palustris,ForestDryPoor
7380642,Hottonia palustris,ForestDryPoor
7380643,Hottonia palustris,ForestDryPoor
7380644,Hottonia palustris,ForestDryPoor
7383282,Hottonia palustris,ForestDryPoor
7383283,Hottonia palustris,ForestDryPoor
7383284,Hottonia palustris,ForestDryPoor
7383285,Hottonia palustris,ForestDryPoor
7383286,Hottonia palustris,ForestDryPoor
7383287,Hottonia palustris,ForestDryPoor
7383288,Hottonia palustris,ForestDryPoor
7383289,Hottonia palustris,ForestDryPoor
7383290,Hottonia palustris,ForestDryPoor
7383291,Hottonia palustris,ForestDryPoor
7383292,Hottonia palustris,ForestDryPoor
7383293,Hottonia palustris,ForestDryPoor
7383294,Hottonia palustris,ForestDryPoor
7383295,Hottonia palustris,ForestDryPoor
7383296,Hottonia palustris,ForestDryPoor
7383297,Hottonia palustris,ForestDryPoor
7383298,Hottonia palustris,ForestDryPoor
7383299,Hottonia palustris,ForestDryPoor
7383300,Hottonia palustris,ForestDryPoor
7383341,Hottonia palustris,ForestDryPoor
7383342,Hottonia palustris,ForestDryPoor
7383343,Hottonia palustris,ForestDryPoor
7383344,Hottonia palustris,ForestDryPoor
7383345,Hottonia palustris,ForestDryPoor
7385981,Hottonia palustris,ForestDryPoor
7385982,Hottonia palustris,ForestDryPoor
7385983,Hottonia palustris,ForestDryPoor
7385984,Hottonia palustris,ForestDryPoor
7385985,Hottonia palustris,ForestDryPoor
7385986,Hottonia palustris,ForestDryPoor
7385987,Hottonia palustris,ForestDryPoor
7385988,Hottonia palustris,ForestDryPoor
7385989,Hottonia palustris,ForestDryPoor
7385990,Hottonia palustris,ForestDryPoor
