cell,species,Landuse
7345661,Luzula multiflora,ForestDryPoor
7345662,Luzula multiflora,ForestDryPoor
7345663,Luzula multiflora,ForestDryPoor
7345664,Luzula multiflora,ForestDryPoor
7345665,Luzula multiflora,ForestDryPoor
7345666,Luzula multiflora,ForestDryPoor
7345667,Luzula multiflora,ForestDryPoor
7345668,Luzula multiflora,ForestDryPoor
7345669,Luzula multiflora,ForestDryPoor
7345670,Luzula multiflora,ForestDryPoor
7345671,Luzula multiflora,ForestDryPoor
7345672,Luzula multiflora,ForestDryPoor
7345673,Luzula multiflora,ForestDryPoor
7345674,Luzula multiflora,ForestDryPoor
7345675,Luzula multiflora,ForestDryPoor
7345676,Luzula multiflora,ForestDryPoor
7345677,Luzula multiflora,ForestDryPoor
7345678,Luzula multiflora,ForestDryPoor
7345679,Luzula multiflora,ForestDryPoor
7345680,Luzula multiflora,ForestDryPoor
7345681,Luzula multiflora,ForestDryPoor
7345682,Luzula multiflora,ForestDryPoor
7345683,Luzula multiflora,ForestDryPoor
7345684,Luzula multiflora,ForestDryPoor
7345685,Luzula multiflora,ForestDryPoor
7345686,Luzula multiflora,ForestDryPoor
7345687,Luzula multiflora,ForestDryPoor
7345688,Luzula multiflora,ForestDryPoor
7345689,Luzula multiflora,ForestDryPoor
7345690,Luzula multiflora,ForestDryPoor
7345691,Luzula multiflora,ForestDryPoor
7345692,Luzula multiflora,ForestDryPoor
7345693,Luzula multiflora,ForestDryPoor
7345694,Luzula multiflora,ForestDryPoor
7345695,Luzula multiflora,ForestDryPoor
7345696,Luzula multiflora,ForestDryPoor
7345697,Luzula multiflora,ForestDryPoor
7345698,Luzula multiflora,ForestDryPoor
7345699,Luzula multiflora,ForestDryPoor
7345700,Luzula multiflora,ForestDryPoor
7348361,Luzula multiflora,ForestDryPoor
7348362,Luzula multiflora,ForestDryPoor
7348363,Luzula multiflora,ForestDryPoor
7348364,Luzula multiflora,ForestDryPoor
7348365,Luzula multiflora,ForestDryPoor
7348366,Luzula multiflora,ForestDryPoor
7348367,Luzula multiflora,ForestDryPoor
7348368,Luzula multiflora,ForestDryPoor
7348369,Luzula multiflora,ForestDryPoor
7348370,Luzula multiflora,ForestDryPoor
7348371,Luzula multiflora,ForestDryPoor
7348372,Luzula multiflora,ForestDryPoor
7348373,Luzula multiflora,ForestDryPoor
7348374,Luzula multiflora,ForestDryPoor
7348375,Luzula multiflora,ForestDryPoor
7348376,Luzula multiflora,ForestDryPoor
7348377,Luzula multiflora,ForestDryPoor
7348378,Luzula multiflora,ForestDryPoor
7348379,Luzula multiflora,ForestDryPoor
7348380,Luzula multiflora,ForestDryPoor
7348381,Luzula multiflora,ForestDryPoor
7348382,Luzula multiflora,ForestDryPoor
7348383,Luzula multiflora,ForestDryPoor
7348384,Luzula multiflora,ForestDryPoor
7348385,Luzula multiflora,ForestDryPoor
7348386,Luzula multiflora,ForestDryPoor
7348387,Luzula multiflora,ForestDryPoor
7348388,Luzula multiflora,ForestDryPoor
7348389,Luzula multiflora,ForestDryPoor
7348390,Luzula multiflora,ForestDryPoor
7348391,Luzula multiflora,ForestDryPoor
7348392,Luzula multiflora,ForestDryPoor
7348393,Luzula multiflora,ForestDryPoor
7348394,Luzula multiflora,ForestDryPoor
7348395,Luzula multiflora,ForestDryPoor
7348396,Luzula multiflora,ForestDryPoor
7348397,Luzula multiflora,ForestDryPoor
7348398,Luzula multiflora,ForestDryPoor
7348399,Luzula multiflora,ForestDryPoor
7348400,Luzula multiflora,ForestDryPoor
7351061,Luzula multiflora,ForestDryPoor
7351062,Luzula multiflora,ForestDryPoor
7351063,Luzula multiflora,ForestDryPoor
7351064,Luzula multiflora,ForestDryPoor
7351065,Luzula multiflora,ForestDryPoor
7351066,Luzula multiflora,ForestDryPoor
7351067,Luzula multiflora,ForestDryPoor
7351068,Luzula multiflora,ForestDryPoor
7351069,Luzula multiflora,ForestDryPoor
7351070,Luzula multiflora,ForestDryPoor
7351071,Luzula multiflora,ForestDryPoor
7351072,Luzula multiflora,ForestDryPoor
7351073,Luzula multiflora,ForestDryPoor
7351074,Luzula multiflora,ForestDryPoor
7351075,Luzula multiflora,ForestDryPoor
7351076,Luzula multiflora,ForestDryPoor
7351077,Luzula multiflora,ForestDryPoor
7351078,Luzula multiflora,ForestDryPoor
7351079,Luzula multiflora,ForestDryPoor
7351080,Luzula multiflora,ForestDryPoor
7351081,Luzula multiflora,ForestDryPoor
7351082,Luzula multiflora,ForestDryPoor
7351083,Luzula multiflora,ForestDryPoor
7351084,Luzula multiflora,ForestDryPoor
7351085,Luzula multiflora,ForestDryPoor
7351086,Luzula multiflora,ForestDryPoor
7351087,Luzula multiflora,ForestDryPoor
7351088,Luzula multiflora,ForestDryPoor
7351089,Luzula multiflora,ForestDryPoor
7351090,Luzula multiflora,ForestDryPoor
7351091,Luzula multiflora,ForestDryPoor
7351092,Luzula multiflora,ForestDryPoor
7351093,Luzula multiflora,ForestDryPoor
7351094,Luzula multiflora,ForestDryPoor
7351095,Luzula multiflora,ForestDryPoor
7351096,Luzula multiflora,ForestDryPoor
7351097,Luzula multiflora,ForestDryPoor
7351098,Luzula multiflora,ForestDryPoor
7351099,Luzula multiflora,ForestDryPoor
7351100,Luzula multiflora,ForestDryPoor
7353761,Luzula multiflora,ForestDryPoor
7353762,Luzula multiflora,ForestDryPoor
7353763,Luzula multiflora,ForestDryPoor
7353764,Luzula multiflora,ForestDryPoor
7353765,Luzula multiflora,ForestDryPoor
7353766,Luzula multiflora,ForestDryPoor
7353767,Luzula multiflora,ForestDryPoor
7353768,Luzula multiflora,ForestDryPoor
7353769,Luzula multiflora,ForestDryPoor
7353770,Luzula multiflora,ForestDryPoor
