cell,species,Landuse
7504880,Potentilla reptans,ForestDryPoor
7507601,Potentilla reptans,ForestDryPoor
7507602,Potentilla reptans,ForestDryPoor
7507603,Potentilla reptans,ForestDryPoor
7507604,Potentilla reptans,ForestDryPoor
7507605,Potentilla reptans,ForestDryPoor
7507606,Potentilla reptans,ForestDryPoor
7507607,Potentilla reptans,ForestDryPoor
7507608,Potentilla reptans,ForestDryPoor
7507609,Potentilla reptans,ForestDryPoor
7507610,Potentilla reptans,ForestDryPoor
7507611,Potentilla reptans,ForestDryPoor
7507612,Potentilla reptans,ForestDryPoor
7507613,Potentilla reptans,ForestDryPoor
7507614,Potentilla reptans,ForestDryPoor
7507615,Potentilla reptans,ForestDryPoor
7507616,Potentilla reptans,ForestDryPoor
7507617,Potentilla reptans,ForestDryPoor
7507618,Potentilla reptans,ForestDryPoor
7507619,Potentilla reptans,ForestDryPoor
7507620,Potentilla reptans,ForestDryPoor
7510301,Potentilla reptans,ForestDryPoor
7510302,Potentilla reptans,ForestDryPoor
7510303,Potentilla reptans,ForestDryPoor
7510304,Potentilla reptans,ForestDryPoor
7510305,Potentilla reptans,ForestDryPoor
7510306,Potentilla reptans,ForestDryPoor
7510307,Potentilla reptans,ForestDryPoor
7510308,Potentilla reptans,ForestDryPoor
7510309,Potentilla reptans,ForestDryPoor
7510310,Potentilla reptans,ForestDryPoor
7510311,Potentilla reptans,ForestDryPoor
7510312,Potentilla reptans,ForestDryPoor
7510313,Potentilla reptans,ForestDryPoor
7510314,Potentilla reptans,ForestDryPoor
7510315,Potentilla reptans,ForestDryPoor
7510316,Potentilla reptans,ForestDryPoor
7510317,Potentilla reptans,ForestDryPoor
7510318,Potentilla reptans,ForestDryPoor
7510319,Potentilla reptans,ForestDryPoor
7510320,Potentilla reptans,ForestDryPoor
7513001,Potentilla reptans,ForestDryPoor
7513002,Potentilla reptans,ForestDryPoor
7513003,Potentilla reptans,ForestDryPoor
7513004,Potentilla reptans,ForestDryPoor
7513005,Potentilla reptans,ForestDryPoor
7513006,Potentilla reptans,ForestDryPoor
7513007,Potentilla reptans,ForestDryPoor
7513008,Potentilla reptans,ForestDryPoor
7513009,Potentilla reptans,ForestDryPoor
7513010,Potentilla reptans,ForestDryPoor
7513011,Potentilla reptans,ForestDryPoor
7513012,Potentilla reptans,ForestDryPoor
7513013,Potentilla reptans,ForestDryPoor
7513014,Potentilla reptans,ForestDryPoor
7513015,Potentilla reptans,ForestDryPoor
7513016,Potentilla reptans,ForestDryPoor
7513017,Potentilla reptans,ForestDryPoor
7513018,Potentilla reptans,ForestDryPoor
7513019,Potentilla reptans,ForestDryPoor
7513020,Potentilla reptans,ForestDryPoor
7515701,Potentilla reptans,ForestDryPoor
7515702,Potentilla reptans,ForestDryPoor
7515703,Potentilla reptans,ForestDryPoor
7515704,Potentilla reptans,ForestDryPoor
7515705,Potentilla reptans,ForestDryPoor
7515706,Potentilla reptans,ForestDryPoor
7515707,Potentilla reptans,ForestDryPoor
7515708,Potentilla reptans,ForestDryPoor
7515709,Potentilla reptans,ForestDryPoor
7515710,Potentilla reptans,ForestDryPoor
7515711,Potentilla reptans,ForestDryPoor
7515712,Potentilla reptans,ForestDryPoor
7515713,Potentilla reptans,ForestDryPoor
7515714,Potentilla reptans,ForestDryPoor
7515715,Potentilla reptans,ForestDryPoor
7515716,Potentilla reptans,ForestDryPoor
7515717,Potentilla reptans,ForestDryPoor
7515718,Potentilla reptans,ForestDryPoor
7515719,Potentilla reptans,ForestDryPoor
7515720,Potentilla reptans,ForestDryPoor
7518401,Potentilla reptans,ForestDryPoor
7518402,Potentilla reptans,ForestDryPoor
7518403,Potentilla reptans,ForestDryPoor
7518404,Potentilla reptans,ForestDryPoor
7518405,Potentilla reptans,ForestDryPoor
7518406,Potentilla reptans,ForestDryPoor
7518407,Potentilla reptans,ForestDryPoor
7518408,Potentilla reptans,ForestDryPoor
7518409,Potentilla reptans,ForestDryPoor
7518410,Potentilla reptans,ForestDryPoor
7518411,Potentilla reptans,ForestDryPoor
7518412,Potentilla reptans,ForestDryPoor
7518413,Potentilla reptans,ForestDryPoor
7518414,Potentilla reptans,ForestDryPoor
7518415,Potentilla reptans,ForestDryPoor
7518416,Potentilla reptans,ForestDryPoor
7518417,Potentilla reptans,ForestDryPoor
7518418,Potentilla reptans,ForestDryPoor
7518419,Potentilla reptans,ForestDryPoor
7518420,Potentilla reptans,ForestDryPoor
7521101,Potentilla reptans,ForestDryPoor
7521102,Potentilla reptans,ForestDryPoor
7521103,Potentilla reptans,ForestDryPoor
7521104,Potentilla reptans,ForestDryPoor
7521105,Potentilla reptans,ForestDryPoor
7521106,Potentilla reptans,ForestDryPoor
7521107,Potentilla reptans,ForestDryPoor
7521108,Potentilla reptans,ForestDryPoor
7521109,Potentilla reptans,ForestDryPoor
7521110,Potentilla reptans,ForestDryPoor
7521111,Potentilla reptans,ForestDryPoor
7521112,Potentilla reptans,ForestDryPoor
7521113,Potentilla reptans,ForestDryPoor
7521114,Potentilla reptans,ForestDryPoor
7521115,Potentilla reptans,ForestDryPoor
7521116,Potentilla reptans,ForestDryPoor
7521117,Potentilla reptans,ForestDryPoor
7521118,Potentilla reptans,ForestDryPoor
7521119,Potentilla reptans,ForestDryPoor
7521120,Potentilla reptans,ForestDryPoor
7523801,Potentilla reptans,ForestDryPoor
7523802,Potentilla reptans,ForestDryPoor
7523803,Potentilla reptans,ForestDryPoor
7523804,Potentilla reptans,ForestDryPoor
7523805,Potentilla reptans,ForestDryPoor
7523806,Potentilla reptans,ForestDryPoor
7523807,Potentilla reptans,ForestDryPoor
7523808,Potentilla reptans,ForestDryPoor
7523809,Potentilla reptans,ForestDryPoor
7523810,Potentilla reptans,ForestDryPoor
7523811,Potentilla reptans,ForestDryPoor
7523812,Potentilla reptans,ForestDryPoor
7523813,Potentilla reptans,ForestDryPoor
7523814,Potentilla reptans,ForestDryPoor
7523815,Potentilla reptans,ForestDryPoor
7523816,Potentilla reptans,ForestDryPoor
