cell,species,Landuse
7645333,Ribes nigrum,ForestDryPoor
7645334,Ribes nigrum,ForestDryPoor
7645335,Ribes nigrum,ForestDryPoor
7645336,Ribes nigrum,ForestDryPoor
7645337,Ribes nigrum,ForestDryPoor
7645338,Ribes nigrum,ForestDryPoor
7645339,Ribes nigrum,ForestDryPoor
7645340,Ribes nigrum,ForestDryPoor
7645341,Ribes nigrum,ForestDryPoor
7645342,Ribes nigrum,ForestDryPoor
7645343,Ribes nigrum,ForestDryPoor
7645344,Ribes nigrum,ForestDryPoor
7645345,Ribes nigrum,ForestDryPoor
7648028,Ribes nigrum,ForestDryPoor
7648029,Ribes nigrum,ForestDryPoor
7648030,Ribes nigrum,ForestDryPoor
7648031,Ribes nigrum,ForestDryPoor
7648032,Ribes nigrum,ForestDryPoor
7648033,Ribes nigrum,ForestDryPoor
7648034,Ribes nigrum,ForestDryPoor
7648035,Ribes nigrum,ForestDryPoor
7648036,Ribes nigrum,ForestDryPoor
7648037,Ribes nigrum,ForestDryPoor
7648038,Ribes nigrum,ForestDryPoor
7648039,Ribes nigrum,ForestDryPoor
7648040,Ribes nigrum,ForestDryPoor
7648041,Ribes nigrum,ForestDryPoor
7648042,Ribes nigrum,ForestDryPoor
7648043,Ribes nigrum,ForestDryPoor
7648044,Ribes nigrum,ForestDryPoor
7648045,Ribes nigrum,ForestDryPoor
7648046,Ribes nigrum,ForestDryPoor
7648047,Ribes nigrum,ForestDryPoor
7648048,Ribes nigrum,ForestDryPoor
7648049,Ribes nigrum,ForestDryPoor
7648050,Ribes nigrum,ForestDryPoor
7650724,Ribes nigrum,ForestDryPoor
7650725,Ribes nigrum,ForestDryPoor
7650726,Ribes nigrum,ForestDryPoor
7650727,Ribes nigrum,ForestDryPoor
7650728,Ribes nigrum,ForestDryPoor
7650729,Ribes nigrum,ForestDryPoor
7650730,Ribes nigrum,ForestDryPoor
7650731,Ribes nigrum,ForestDryPoor
7650732,Ribes nigrum,ForestDryPoor
7650733,Ribes nigrum,ForestDryPoor
7650734,Ribes nigrum,ForestDryPoor
7650735,Ribes nigrum,ForestDryPoor
7650736,Ribes nigrum,ForestDryPoor
7650737,Ribes nigrum,ForestDryPoor
7650738,Ribes nigrum,ForestDryPoor
7650739,Ribes nigrum,ForestDryPoor
7650740,Ribes nigrum,ForestDryPoor
7650741,Ribes nigrum,ForestDryPoor
7650742,Ribes nigrum,ForestDryPoor
7650743,Ribes nigrum,ForestDryPoor
7650744,Ribes nigrum,ForestDryPoor
7650745,Ribes nigrum,ForestDryPoor
7650746,Ribes nigrum,ForestDryPoor
7650747,Ribes nigrum,ForestDryPoor
7650748,Ribes nigrum,ForestDryPoor
7650749,Ribes nigrum,ForestDryPoor
7650750,Ribes nigrum,ForestDryPoor
7650751,Ribes nigrum,ForestDryPoor
7650752,Ribes nigrum,ForestDryPoor
7650753,Ribes nigrum,ForestDryPoor
7650754,Ribes nigrum,ForestDryPoor
7653422,Ribes nigrum,ForestDryPoor
7653423,Ribes nigrum,ForestDryPoor
7653424,Ribes nigrum,ForestDryPoor
7653425,Ribes nigrum,ForestDryPoor
7653426,Ribes nigrum,ForestDryPoor
7653427,Ribes nigrum,ForestDryPoor
7653428,Ribes nigrum,ForestDryPoor
7653429,Ribes nigrum,ForestDryPoor
7653430,Ribes nigrum,ForestDryPoor
7653431,Ribes nigrum,ForestDryPoor
7653432,Ribes nigrum,ForestDryPoor
7653433,Ribes nigrum,ForestDryPoor
7653434,Ribes nigrum,ForestDryPoor
7653435,Ribes nigrum,ForestDryPoor
7653436,Ribes nigrum,ForestDryPoor
7653437,Ribes nigrum,ForestDryPoor
7653438,Ribes nigrum,ForestDryPoor
7653439,Ribes nigrum,ForestDryPoor
7653440,Ribes nigrum,ForestDryPoor
7653441,Ribes nigrum,ForestDryPoor
7653442,Ribes nigrum,ForestDryPoor
7653443,Ribes nigrum,ForestDryPoor
7653444,Ribes nigrum,ForestDryPoor
7653445,Ribes nigrum,ForestDryPoor
7653446,Ribes nigrum,ForestDryPoor
7653447,Ribes nigrum,ForestDryPoor
7653448,Ribes nigrum,ForestDryPoor
7653449,Ribes nigrum,ForestDryPoor
7653450,Ribes nigrum,ForestDryPoor
7653451,Ribes nigrum,ForestDryPoor
7653452,Ribes nigrum,ForestDryPoor
7653453,Ribes nigrum,ForestDryPoor
7653454,Ribes nigrum,ForestDryPoor
7653455,Ribes nigrum,ForestDryPoor
7653456,Ribes nigrum,ForestDryPoor
7653457,Ribes nigrum,ForestDryPoor
7656119,Ribes nigrum,ForestDryPoor
7656120,Ribes nigrum,ForestDryPoor
7656121,Ribes nigrum,ForestDryPoor
7656122,Ribes nigrum,ForestDryPoor
7656123,Ribes nigrum,ForestDryPoor
7656124,Ribes nigrum,ForestDryPoor
7656125,Ribes nigrum,ForestDryPoor
7656126,Ribes nigrum,ForestDryPoor
7656127,Ribes nigrum,ForestDryPoor
7656128,Ribes nigrum,ForestDryPoor
7656129,Ribes nigrum,ForestDryPoor
7656130,Ribes nigrum,ForestDryPoor
7656131,Ribes nigrum,ForestDryPoor
7656132,Ribes nigrum,ForestDryPoor
7656133,Ribes nigrum,ForestDryPoor
7656134,Ribes nigrum,ForestDryPoor
7656135,Ribes nigrum,ForestDryPoor
7656136,Ribes nigrum,ForestDryPoor
7656137,Ribes nigrum,ForestDryPoor
7656138,Ribes nigrum,ForestDryPoor
7656139,Ribes nigrum,ForestDryPoor
7656140,Ribes nigrum,ForestDryPoor
7656141,Ribes nigrum,ForestDryPoor
7656142,Ribes nigrum,ForestDryPoor
7656143,Ribes nigrum,ForestDryPoor
7656144,Ribes nigrum,ForestDryPoor
7656145,Ribes nigrum,ForestDryPoor
7656146,Ribes nigrum,ForestDryPoor
7656147,Ribes nigrum,ForestDryPoor
7656148,Ribes nigrum,ForestDryPoor
7656149,Ribes nigrum,ForestDryPoor
7656150,Ribes nigrum,ForestDryPoor
7656151,Ribes nigrum,ForestDryPoor
7656152,Ribes nigrum,ForestDryPoor
7656153,Ribes nigrum,ForestDryPoor
7656154,Ribes nigrum,ForestDryPoor
7656155,Ribes nigrum,ForestDryPoor
7656156,Ribes nigrum,ForestDryPoor
7656157,Ribes nigrum,ForestDryPoor
7656158,Ribes nigrum,ForestDryPoor
7656159,Ribes nigrum,ForestDryPoor
7658817,Ribes nigrum,ForestDryPoor
7658818,Ribes nigrum,ForestDryPoor
7658819,Ribes nigrum,ForestDryPoor
7658820,Ribes nigrum,ForestDryPoor
7658821,Ribes nigrum,ForestDryPoor
7658822,Ribes nigrum,ForestDryPoor
7658823,Ribes nigrum,ForestDryPoor
7658824,Ribes nigrum,ForestDryPoor
7658825,Ribes nigrum,ForestDryPoor
7658826,Ribes nigrum,ForestDryPoor
7658827,Ribes nigrum,ForestDryPoor
7658828,Ribes nigrum,ForestDryPoor
7658829,Ribes nigrum,ForestDryPoor
7658830,Ribes nigrum,ForestDryPoor
7658831,Ribes nigrum,ForestDryPoor
7658832,Ribes nigrum,ForestDryPoor
7658833,Ribes nigrum,ForestDryPoor
7658834,Ribes nigrum,ForestDryPoor
7658835,Ribes nigrum,ForestDryPoor
7658836,Ribes nigrum,ForestDryPoor
7658837,Ribes nigrum,ForestDryPoor
7658838,Ribes nigrum,ForestDryPoor
7658839,Ribes nigrum,ForestDryPoor
7658840,Ribes nigrum,ForestDryPoor
7658841,Ribes nigrum,ForestDryPoor
7658842,Ribes nigrum,ForestDryPoor
7658843,Ribes nigrum,ForestDryPoor
7658844,Ribes nigrum,ForestDryPoor
7658845,Ribes nigrum,ForestDryPoor
7658846,Ribes nigrum,ForestDryPoor
7658847,Ribes nigrum,ForestDryPoor
7658848,Ribes nigrum,ForestDryPoor
7658849,Ribes nigrum,ForestDryPoor
7658850,Ribes nigrum,ForestDryPoor
7658851,Ribes nigrum,ForestDryPoor
7658852,Ribes nigrum,ForestDryPoor
7658853,Ribes nigrum,ForestDryPoor
7658854,Ribes nigrum,ForestDryPoor
7658855,Ribes nigrum,ForestDryPoor
7658856,Ribes nigrum,ForestDryPoor
7658857,Ribes nigrum,ForestDryPoor
7658858,Ribes nigrum,ForestDryPoor
7658859,Ribes nigrum,ForestDryPoor
7658860,Ribes nigrum,ForestDryPoor
7658861,Ribes nigrum,ForestDryPoor
7658862,Ribes nigrum,ForestDryPoor
7661515,Ribes nigrum,ForestDryPoor
7661516,Ribes nigrum,ForestDryPoor
7661517,Ribes nigrum,ForestDryPoor
7661518,Ribes nigrum,ForestDryPoor
7661519,Ribes nigrum,ForestDryPoor
7661520,Ribes nigrum,ForestDryPoor
7661521,Ribes nigrum,ForestDryPoor
7661522,Ribes nigrum,ForestDryPoor
7661523,Ribes nigrum,ForestDryPoor
7661524,Ribes nigrum,ForestDryPoor
7661525,Ribes nigrum,ForestDryPoor
7661526,Ribes nigrum,ForestDryPoor
7661527,Ribes nigrum,ForestDryPoor
7661528,Ribes nigrum,ForestDryPoor
7661529,Ribes nigrum,ForestDryPoor
7661530,Ribes nigrum,ForestDryPoor
7661531,Ribes nigrum,ForestDryPoor
7661532,Ribes nigrum,ForestDryPoor
7661533,Ribes nigrum,ForestDryPoor
7661534,Ribes nigrum,ForestDryPoor
7661535,Ribes nigrum,ForestDryPoor
7661536,Ribes nigrum,ForestDryPoor
7661537,Ribes nigrum,ForestDryPoor
7661538,Ribes nigrum,ForestDryPoor
7661539,Ribes nigrum,ForestDryPoor
7661540,Ribes nigrum,ForestDryPoor
7661541,Ribes nigrum,ForestDryPoor
7661542,Ribes nigrum,ForestDryPoor
7661543,Ribes nigrum,ForestDryPoor
7661544,Ribes nigrum,ForestDryPoor
7661545,Ribes nigrum,ForestDryPoor
7661546,Ribes nigrum,ForestDryPoor
7661547,Ribes nigrum,ForestDryPoor
7661548,Ribes nigrum,ForestDryPoor
7661549,Ribes nigrum,ForestDryPoor
7661550,Ribes nigrum,ForestDryPoor
7661551,Ribes nigrum,ForestDryPoor
7661552,Ribes nigrum,ForestDryPoor
7661553,Ribes nigrum,ForestDryPoor
7661554,Ribes nigrum,ForestDryPoor
7661555,Ribes nigrum,ForestDryPoor
7661556,Ribes nigrum,ForestDryPoor
7661557,Ribes nigrum,ForestDryPoor
7661558,Ribes nigrum,ForestDryPoor
7661559,Ribes nigrum,ForestDryPoor
7661560,Ribes nigrum,ForestDryPoor
7661561,Ribes nigrum,ForestDryPoor
7661562,Ribes nigrum,ForestDryPoor
7661563,Ribes nigrum,ForestDryPoor
7664214,Ribes nigrum,ForestDryPoor
7664215,Ribes nigrum,ForestDryPoor
7664216,Ribes nigrum,ForestDryPoor
7664217,Ribes nigrum,ForestDryPoor
7664218,Ribes nigrum,ForestDryPoor
7664219,Ribes nigrum,ForestDryPoor
7664220,Ribes nigrum,ForestDryPoor
7664221,Ribes nigrum,ForestDryPoor
7664222,Ribes nigrum,ForestDryPoor
7664223,Ribes nigrum,ForestDryPoor
7664224,Ribes nigrum,ForestDryPoor
7664225,Ribes nigrum,ForestDryPoor
7664226,Ribes nigrum,ForestDryPoor
7664227,Ribes nigrum,ForestDryPoor
7664228,Ribes nigrum,ForestDryPoor
7664229,Ribes nigrum,ForestDryPoor
7664230,Ribes nigrum,ForestDryPoor
7664231,Ribes nigrum,ForestDryPoor
7664232,Ribes nigrum,ForestDryPoor
7664233,Ribes nigrum,ForestDryPoor
7664234,Ribes nigrum,ForestDryPoor
7664235,Ribes nigrum,ForestDryPoor
7664236,Ribes nigrum,ForestDryPoor
7664237,Ribes nigrum,ForestDryPoor
7664238,Ribes nigrum,ForestDryPoor
7664239,Ribes nigrum,ForestDryPoor
7664240,Ribes nigrum,ForestDryPoor
7664241,Ribes nigrum,ForestDryPoor
7664242,Ribes nigrum,ForestDryPoor
7664243,Ribes nigrum,ForestDryPoor
7664244,Ribes nigrum,ForestDryPoor
7664245,Ribes nigrum,ForestDryPoor
7664246,Ribes nigrum,ForestDryPoor
7664247,Ribes nigrum,ForestDryPoor
7664248,Ribes nigrum,ForestDryPoor
7664249,Ribes nigrum,ForestDryPoor
7664250,Ribes nigrum,ForestDryPoor
7664251,Ribes nigrum,ForestDryPoor
