cell,species,Landuse
8269081,Lathyrus sylvestris,ForestDryRich
8271781,Lathyrus sylvestris,ForestDryRich
8271782,Lathyrus sylvestris,ForestDryRich
8274481,Lathyrus sylvestris,ForestDryRich
8274482,Lathyrus sylvestris,ForestDryRich
8274483,Lathyrus sylvestris,ForestDryRich
8277181,Lathyrus sylvestris,ForestDryRich
8277182,Lathyrus sylvestris,ForestDryRich
8277183,Lathyrus sylvestris,ForestDryRich
8279881,Lathyrus sylvestris,ForestDryRich
8279882,Lathyrus sylvestris,ForestDryRich
8279883,Lathyrus sylvestris,ForestDryRich
8279884,Lathyrus sylvestris,ForestDryRich
8282581,Lathyrus sylvestris,ForestDryRich
8282582,Lathyrus sylvestris,ForestDryRich
8282583,Lathyrus sylvestris,ForestDryRich
8282584,Lathyrus sylvestris,ForestDryRich
8282585,Lathyrus sylvestris,ForestDryRich
8285281,Lathyrus sylvestris,ForestDryRich
8285282,Lathyrus sylvestris,ForestDryRich
8285283,Lathyrus sylvestris,ForestDryRich
8285284,Lathyrus sylvestris,ForestDryRich
8285285,Lathyrus sylvestris,ForestDryRich
8287981,Lathyrus sylvestris,ForestDryRich
8287982,Lathyrus sylvestris,ForestDryRich
8287983,Lathyrus sylvestris,ForestDryRich
8287984,Lathyrus sylvestris,ForestDryRich
8287985,Lathyrus sylvestris,ForestDryRich
8287986,Lathyrus sylvestris,ForestDryRich
8290681,Lathyrus sylvestris,ForestDryRich
8290682,Lathyrus sylvestris,ForestDryRich
8290683,Lathyrus sylvestris,ForestDryRich
8290684,Lathyrus sylvestris,ForestDryRich
8290685,Lathyrus sylvestris,ForestDryRich
8290686,Lathyrus sylvestris,ForestDryRich
8290687,Lathyrus sylvestris,ForestDryRich
8293381,Lathyrus sylvestris,ForestDryRich
8293382,Lathyrus sylvestris,ForestDryRich
8293383,Lathyrus sylvestris,ForestDryRich
8293384,Lathyrus sylvestris,ForestDryRich
8293385,Lathyrus sylvestris,ForestDryRich
8293386,Lathyrus sylvestris,ForestDryRich
8293387,Lathyrus sylvestris,ForestDryRich
8296081,Lathyrus sylvestris,ForestDryRich
8296082,Lathyrus sylvestris,ForestDryRich
8296083,Lathyrus sylvestris,ForestDryRich
8296084,Lathyrus sylvestris,ForestDryRich
8296085,Lathyrus sylvestris,ForestDryRich
8296086,Lathyrus sylvestris,ForestDryRich
8296087,Lathyrus sylvestris,ForestDryRich
8298781,Lathyrus sylvestris,ForestDryRich
8298782,Lathyrus sylvestris,ForestDryRich
8298783,Lathyrus sylvestris,ForestDryRich
8298784,Lathyrus sylvestris,ForestDryRich
8298785,Lathyrus sylvestris,ForestDryRich
8298786,Lathyrus sylvestris,ForestDryRich
8298787,Lathyrus sylvestris,ForestDryRich
8298788,Lathyrus sylvestris,ForestDryRich
8301481,Lathyrus sylvestris,ForestDryRich
8301482,Lathyrus sylvestris,ForestDryRich
8301483,Lathyrus sylvestris,ForestDryRich
8301484,Lathyrus sylvestris,ForestDryRich
8301485,Lathyrus sylvestris,ForestDryRich
8301486,Lathyrus sylvestris,ForestDryRich
8301487,Lathyrus sylvestris,ForestDryRich
8301488,Lathyrus sylvestris,ForestDryRich
8304181,Lathyrus sylvestris,ForestDryRich
