cell,species,Landuse
7437361,Luzula campestris,ForestDryRich
7440061,Luzula campestris,ForestDryRich
7440062,Luzula campestris,ForestDryRich
7440063,Luzula campestris,ForestDryRich
7440064,Luzula campestris,ForestDryRich
7440065,Luzula campestris,ForestDryRich
7440066,Luzula campestris,ForestDryRich
7442761,Luzula campestris,ForestDryRich
7442762,Luzula campestris,ForestDryRich
7442763,Luzula campestris,ForestDryRich
7442764,Luzula campestris,ForestDryRich
7442765,Luzula campestris,ForestDryRich
7442766,Luzula campestris,ForestDryRich
7442767,Luzula campestris,ForestDryRich
7442768,Luzula campestris,ForestDryRich
7442769,Luzula campestris,ForestDryRich
7442770,Luzula campestris,ForestDryRich
7445461,Luzula campestris,ForestDryRich
7445462,Luzula campestris,ForestDryRich
7445463,Luzula campestris,ForestDryRich
7445464,Luzula campestris,ForestDryRich
7445465,Luzula campestris,ForestDryRich
7445466,Luzula campestris,ForestDryRich
7445467,Luzula campestris,ForestDryRich
7445468,Luzula campestris,ForestDryRich
7445469,Luzula campestris,ForestDryRich
7445470,Luzula campestris,ForestDryRich
7445471,Luzula campestris,ForestDryRich
7445472,Luzula campestris,ForestDryRich
7448161,Luzula campestris,ForestDryRich
7448162,Luzula campestris,ForestDryRich
7448163,Luzula campestris,ForestDryRich
7448164,Luzula campestris,ForestDryRich
7448165,Luzula campestris,ForestDryRich
7448166,Luzula campestris,ForestDryRich
7448167,Luzula campestris,ForestDryRich
7448168,Luzula campestris,ForestDryRich
7448169,Luzula campestris,ForestDryRich
7448170,Luzula campestris,ForestDryRich
7448171,Luzula campestris,ForestDryRich
7448172,Luzula campestris,ForestDryRich
7448173,Luzula campestris,ForestDryRich
7448174,Luzula campestris,ForestDryRich
7450861,Luzula campestris,ForestDryRich
7450862,Luzula campestris,ForestDryRich
7450863,Luzula campestris,ForestDryRich
7450864,Luzula campestris,ForestDryRich
7450865,Luzula campestris,ForestDryRich
7450866,Luzula campestris,ForestDryRich
7450867,Luzula campestris,ForestDryRich
7450868,Luzula campestris,ForestDryRich
7450869,Luzula campestris,ForestDryRich
7450870,Luzula campestris,ForestDryRich
7450871,Luzula campestris,ForestDryRich
7450872,Luzula campestris,ForestDryRich
7450873,Luzula campestris,ForestDryRich
7450874,Luzula campestris,ForestDryRich
7450875,Luzula campestris,ForestDryRich
7450876,Luzula campestris,ForestDryRich
7450877,Luzula campestris,ForestDryRich
7453561,Luzula campestris,ForestDryRich
7453562,Luzula campestris,ForestDryRich
7453563,Luzula campestris,ForestDryRich
7453564,Luzula campestris,ForestDryRich
7453565,Luzula campestris,ForestDryRich
7453566,Luzula campestris,ForestDryRich
7453567,Luzula campestris,ForestDryRich
7453568,Luzula campestris,ForestDryRich
7453569,Luzula campestris,ForestDryRich
7453570,Luzula campestris,ForestDryRich
7453571,Luzula campestris,ForestDryRich
7453572,Luzula campestris,ForestDryRich
7453573,Luzula campestris,ForestDryRich
7453574,Luzula campestris,ForestDryRich
7453575,Luzula campestris,ForestDryRich
7453576,Luzula campestris,ForestDryRich
7453577,Luzula campestris,ForestDryRich
7453578,Luzula campestris,ForestDryRich
7456261,Luzula campestris,ForestDryRich
7456262,Luzula campestris,ForestDryRich
7456263,Luzula campestris,ForestDryRich
7456264,Luzula campestris,ForestDryRich
7456265,Luzula campestris,ForestDryRich
7456266,Luzula campestris,ForestDryRich
7456267,Luzula campestris,ForestDryRich
7456268,Luzula campestris,ForestDryRich
7456269,Luzula campestris,ForestDryRich
7456270,Luzula campestris,ForestDryRich
7456271,Luzula campestris,ForestDryRich
7456272,Luzula campestris,ForestDryRich
7456273,Luzula campestris,ForestDryRich
7456274,Luzula campestris,ForestDryRich
7456275,Luzula campestris,ForestDryRich
7456276,Luzula campestris,ForestDryRich
7456277,Luzula campestris,ForestDryRich
7456278,Luzula campestris,ForestDryRich
7456279,Luzula campestris,ForestDryRich
7456280,Luzula campestris,ForestDryRich
7458961,Luzula campestris,ForestDryRich
