cell,species,Landuse
7399561,Rumex sanguineus,ForestDryRich
7399562,Rumex sanguineus,ForestDryRich
7399563,Rumex sanguineus,ForestDryRich
7399564,Rumex sanguineus,ForestDryRich
7399565,Rumex sanguineus,ForestDryRich
7399566,Rumex sanguineus,ForestDryRich
7399567,Rumex sanguineus,ForestDryRich
7399568,Rumex sanguineus,ForestDryRich
7399569,Rumex sanguineus,ForestDryRich
7399570,Rumex sanguineus,ForestDryRich
7399571,Rumex sanguineus,ForestDryRich
7399572,Rumex sanguineus,ForestDryRich
7399573,Rumex sanguineus,ForestDryRich
7399574,Rumex sanguineus,ForestDryRich
7399575,Rumex sanguineus,ForestDryRich
7399576,Rumex sanguineus,ForestDryRich
7399577,Rumex sanguineus,ForestDryRich
7399578,Rumex sanguineus,ForestDryRich
7399579,Rumex sanguineus,ForestDryRich
7399580,Rumex sanguineus,ForestDryRich
7402261,Rumex sanguineus,ForestDryRich
7402262,Rumex sanguineus,ForestDryRich
7402263,Rumex sanguineus,ForestDryRich
7402264,Rumex sanguineus,ForestDryRich
7402265,Rumex sanguineus,ForestDryRich
7402266,Rumex sanguineus,ForestDryRich
7402267,Rumex sanguineus,ForestDryRich
7402268,Rumex sanguineus,ForestDryRich
7402269,Rumex sanguineus,ForestDryRich
7402270,Rumex sanguineus,ForestDryRich
7402271,Rumex sanguineus,ForestDryRich
7402272,Rumex sanguineus,ForestDryRich
7402273,Rumex sanguineus,ForestDryRich
7402274,Rumex sanguineus,ForestDryRich
7402275,Rumex sanguineus,ForestDryRich
7402276,Rumex sanguineus,ForestDryRich
7402277,Rumex sanguineus,ForestDryRich
7402278,Rumex sanguineus,ForestDryRich
7402279,Rumex sanguineus,ForestDryRich
7402280,Rumex sanguineus,ForestDryRich
7404961,Rumex sanguineus,ForestDryRich
7404962,Rumex sanguineus,ForestDryRich
7404963,Rumex sanguineus,ForestDryRich
7404964,Rumex sanguineus,ForestDryRich
7404965,Rumex sanguineus,ForestDryRich
7404966,Rumex sanguineus,ForestDryRich
7404967,Rumex sanguineus,ForestDryRich
7404968,Rumex sanguineus,ForestDryRich
7404969,Rumex sanguineus,ForestDryRich
7404970,Rumex sanguineus,ForestDryRich
7404971,Rumex sanguineus,ForestDryRich
7404972,Rumex sanguineus,ForestDryRich
7404973,Rumex sanguineus,ForestDryRich
7404974,Rumex sanguineus,ForestDryRich
7404975,Rumex sanguineus,ForestDryRich
7404976,Rumex sanguineus,ForestDryRich
7404977,Rumex sanguineus,ForestDryRich
7404978,Rumex sanguineus,ForestDryRich
7404979,Rumex sanguineus,ForestDryRich
7404980,Rumex sanguineus,ForestDryRich
7407661,Rumex sanguineus,ForestDryRich
7407662,Rumex sanguineus,ForestDryRich
7407663,Rumex sanguineus,ForestDryRich
7407664,Rumex sanguineus,ForestDryRich
7407665,Rumex sanguineus,ForestDryRich
7407666,Rumex sanguineus,ForestDryRich
