cell,species,Landuse
7345661,Stellaria palustris,ForestDryRich
7345662,Stellaria palustris,ForestDryRich
7345663,Stellaria palustris,ForestDryRich
7345664,Stellaria palustris,ForestDryRich
7345665,Stellaria palustris,ForestDryRich
7345666,Stellaria palustris,ForestDryRich
7345667,Stellaria palustris,ForestDryRich
7345668,Stellaria palustris,ForestDryRich
7345669,Stellaria palustris,ForestDryRich
7345670,Stellaria palustris,ForestDryRich
7345671,Stellaria palustris,ForestDryRich
7345672,Stellaria palustris,ForestDryRich
7345673,Stellaria palustris,ForestDryRich
7345674,Stellaria palustris,ForestDryRich
7345675,Stellaria palustris,ForestDryRich
7345676,Stellaria palustris,ForestDryRich
7345677,Stellaria palustris,ForestDryRich
7345678,Stellaria palustris,ForestDryRich
7345679,Stellaria palustris,ForestDryRich
7345680,Stellaria palustris,ForestDryRich
7345681,Stellaria palustris,ForestDryRich
7345682,Stellaria palustris,ForestDryRich
7345683,Stellaria palustris,ForestDryRich
7345684,Stellaria palustris,ForestDryRich
7345685,Stellaria palustris,ForestDryRich
7345686,Stellaria palustris,ForestDryRich
7345687,Stellaria palustris,ForestDryRich
7345688,Stellaria palustris,ForestDryRich
7345689,Stellaria palustris,ForestDryRich
7345690,Stellaria palustris,ForestDryRich
7345691,Stellaria palustris,ForestDryRich
7345692,Stellaria palustris,ForestDryRich
7345693,Stellaria palustris,ForestDryRich
7345694,Stellaria palustris,ForestDryRich
7345695,Stellaria palustris,ForestDryRich
7345696,Stellaria palustris,ForestDryRich
7345697,Stellaria palustris,ForestDryRich
7345698,Stellaria palustris,ForestDryRich
7345699,Stellaria palustris,ForestDryRich
7345700,Stellaria palustris,ForestDryRich
7348361,Stellaria palustris,ForestDryRich
7348362,Stellaria palustris,ForestDryRich
7348363,Stellaria palustris,ForestDryRich
7348364,Stellaria palustris,ForestDryRich
7348365,Stellaria palustris,ForestDryRich
7348366,Stellaria palustris,ForestDryRich
7348367,Stellaria palustris,ForestDryRich
7348368,Stellaria palustris,ForestDryRich
7348369,Stellaria palustris,ForestDryRich
7348370,Stellaria palustris,ForestDryRich
7348371,Stellaria palustris,ForestDryRich
7348372,Stellaria palustris,ForestDryRich
7348373,Stellaria palustris,ForestDryRich
7348374,Stellaria palustris,ForestDryRich
7348375,Stellaria palustris,ForestDryRich
7348376,Stellaria palustris,ForestDryRich
7348377,Stellaria palustris,ForestDryRich
7348378,Stellaria palustris,ForestDryRich
7348379,Stellaria palustris,ForestDryRich
7348380,Stellaria palustris,ForestDryRich
7348381,Stellaria palustris,ForestDryRich
7348382,Stellaria palustris,ForestDryRich
7348383,Stellaria palustris,ForestDryRich
7348384,Stellaria palustris,ForestDryRich
7348385,Stellaria palustris,ForestDryRich
7348386,Stellaria palustris,ForestDryRich
7348387,Stellaria palustris,ForestDryRich
7348388,Stellaria palustris,ForestDryRich
7348389,Stellaria palustris,ForestDryRich
7348390,Stellaria palustris,ForestDryRich
7348391,Stellaria palustris,ForestDryRich
7348392,Stellaria palustris,ForestDryRich
7348393,Stellaria palustris,ForestDryRich
7348394,Stellaria palustris,ForestDryRich
7348395,Stellaria palustris,ForestDryRich
7348396,Stellaria palustris,ForestDryRich
7348397,Stellaria palustris,ForestDryRich
7348398,Stellaria palustris,ForestDryRich
7348399,Stellaria palustris,ForestDryRich
7348400,Stellaria palustris,ForestDryRich
7351061,Stellaria palustris,ForestDryRich
7351062,Stellaria palustris,ForestDryRich
7351063,Stellaria palustris,ForestDryRich
7351064,Stellaria palustris,ForestDryRich
7351065,Stellaria palustris,ForestDryRich
7351066,Stellaria palustris,ForestDryRich
7351067,Stellaria palustris,ForestDryRich
7351068,Stellaria palustris,ForestDryRich
7351069,Stellaria palustris,ForestDryRich
7351070,Stellaria palustris,ForestDryRich
7351071,Stellaria palustris,ForestDryRich
7351072,Stellaria palustris,ForestDryRich
7351073,Stellaria palustris,ForestDryRich
7351074,Stellaria palustris,ForestDryRich
7351075,Stellaria palustris,ForestDryRich
7351076,Stellaria palustris,ForestDryRich
7351077,Stellaria palustris,ForestDryRich
7351078,Stellaria palustris,ForestDryRich
7351079,Stellaria palustris,ForestDryRich
7351080,Stellaria palustris,ForestDryRich
7351081,Stellaria palustris,ForestDryRich
7351082,Stellaria palustris,ForestDryRich
7351083,Stellaria palustris,ForestDryRich
7351084,Stellaria palustris,ForestDryRich
7351085,Stellaria palustris,ForestDryRich
7351086,Stellaria palustris,ForestDryRich
7351087,Stellaria palustris,ForestDryRich
7351088,Stellaria palustris,ForestDryRich
7351089,Stellaria palustris,ForestDryRich
7351090,Stellaria palustris,ForestDryRich
7351091,Stellaria palustris,ForestDryRich
7351092,Stellaria palustris,ForestDryRich
7351093,Stellaria palustris,ForestDryRich
7351094,Stellaria palustris,ForestDryRich
7351095,Stellaria palustris,ForestDryRich
7351096,Stellaria palustris,ForestDryRich
