cell,species,Landuse
7790953,Typha latifolia,ForestDryRich
7790954,Typha latifolia,ForestDryRich
7790955,Typha latifolia,ForestDryRich
7790956,Typha latifolia,ForestDryRich
7790957,Typha latifolia,ForestDryRich
7793645,Typha latifolia,ForestDryRich
7793646,Typha latifolia,ForestDryRich
7793647,Typha latifolia,ForestDryRich
7793648,Typha latifolia,ForestDryRich
7793649,Typha latifolia,ForestDryRich
7793650,Typha latifolia,ForestDryRich
7793651,Typha latifolia,ForestDryRich
7793652,Typha latifolia,ForestDryRich
7793653,Typha latifolia,ForestDryRich
7793654,Typha latifolia,ForestDryRich
7793655,Typha latifolia,ForestDryRich
7793656,Typha latifolia,ForestDryRich
7793657,Typha latifolia,ForestDryRich
7793658,Typha latifolia,ForestDryRich
7793659,Typha latifolia,ForestDryRich
7793660,Typha latifolia,ForestDryRich
7793661,Typha latifolia,ForestDryRich
7793662,Typha latifolia,ForestDryRich
7793663,Typha latifolia,ForestDryRich
7793664,Typha latifolia,ForestDryRich
7793665,Typha latifolia,ForestDryRich
7796341,Typha latifolia,ForestDryRich
7796342,Typha latifolia,ForestDryRich
7796343,Typha latifolia,ForestDryRich
7796344,Typha latifolia,ForestDryRich
7796345,Typha latifolia,ForestDryRich
7796346,Typha latifolia,ForestDryRich
7796347,Typha latifolia,ForestDryRich
7796348,Typha latifolia,ForestDryRich
7796349,Typha latifolia,ForestDryRich
7796350,Typha latifolia,ForestDryRich
7796351,Typha latifolia,ForestDryRich
7796352,Typha latifolia,ForestDryRich
7796353,Typha latifolia,ForestDryRich
7796354,Typha latifolia,ForestDryRich
7796355,Typha latifolia,ForestDryRich
7796356,Typha latifolia,ForestDryRich
7796357,Typha latifolia,ForestDryRich
7796358,Typha latifolia,ForestDryRich
7796359,Typha latifolia,ForestDryRich
7796360,Typha latifolia,ForestDryRich
7796361,Typha latifolia,ForestDryRich
7796362,Typha latifolia,ForestDryRich
7796363,Typha latifolia,ForestDryRich
7796364,Typha latifolia,ForestDryRich
7796365,Typha latifolia,ForestDryRich
7796366,Typha latifolia,ForestDryRich
7796367,Typha latifolia,ForestDryRich
7796368,Typha latifolia,ForestDryRich
7796369,Typha latifolia,ForestDryRich
7799038,Typha latifolia,ForestDryRich
7799039,Typha latifolia,ForestDryRich
7799040,Typha latifolia,ForestDryRich
7799041,Typha latifolia,ForestDryRich
7799042,Typha latifolia,ForestDryRich
7799043,Typha latifolia,ForestDryRich
7799044,Typha latifolia,ForestDryRich
7799045,Typha latifolia,ForestDryRich
7799046,Typha latifolia,ForestDryRich
7799047,Typha latifolia,ForestDryRich
7799048,Typha latifolia,ForestDryRich
7799049,Typha latifolia,ForestDryRich
7799050,Typha latifolia,ForestDryRich
7799051,Typha latifolia,ForestDryRich
7799052,Typha latifolia,ForestDryRich
7799053,Typha latifolia,ForestDryRich
7799054,Typha latifolia,ForestDryRich
7799055,Typha latifolia,ForestDryRich
7799056,Typha latifolia,ForestDryRich
7799057,Typha latifolia,ForestDryRich
7799058,Typha latifolia,ForestDryRich
7799059,Typha latifolia,ForestDryRich
7799060,Typha latifolia,ForestDryRich
7799061,Typha latifolia,ForestDryRich
7799062,Typha latifolia,ForestDryRich
7799063,Typha latifolia,ForestDryRich
7799064,Typha latifolia,ForestDryRich
7799065,Typha latifolia,ForestDryRich
7799066,Typha latifolia,ForestDryRich
7799067,Typha latifolia,ForestDryRich
7799068,Typha latifolia,ForestDryRich
7799069,Typha latifolia,ForestDryRich
7799070,Typha latifolia,ForestDryRich
7799071,Typha latifolia,ForestDryRich
7799072,Typha latifolia,ForestDryRich
7801736,Typha latifolia,ForestDryRich
7801737,Typha latifolia,ForestDryRich
7801738,Typha latifolia,ForestDryRich
7801739,Typha latifolia,ForestDryRich
7801740,Typha latifolia,ForestDryRich
7801741,Typha latifolia,ForestDryRich
7801742,Typha latifolia,ForestDryRich
7801743,Typha latifolia,ForestDryRich
7801744,Typha latifolia,ForestDryRich
7801745,Typha latifolia,ForestDryRich
7801746,Typha latifolia,ForestDryRich
7801747,Typha latifolia,ForestDryRich
7801748,Typha latifolia,ForestDryRich
7801749,Typha latifolia,ForestDryRich
7801750,Typha latifolia,ForestDryRich
7801751,Typha latifolia,ForestDryRich
7801752,Typha latifolia,ForestDryRich
7801753,Typha latifolia,ForestDryRich
