cell,species,Landuse
7345541,Briza media,ForestWetPoor
7345542,Briza media,ForestWetPoor
7345543,Briza media,ForestWetPoor
7345544,Briza media,ForestWetPoor
7345545,Briza media,ForestWetPoor
7345546,Briza media,ForestWetPoor
7345547,Briza media,ForestWetPoor
7345548,Briza media,ForestWetPoor
7345549,Briza media,ForestWetPoor
7345550,Briza media,ForestWetPoor
7345551,Briza media,ForestWetPoor
7345552,Briza media,ForestWetPoor
7345553,Briza media,ForestWetPoor
7345554,Briza media,ForestWetPoor
7345555,Briza media,ForestWetPoor
7345556,Briza media,ForestWetPoor
7345557,Briza media,ForestWetPoor
7345558,Briza media,ForestWetPoor
7345559,Briza media,ForestWetPoor
7345560,Briza media,ForestWetPoor
7348241,Briza media,ForestWetPoor
7348242,Briza media,ForestWetPoor
7348243,Briza media,ForestWetPoor
7348244,Briza media,ForestWetPoor
7348245,Briza media,ForestWetPoor
7348246,Briza media,ForestWetPoor
7348247,Briza media,ForestWetPoor
7348248,Briza media,ForestWetPoor
7348249,Briza media,ForestWetPoor
7348250,Briza media,ForestWetPoor
7348251,Briza media,ForestWetPoor
7348252,Briza media,ForestWetPoor
7348253,Briza media,ForestWetPoor
7348254,Briza media,ForestWetPoor
7348255,Briza media,ForestWetPoor
7348256,Briza media,ForestWetPoor
7348257,Briza media,ForestWetPoor
7348258,Briza media,ForestWetPoor
7348259,Briza media,ForestWetPoor
7348260,Briza media,ForestWetPoor
7350941,Briza media,ForestWetPoor
7350942,Briza media,ForestWetPoor
7350943,Briza media,ForestWetPoor
7350944,Briza media,ForestWetPoor
7350945,Briza media,ForestWetPoor
7350946,Briza media,ForestWetPoor
7350947,Briza media,ForestWetPoor
7350948,Briza media,ForestWetPoor
7350949,Briza media,ForestWetPoor
7350950,Briza media,ForestWetPoor
7350951,Briza media,ForestWetPoor
7350952,Briza media,ForestWetPoor
7350953,Briza media,ForestWetPoor
7350954,Briza media,ForestWetPoor
7350955,Briza media,ForestWetPoor
7350956,Briza media,ForestWetPoor
7350957,Briza media,ForestWetPoor
7350958,Briza media,ForestWetPoor
7350959,Briza media,ForestWetPoor
7350960,Briza media,ForestWetPoor
7353641,Briza media,ForestWetPoor
7353642,Briza media,ForestWetPoor
7353643,Briza media,ForestWetPoor
7353644,Briza media,ForestWetPoor
7353645,Briza media,ForestWetPoor
7353646,Briza media,ForestWetPoor
