cell,species,Landuse
7507537,Carex remota,ForestWetPoor
7507538,Carex remota,ForestWetPoor
7507539,Carex remota,ForestWetPoor
7507540,Carex remota,ForestWetPoor
7507541,Carex remota,ForestWetPoor
7507542,Carex remota,ForestWetPoor
7507543,Carex remota,ForestWetPoor
7507544,Carex remota,ForestWetPoor
7507545,Carex remota,ForestWetPoor
7507546,Carex remota,ForestWetPoor
7507547,Carex remota,ForestWetPoor
7507548,Carex remota,ForestWetPoor
7507549,Carex remota,ForestWetPoor
7507550,Carex remota,ForestWetPoor
7507551,Carex remota,ForestWetPoor
7507552,Carex remota,ForestWetPoor
7507553,Carex remota,ForestWetPoor
7507554,Carex remota,ForestWetPoor
7507555,Carex remota,ForestWetPoor
7507556,Carex remota,ForestWetPoor
7507557,Carex remota,ForestWetPoor
7507558,Carex remota,ForestWetPoor
7507559,Carex remota,ForestWetPoor
7507560,Carex remota,ForestWetPoor
7510237,Carex remota,ForestWetPoor
7510238,Carex remota,ForestWetPoor
7510239,Carex remota,ForestWetPoor
7510240,Carex remota,ForestWetPoor
7510241,Carex remota,ForestWetPoor
7510242,Carex remota,ForestWetPoor
7510243,Carex remota,ForestWetPoor
7510244,Carex remota,ForestWetPoor
7510245,Carex remota,ForestWetPoor
7510246,Carex remota,ForestWetPoor
7510247,Carex remota,ForestWetPoor
7510248,Carex remota,ForestWetPoor
7510249,Carex remota,ForestWetPoor
7510250,Carex remota,ForestWetPoor
7510251,Carex remota,ForestWetPoor
7510252,Carex remota,ForestWetPoor
7510253,Carex remota,ForestWetPoor
7510254,Carex remota,ForestWetPoor
7510255,Carex remota,ForestWetPoor
7510256,Carex remota,ForestWetPoor
7510257,Carex remota,ForestWetPoor
7510258,Carex remota,ForestWetPoor
7510259,Carex remota,ForestWetPoor
7510260,Carex remota,ForestWetPoor
7512937,Carex remota,ForestWetPoor
7512938,Carex remota,ForestWetPoor
7512939,Carex remota,ForestWetPoor
7512940,Carex remota,ForestWetPoor
7512941,Carex remota,ForestWetPoor
7512942,Carex remota,ForestWetPoor
7512943,Carex remota,ForestWetPoor
7512944,Carex remota,ForestWetPoor
7512945,Carex remota,ForestWetPoor
7512946,Carex remota,ForestWetPoor
7512947,Carex remota,ForestWetPoor
7512948,Carex remota,ForestWetPoor
7512949,Carex remota,ForestWetPoor
7512950,Carex remota,ForestWetPoor
7512951,Carex remota,ForestWetPoor
7512952,Carex remota,ForestWetPoor
7512953,Carex remota,ForestWetPoor
7512954,Carex remota,ForestWetPoor
7512955,Carex remota,ForestWetPoor
7512956,Carex remota,ForestWetPoor
7512957,Carex remota,ForestWetPoor
7512958,Carex remota,ForestWetPoor
7512959,Carex remota,ForestWetPoor
7512960,Carex remota,ForestWetPoor
7515637,Carex remota,ForestWetPoor
7515638,Carex remota,ForestWetPoor
7515639,Carex remota,ForestWetPoor
7515640,Carex remota,ForestWetPoor
7515641,Carex remota,ForestWetPoor
7515642,Carex remota,ForestWetPoor
7515643,Carex remota,ForestWetPoor
7515644,Carex remota,ForestWetPoor
7515645,Carex remota,ForestWetPoor
7515646,Carex remota,ForestWetPoor
7515647,Carex remota,ForestWetPoor
7515648,Carex remota,ForestWetPoor
7515649,Carex remota,ForestWetPoor
7515650,Carex remota,ForestWetPoor
7515651,Carex remota,ForestWetPoor
7515652,Carex remota,ForestWetPoor
7515653,Carex remota,ForestWetPoor
7515654,Carex remota,ForestWetPoor
7515655,Carex remota,ForestWetPoor
7515656,Carex remota,ForestWetPoor
7515657,Carex remota,ForestWetPoor
7515658,Carex remota,ForestWetPoor
7515659,Carex remota,ForestWetPoor
7515660,Carex remota,ForestWetPoor
7518337,Carex remota,ForestWetPoor
7518338,Carex remota,ForestWetPoor
7518339,Carex remota,ForestWetPoor
7518340,Carex remota,ForestWetPoor
7518341,Carex remota,ForestWetPoor
7518342,Carex remota,ForestWetPoor
7518343,Carex remota,ForestWetPoor
7518344,Carex remota,ForestWetPoor
7518345,Carex remota,ForestWetPoor
7518346,Carex remota,ForestWetPoor
7518347,Carex remota,ForestWetPoor
7518348,Carex remota,ForestWetPoor
7518349,Carex remota,ForestWetPoor
7518350,Carex remota,ForestWetPoor
7518351,Carex remota,ForestWetPoor
7518352,Carex remota,ForestWetPoor
7518353,Carex remota,ForestWetPoor
7518354,Carex remota,ForestWetPoor
7518355,Carex remota,ForestWetPoor
7518356,Carex remota,ForestWetPoor
7518357,Carex remota,ForestWetPoor
7518358,Carex remota,ForestWetPoor
7518359,Carex remota,ForestWetPoor
7518360,Carex remota,ForestWetPoor
7521037,Carex remota,ForestWetPoor
7521038,Carex remota,ForestWetPoor
7521039,Carex remota,ForestWetPoor
7521040,Carex remota,ForestWetPoor
7521041,Carex remota,ForestWetPoor
7521042,Carex remota,ForestWetPoor
7521043,Carex remota,ForestWetPoor
7521044,Carex remota,ForestWetPoor
7521045,Carex remota,ForestWetPoor
7521046,Carex remota,ForestWetPoor
7521047,Carex remota,ForestWetPoor
7521048,Carex remota,ForestWetPoor
7521049,Carex remota,ForestWetPoor
7521050,Carex remota,ForestWetPoor
7521051,Carex remota,ForestWetPoor
7521052,Carex remota,ForestWetPoor
7521053,Carex remota,ForestWetPoor
7521054,Carex remota,ForestWetPoor
7521055,Carex remota,ForestWetPoor
7521056,Carex remota,ForestWetPoor
7521057,Carex remota,ForestWetPoor
