cell,species,Landuse
7453467,Rumex acetosa,ForestWetPoor
7453468,Rumex acetosa,ForestWetPoor
7453469,Rumex acetosa,ForestWetPoor
7453470,Rumex acetosa,ForestWetPoor
7453471,Rumex acetosa,ForestWetPoor
7453472,Rumex acetosa,ForestWetPoor
7453473,Rumex acetosa,ForestWetPoor
7453474,Rumex acetosa,ForestWetPoor
7453475,Rumex acetosa,ForestWetPoor
7453476,Rumex acetosa,ForestWetPoor
7453477,Rumex acetosa,ForestWetPoor
7453478,Rumex acetosa,ForestWetPoor
7453479,Rumex acetosa,ForestWetPoor
7453480,Rumex acetosa,ForestWetPoor
7453481,Rumex acetosa,ForestWetPoor
7453482,Rumex acetosa,ForestWetPoor
7453483,Rumex acetosa,ForestWetPoor
7453484,Rumex acetosa,ForestWetPoor
7453485,Rumex acetosa,ForestWetPoor
7453486,Rumex acetosa,ForestWetPoor
7453487,Rumex acetosa,ForestWetPoor
7453488,Rumex acetosa,ForestWetPoor
7453489,Rumex acetosa,ForestWetPoor
7453490,Rumex acetosa,ForestWetPoor
7453491,Rumex acetosa,ForestWetPoor
7453492,Rumex acetosa,ForestWetPoor
7453493,Rumex acetosa,ForestWetPoor
7453494,Rumex acetosa,ForestWetPoor
7453495,Rumex acetosa,ForestWetPoor
7453496,Rumex acetosa,ForestWetPoor
7453497,Rumex acetosa,ForestWetPoor
7453498,Rumex acetosa,ForestWetPoor
7453499,Rumex acetosa,ForestWetPoor
7453500,Rumex acetosa,ForestWetPoor
7453501,Rumex acetosa,ForestWetPoor
7453502,Rumex acetosa,ForestWetPoor
7453503,Rumex acetosa,ForestWetPoor
7453504,Rumex acetosa,ForestWetPoor
7453505,Rumex acetosa,ForestWetPoor
7456165,Rumex acetosa,ForestWetPoor
7456166,Rumex acetosa,ForestWetPoor
7456167,Rumex acetosa,ForestWetPoor
7456168,Rumex acetosa,ForestWetPoor
7456169,Rumex acetosa,ForestWetPoor
7456170,Rumex acetosa,ForestWetPoor
7456171,Rumex acetosa,ForestWetPoor
7456172,Rumex acetosa,ForestWetPoor
7456173,Rumex acetosa,ForestWetPoor
7456174,Rumex acetosa,ForestWetPoor
7456175,Rumex acetosa,ForestWetPoor
7456176,Rumex acetosa,ForestWetPoor
7456177,Rumex acetosa,ForestWetPoor
7456178,Rumex acetosa,ForestWetPoor
7456179,Rumex acetosa,ForestWetPoor
7456180,Rumex acetosa,ForestWetPoor
7456181,Rumex acetosa,ForestWetPoor
7456182,Rumex acetosa,ForestWetPoor
7456183,Rumex acetosa,ForestWetPoor
7456184,Rumex acetosa,ForestWetPoor
7456185,Rumex acetosa,ForestWetPoor
7456186,Rumex acetosa,ForestWetPoor
7456187,Rumex acetosa,ForestWetPoor
7456188,Rumex acetosa,ForestWetPoor
7456189,Rumex acetosa,ForestWetPoor
7456190,Rumex acetosa,ForestWetPoor
7456191,Rumex acetosa,ForestWetPoor
7456192,Rumex acetosa,ForestWetPoor
7456193,Rumex acetosa,ForestWetPoor
7456194,Rumex acetosa,ForestWetPoor
7456195,Rumex acetosa,ForestWetPoor
7456196,Rumex acetosa,ForestWetPoor
7456197,Rumex acetosa,ForestWetPoor
7456198,Rumex acetosa,ForestWetPoor
7456199,Rumex acetosa,ForestWetPoor
7456200,Rumex acetosa,ForestWetPoor
7456201,Rumex acetosa,ForestWetPoor
7456202,Rumex acetosa,ForestWetPoor
7456203,Rumex acetosa,ForestWetPoor
7456204,Rumex acetosa,ForestWetPoor
7456205,Rumex acetosa,ForestWetPoor
7456206,Rumex acetosa,ForestWetPoor
7456207,Rumex acetosa,ForestWetPoor
7456208,Rumex acetosa,ForestWetPoor
7458863,Rumex acetosa,ForestWetPoor
7458864,Rumex acetosa,ForestWetPoor
7458865,Rumex acetosa,ForestWetPoor
7458866,Rumex acetosa,ForestWetPoor
7458867,Rumex acetosa,ForestWetPoor
7458868,Rumex acetosa,ForestWetPoor
7458869,Rumex acetosa,ForestWetPoor
7458870,Rumex acetosa,ForestWetPoor
7458871,Rumex acetosa,ForestWetPoor
7458872,Rumex acetosa,ForestWetPoor
