cell,species,Landuse
8317681,Veronica persica,ForestWetPoor
8317682,Veronica persica,ForestWetPoor
8317683,Veronica persica,ForestWetPoor
8317684,Veronica persica,ForestWetPoor
8317685,Veronica persica,ForestWetPoor
8317686,Veronica persica,ForestWetPoor
8317687,Veronica persica,ForestWetPoor
8317688,Veronica persica,ForestWetPoor
8317689,Veronica persica,ForestWetPoor
8317690,Veronica persica,ForestWetPoor
8317691,Veronica persica,ForestWetPoor
8317692,Veronica persica,ForestWetPoor
8317693,Veronica persica,ForestWetPoor
8317694,Veronica persica,ForestWetPoor
8317695,Veronica persica,ForestWetPoor
8317696,Veronica persica,ForestWetPoor
8317697,Veronica persica,ForestWetPoor
8317698,Veronica persica,ForestWetPoor
8317699,Veronica persica,ForestWetPoor
8317700,Veronica persica,ForestWetPoor
8320381,Veronica persica,ForestWetPoor
8320382,Veronica persica,ForestWetPoor
8320383,Veronica persica,ForestWetPoor
8320384,Veronica persica,ForestWetPoor
8320385,Veronica persica,ForestWetPoor
8320386,Veronica persica,ForestWetPoor
8320387,Veronica persica,ForestWetPoor
8320388,Veronica persica,ForestWetPoor
8320389,Veronica persica,ForestWetPoor
8320390,Veronica persica,ForestWetPoor
8320391,Veronica persica,ForestWetPoor
8320392,Veronica persica,ForestWetPoor
8320393,Veronica persica,ForestWetPoor
8320394,Veronica persica,ForestWetPoor
8320395,Veronica persica,ForestWetPoor
8320396,Veronica persica,ForestWetPoor
8320397,Veronica persica,ForestWetPoor
8320398,Veronica persica,ForestWetPoor
8320399,Veronica persica,ForestWetPoor
8320400,Veronica persica,ForestWetPoor
8323081,Veronica persica,ForestWetPoor
8323082,Veronica persica,ForestWetPoor
8323083,Veronica persica,ForestWetPoor
8323084,Veronica persica,ForestWetPoor
8323085,Veronica persica,ForestWetPoor
8323086,Veronica persica,ForestWetPoor
8323087,Veronica persica,ForestWetPoor
8323088,Veronica persica,ForestWetPoor
8323089,Veronica persica,ForestWetPoor
8323090,Veronica persica,ForestWetPoor
8323091,Veronica persica,ForestWetPoor
8323092,Veronica persica,ForestWetPoor
8323093,Veronica persica,ForestWetPoor
8323094,Veronica persica,ForestWetPoor
8323095,Veronica persica,ForestWetPoor
8323096,Veronica persica,ForestWetPoor
8323097,Veronica persica,ForestWetPoor
8323098,Veronica persica,ForestWetPoor
8323099,Veronica persica,ForestWetPoor
8323100,Veronica persica,ForestWetPoor
8325781,Veronica persica,ForestWetPoor
8325782,Veronica persica,ForestWetPoor
8325783,Veronica persica,ForestWetPoor
8325784,Veronica persica,ForestWetPoor
8325785,Veronica persica,ForestWetPoor
8325786,Veronica persica,ForestWetPoor
8325787,Veronica persica,ForestWetPoor
8325788,Veronica persica,ForestWetPoor
8325789,Veronica persica,ForestWetPoor
8325790,Veronica persica,ForestWetPoor
8325791,Veronica persica,ForestWetPoor
8325792,Veronica persica,ForestWetPoor
8325793,Veronica persica,ForestWetPoor
8325794,Veronica persica,ForestWetPoor
8325795,Veronica persica,ForestWetPoor
8325796,Veronica persica,ForestWetPoor
8325797,Veronica persica,ForestWetPoor
8325798,Veronica persica,ForestWetPoor
8325799,Veronica persica,ForestWetPoor
8325800,Veronica persica,ForestWetPoor
8328481,Veronica persica,ForestWetPoor
8328482,Veronica persica,ForestWetPoor
8328483,Veronica persica,ForestWetPoor
8328484,Veronica persica,ForestWetPoor
8328485,Veronica persica,ForestWetPoor
8328486,Veronica persica,ForestWetPoor
8328487,Veronica persica,ForestWetPoor
8328488,Veronica persica,ForestWetPoor
8328489,Veronica persica,ForestWetPoor
8328490,Veronica persica,ForestWetPoor
8328491,Veronica persica,ForestWetPoor
8328492,Veronica persica,ForestWetPoor
8328493,Veronica persica,ForestWetPoor
8328494,Veronica persica,ForestWetPoor
8328495,Veronica persica,ForestWetPoor
8328496,Veronica persica,ForestWetPoor
8328497,Veronica persica,ForestWetPoor
8328498,Veronica persica,ForestWetPoor
8328499,Veronica persica,ForestWetPoor
8328500,Veronica persica,ForestWetPoor
8331181,Veronica persica,ForestWetPoor
8331182,Veronica persica,ForestWetPoor
8331183,Veronica persica,ForestWetPoor
8331184,Veronica persica,ForestWetPoor
8331185,Veronica persica,ForestWetPoor
8331186,Veronica persica,ForestWetPoor
8331187,Veronica persica,ForestWetPoor
8331188,Veronica persica,ForestWetPoor
8331189,Veronica persica,ForestWetPoor
8331190,Veronica persica,ForestWetPoor
8331191,Veronica persica,ForestWetPoor
8331192,Veronica persica,ForestWetPoor
