cell,species,Landuse
7394159,Carex rostrata,ForestWetRich
7394160,Carex rostrata,ForestWetRich
7396855,Carex rostrata,ForestWetRich
7396856,Carex rostrata,ForestWetRich
7396857,Carex rostrata,ForestWetRich
7396858,Carex rostrata,ForestWetRich
7396859,Carex rostrata,ForestWetRich
7396860,Carex rostrata,ForestWetRich
7399561,Carex rostrata,ForestWetRich
7399562,Carex rostrata,ForestWetRich
7399563,Carex rostrata,ForestWetRich
7399564,Carex rostrata,ForestWetRich
7399565,Carex rostrata,ForestWetRich
7399566,Carex rostrata,ForestWetRich
7399567,Carex rostrata,ForestWetRich
7399568,Carex rostrata,ForestWetRich
7399569,Carex rostrata,ForestWetRich
7399570,Carex rostrata,ForestWetRich
7399571,Carex rostrata,ForestWetRich
7399572,Carex rostrata,ForestWetRich
7399573,Carex rostrata,ForestWetRich
7399574,Carex rostrata,ForestWetRich
7399575,Carex rostrata,ForestWetRich
7399576,Carex rostrata,ForestWetRich
7399577,Carex rostrata,ForestWetRich
7399578,Carex rostrata,ForestWetRich
7399579,Carex rostrata,ForestWetRich
7399580,Carex rostrata,ForestWetRich
7402261,Carex rostrata,ForestWetRich
7402262,Carex rostrata,ForestWetRich
7402263,Carex rostrata,ForestWetRich
7402264,Carex rostrata,ForestWetRich
7402265,Carex rostrata,ForestWetRich
7402266,Carex rostrata,ForestWetRich
7402267,Carex rostrata,ForestWetRich
7402268,Carex rostrata,ForestWetRich
7402269,Carex rostrata,ForestWetRich
7402270,Carex rostrata,ForestWetRich
7402271,Carex rostrata,ForestWetRich
7402272,Carex rostrata,ForestWetRich
7402273,Carex rostrata,ForestWetRich
7402274,Carex rostrata,ForestWetRich
7402275,Carex rostrata,ForestWetRich
7402276,Carex rostrata,ForestWetRich
7402277,Carex rostrata,ForestWetRich
7402278,Carex rostrata,ForestWetRich
7402279,Carex rostrata,ForestWetRich
7402280,Carex rostrata,ForestWetRich
7404961,Carex rostrata,ForestWetRich
7404962,Carex rostrata,ForestWetRich
7404963,Carex rostrata,ForestWetRich
7404964,Carex rostrata,ForestWetRich
7404965,Carex rostrata,ForestWetRich
7404966,Carex rostrata,ForestWetRich
7404967,Carex rostrata,ForestWetRich
7404968,Carex rostrata,ForestWetRich
7404969,Carex rostrata,ForestWetRich
7404970,Carex rostrata,ForestWetRich
7404971,Carex rostrata,ForestWetRich
7404972,Carex rostrata,ForestWetRich
7404973,Carex rostrata,ForestWetRich
7404974,Carex rostrata,ForestWetRich
7404975,Carex rostrata,ForestWetRich
7404976,Carex rostrata,ForestWetRich
7404977,Carex rostrata,ForestWetRich
7404978,Carex rostrata,ForestWetRich
7404979,Carex rostrata,ForestWetRich
7404980,Carex rostrata,ForestWetRich
7407661,Carex rostrata,ForestWetRich
7407662,Carex rostrata,ForestWetRich
7407663,Carex rostrata,ForestWetRich
7407664,Carex rostrata,ForestWetRich
7407665,Carex rostrata,ForestWetRich
7407666,Carex rostrata,ForestWetRich
7407667,Carex rostrata,ForestWetRich
7407668,Carex rostrata,ForestWetRich
7407669,Carex rostrata,ForestWetRich
7407670,Carex rostrata,ForestWetRich
7407671,Carex rostrata,ForestWetRich
7407672,Carex rostrata,ForestWetRich
7407673,Carex rostrata,ForestWetRich
7407674,Carex rostrata,ForestWetRich
7407675,Carex rostrata,ForestWetRich
7407676,Carex rostrata,ForestWetRich
7407677,Carex rostrata,ForestWetRich
7407678,Carex rostrata,ForestWetRich
7407679,Carex rostrata,ForestWetRich
7407680,Carex rostrata,ForestWetRich
7410361,Carex rostrata,ForestWetRich
7410362,Carex rostrata,ForestWetRich
7410363,Carex rostrata,ForestWetRich
7410364,Carex rostrata,ForestWetRich
7410365,Carex rostrata,ForestWetRich
7410366,Carex rostrata,ForestWetRich
7410367,Carex rostrata,ForestWetRich
7410368,Carex rostrata,ForestWetRich
7410369,Carex rostrata,ForestWetRich
7410370,Carex rostrata,ForestWetRich
7410371,Carex rostrata,ForestWetRich
7410372,Carex rostrata,ForestWetRich
7410373,Carex rostrata,ForestWetRich
7410374,Carex rostrata,ForestWetRich
7410375,Carex rostrata,ForestWetRich
7410376,Carex rostrata,ForestWetRich
7410377,Carex rostrata,ForestWetRich
7410378,Carex rostrata,ForestWetRich
7410379,Carex rostrata,ForestWetRich
7410380,Carex rostrata,ForestWetRich
7413061,Carex rostrata,ForestWetRich
7413062,Carex rostrata,ForestWetRich
7413063,Carex rostrata,ForestWetRich
7413064,Carex rostrata,ForestWetRich
7413065,Carex rostrata,ForestWetRich
7413066,Carex rostrata,ForestWetRich
