cell,species,Landuse
7790953,Fraxinus excelsior,ForestWetRich
7790954,Fraxinus excelsior,ForestWetRich
7790955,Fraxinus excelsior,ForestWetRich
7790956,Fraxinus excelsior,ForestWetRich
7790957,Fraxinus excelsior,ForestWetRich
7793645,Fraxinus excelsior,ForestWetRich
7793646,Fraxinus excelsior,ForestWetRich
7793647,Fraxinus excelsior,ForestWetRich
7793648,Fraxinus excelsior,ForestWetRich
7793649,Fraxinus excelsior,ForestWetRich
7793650,Fraxinus excelsior,ForestWetRich
7793651,Fraxinus excelsior,ForestWetRich
7793652,Fraxinus excelsior,ForestWetRich
7793653,Fraxinus excelsior,ForestWetRich
7793654,Fraxinus excelsior,ForestWetRich
7793655,Fraxinus excelsior,ForestWetRich
7793656,Fraxinus excelsior,ForestWetRich
7793657,Fraxinus excelsior,ForestWetRich
7793658,Fraxinus excelsior,ForestWetRich
7793659,Fraxinus excelsior,ForestWetRich
7793660,Fraxinus excelsior,ForestWetRich
7793661,Fraxinus excelsior,ForestWetRich
7793662,Fraxinus excelsior,ForestWetRich
7793663,Fraxinus excelsior,ForestWetRich
7793664,Fraxinus excelsior,ForestWetRich
7793665,Fraxinus excelsior,ForestWetRich
7796341,Fraxinus excelsior,ForestWetRich
7796342,Fraxinus excelsior,ForestWetRich
7796343,Fraxinus excelsior,ForestWetRich
7796344,Fraxinus excelsior,ForestWetRich
7796345,Fraxinus excelsior,ForestWetRich
7796346,Fraxinus excelsior,ForestWetRich
7796347,Fraxinus excelsior,ForestWetRich
7796348,Fraxinus excelsior,ForestWetRich
7796349,Fraxinus excelsior,ForestWetRich
7796350,Fraxinus excelsior,ForestWetRich
7796351,Fraxinus excelsior,ForestWetRich
7796352,Fraxinus excelsior,ForestWetRich
7796353,Fraxinus excelsior,ForestWetRich
7796354,Fraxinus excelsior,ForestWetRich
7796355,Fraxinus excelsior,ForestWetRich
7796356,Fraxinus excelsior,ForestWetRich
7796357,Fraxinus excelsior,ForestWetRich
7796358,Fraxinus excelsior,ForestWetRich
7796359,Fraxinus excelsior,ForestWetRich
7796360,Fraxinus excelsior,ForestWetRich
7796361,Fraxinus excelsior,ForestWetRich
7796362,Fraxinus excelsior,ForestWetRich
7796363,Fraxinus excelsior,ForestWetRich
7796364,Fraxinus excelsior,ForestWetRich
7796365,Fraxinus excelsior,ForestWetRich
7796366,Fraxinus excelsior,ForestWetRich
7796367,Fraxinus excelsior,ForestWetRich
7796368,Fraxinus excelsior,ForestWetRich
7796369,Fraxinus excelsior,ForestWetRich
7799038,Fraxinus excelsior,ForestWetRich
7799039,Fraxinus excelsior,ForestWetRich
7799040,Fraxinus excelsior,ForestWetRich
7799041,Fraxinus excelsior,ForestWetRich
7799042,Fraxinus excelsior,ForestWetRich
7799043,Fraxinus excelsior,ForestWetRich
7799044,Fraxinus excelsior,ForestWetRich
7799045,Fraxinus excelsior,ForestWetRich
7799046,Fraxinus excelsior,ForestWetRich
7799047,Fraxinus excelsior,ForestWetRich
7799048,Fraxinus excelsior,ForestWetRich
7799049,Fraxinus excelsior,ForestWetRich
7799050,Fraxinus excelsior,ForestWetRich
7799051,Fraxinus excelsior,ForestWetRich
7799052,Fraxinus excelsior,ForestWetRich
7799053,Fraxinus excelsior,ForestWetRich
7799054,Fraxinus excelsior,ForestWetRich
7799055,Fraxinus excelsior,ForestWetRich
7799056,Fraxinus excelsior,ForestWetRich
7799057,Fraxinus excelsior,ForestWetRich
7799058,Fraxinus excelsior,ForestWetRich
7799059,Fraxinus excelsior,ForestWetRich
7799060,Fraxinus excelsior,ForestWetRich
7799061,Fraxinus excelsior,ForestWetRich
