cell,species,Landuse
8322998,Lycopus europaeus,ForestWetRich
8322999,Lycopus europaeus,ForestWetRich
8323000,Lycopus europaeus,ForestWetRich
8325694,Lycopus europaeus,ForestWetRich
8325695,Lycopus europaeus,ForestWetRich
8325696,Lycopus europaeus,ForestWetRich
8325697,Lycopus europaeus,ForestWetRich
8325698,Lycopus europaeus,ForestWetRich
8325699,Lycopus europaeus,ForestWetRich
8325700,Lycopus europaeus,ForestWetRich
8328390,Lycopus europaeus,ForestWetRich
8328391,Lycopus europaeus,ForestWetRich
8328392,Lycopus europaeus,ForestWetRich
8328393,Lycopus europaeus,ForestWetRich
8328394,Lycopus europaeus,ForestWetRich
8328395,Lycopus europaeus,ForestWetRich
8328396,Lycopus europaeus,ForestWetRich
8328397,Lycopus europaeus,ForestWetRich
8328398,Lycopus europaeus,ForestWetRich
8328399,Lycopus europaeus,ForestWetRich
8328400,Lycopus europaeus,ForestWetRich
8331087,Lycopus europaeus,ForestWetRich
8331088,Lycopus europaeus,ForestWetRich
8331089,Lycopus europaeus,ForestWetRich
8331090,Lycopus europaeus,ForestWetRich
8331091,Lycopus europaeus,ForestWetRich
8331092,Lycopus europaeus,ForestWetRich
8331093,Lycopus europaeus,ForestWetRich
8331094,Lycopus europaeus,ForestWetRich
8331095,Lycopus europaeus,ForestWetRich
8331096,Lycopus europaeus,ForestWetRich
8331097,Lycopus europaeus,ForestWetRich
8331098,Lycopus europaeus,ForestWetRich
8331099,Lycopus europaeus,ForestWetRich
8331100,Lycopus europaeus,ForestWetRich
8333785,Lycopus europaeus,ForestWetRich
8333786,Lycopus europaeus,ForestWetRich
8333787,Lycopus europaeus,ForestWetRich
8333788,Lycopus europaeus,ForestWetRich
8333789,Lycopus europaeus,ForestWetRich
8333790,Lycopus europaeus,ForestWetRich
8333791,Lycopus europaeus,ForestWetRich
8333792,Lycopus europaeus,ForestWetRich
8333793,Lycopus europaeus,ForestWetRich
8333794,Lycopus europaeus,ForestWetRich
8333795,Lycopus europaeus,ForestWetRich
8333796,Lycopus europaeus,ForestWetRich
8333797,Lycopus europaeus,ForestWetRich
8333798,Lycopus europaeus,ForestWetRich
8333799,Lycopus europaeus,ForestWetRich
8333800,Lycopus europaeus,ForestWetRich
8336483,Lycopus europaeus,ForestWetRich
8336484,Lycopus europaeus,ForestWetRich
8336485,Lycopus europaeus,ForestWetRich
8336486,Lycopus europaeus,ForestWetRich
8336487,Lycopus europaeus,ForestWetRich
8336488,Lycopus europaeus,ForestWetRich
8336489,Lycopus europaeus,ForestWetRich
8336490,Lycopus europaeus,ForestWetRich
8336491,Lycopus europaeus,ForestWetRich
8336492,Lycopus europaeus,ForestWetRich
8336493,Lycopus europaeus,ForestWetRich
8336494,Lycopus europaeus,ForestWetRich
8336495,Lycopus europaeus,ForestWetRich
8336496,Lycopus europaeus,ForestWetRich
8336497,Lycopus europaeus,ForestWetRich
8336498,Lycopus europaeus,ForestWetRich
8336499,Lycopus europaeus,ForestWetRich
8336500,Lycopus europaeus,ForestWetRich
8339181,Lycopus europaeus,ForestWetRich
8339182,Lycopus europaeus,ForestWetRich
8339183,Lycopus europaeus,ForestWetRich
8339184,Lycopus europaeus,ForestWetRich
8339185,Lycopus europaeus,ForestWetRich
8339186,Lycopus europaeus,ForestWetRich
8339187,Lycopus europaeus,ForestWetRich
8339188,Lycopus europaeus,ForestWetRich
8339189,Lycopus europaeus,ForestWetRich
8339190,Lycopus europaeus,ForestWetRich
8339191,Lycopus europaeus,ForestWetRich
8339192,Lycopus europaeus,ForestWetRich
8339193,Lycopus europaeus,ForestWetRich
8339194,Lycopus europaeus,ForestWetRich
8339195,Lycopus europaeus,ForestWetRich
8339196,Lycopus europaeus,ForestWetRich
8339197,Lycopus europaeus,ForestWetRich
8339198,Lycopus europaeus,ForestWetRich
8339199,Lycopus europaeus,ForestWetRich
8339200,Lycopus europaeus,ForestWetRich
8341881,Lycopus europaeus,ForestWetRich
8341882,Lycopus europaeus,ForestWetRich
8341883,Lycopus europaeus,ForestWetRich
8341884,Lycopus europaeus,ForestWetRich
8341885,Lycopus europaeus,ForestWetRich
8341886,Lycopus europaeus,ForestWetRich
8341887,Lycopus europaeus,ForestWetRich
8341888,Lycopus europaeus,ForestWetRich
8341889,Lycopus europaeus,ForestWetRich
8341890,Lycopus europaeus,ForestWetRich
8341891,Lycopus europaeus,ForestWetRich
8341892,Lycopus europaeus,ForestWetRich
8341893,Lycopus europaeus,ForestWetRich
8341894,Lycopus europaeus,ForestWetRich
8341895,Lycopus europaeus,ForestWetRich
8341896,Lycopus europaeus,ForestWetRich
8341897,Lycopus europaeus,ForestWetRich
8341898,Lycopus europaeus,ForestWetRich
8341899,Lycopus europaeus,ForestWetRich
8341900,Lycopus europaeus,ForestWetRich
8344581,Lycopus europaeus,ForestWetRich
8344582,Lycopus europaeus,ForestWetRich
8344583,Lycopus europaeus,ForestWetRich
8344584,Lycopus europaeus,ForestWetRich
8344585,Lycopus europaeus,ForestWetRich
8344586,Lycopus europaeus,ForestWetRich
8344587,Lycopus europaeus,ForestWetRich
8344588,Lycopus europaeus,ForestWetRich
8344589,Lycopus europaeus,ForestWetRich
8344590,Lycopus europaeus,ForestWetRich
8344591,Lycopus europaeus,ForestWetRich
8344592,Lycopus europaeus,ForestWetRich
8344593,Lycopus europaeus,ForestWetRich
8344594,Lycopus europaeus,ForestWetRich
8344595,Lycopus europaeus,ForestWetRich
8344596,Lycopus europaeus,ForestWetRich
8344597,Lycopus europaeus,ForestWetRich
8344598,Lycopus europaeus,ForestWetRich
8344599,Lycopus europaeus,ForestWetRich
8344600,Lycopus europaeus,ForestWetRich
8347281,Lycopus europaeus,ForestWetRich
8347282,Lycopus europaeus,ForestWetRich
8347283,Lycopus europaeus,ForestWetRich
8347284,Lycopus europaeus,ForestWetRich
8347285,Lycopus europaeus,ForestWetRich
8347286,Lycopus europaeus,ForestWetRich
8347287,Lycopus europaeus,ForestWetRich
8347288,Lycopus europaeus,ForestWetRich
8347289,Lycopus europaeus,ForestWetRich
8347290,Lycopus europaeus,ForestWetRich
8347291,Lycopus europaeus,ForestWetRich
8347292,Lycopus europaeus,ForestWetRich
8347293,Lycopus europaeus,ForestWetRich
8347294,Lycopus europaeus,ForestWetRich
8347295,Lycopus europaeus,ForestWetRich
8347296,Lycopus europaeus,ForestWetRich
8347297,Lycopus europaeus,ForestWetRich
8347298,Lycopus europaeus,ForestWetRich
8347299,Lycopus europaeus,ForestWetRich
8347300,Lycopus europaeus,ForestWetRich
8349981,Lycopus europaeus,ForestWetRich
8349982,Lycopus europaeus,ForestWetRich
8349983,Lycopus europaeus,ForestWetRich
8349984,Lycopus europaeus,ForestWetRich
8349985,Lycopus europaeus,ForestWetRich
8349986,Lycopus europaeus,ForestWetRich
8349987,Lycopus europaeus,ForestWetRich
8349988,Lycopus europaeus,ForestWetRich
8349989,Lycopus europaeus,ForestWetRich
8349990,Lycopus europaeus,ForestWetRich
8349991,Lycopus europaeus,ForestWetRich
8349992,Lycopus europaeus,ForestWetRich
8349993,Lycopus europaeus,ForestWetRich
8349994,Lycopus europaeus,ForestWetRich
8349995,Lycopus europaeus,ForestWetRich
8349996,Lycopus europaeus,ForestWetRich
8349997,Lycopus europaeus,ForestWetRich
8349998,Lycopus europaeus,ForestWetRich
8349999,Lycopus europaeus,ForestWetRich
8350000,Lycopus europaeus,ForestWetRich
8352681,Lycopus europaeus,ForestWetRich
8352682,Lycopus europaeus,ForestWetRich
8352683,Lycopus europaeus,ForestWetRich
