cell,species,Landuse
7399568,Ribes spicatum,ForestWetRich
7399569,Ribes spicatum,ForestWetRich
7399570,Ribes spicatum,ForestWetRich
7399571,Ribes spicatum,ForestWetRich
7399572,Ribes spicatum,ForestWetRich
7399573,Ribes spicatum,ForestWetRich
7399574,Ribes spicatum,ForestWetRich
7399575,Ribes spicatum,ForestWetRich
7399576,Ribes spicatum,ForestWetRich
7399577,Ribes spicatum,ForestWetRich
7399578,Ribes spicatum,ForestWetRich
7399579,Ribes spicatum,ForestWetRich
7399580,Ribes spicatum,ForestWetRich
7402266,Ribes spicatum,ForestWetRich
7402267,Ribes spicatum,ForestWetRich
7402268,Ribes spicatum,ForestWetRich
7402269,Ribes spicatum,ForestWetRich
7402270,Ribes spicatum,ForestWetRich
7402271,Ribes spicatum,ForestWetRich
7402272,Ribes spicatum,ForestWetRich
7402273,Ribes spicatum,ForestWetRich
7402274,Ribes spicatum,ForestWetRich
7402275,Ribes spicatum,ForestWetRich
7402276,Ribes spicatum,ForestWetRich
7402277,Ribes spicatum,ForestWetRich
7402278,Ribes spicatum,ForestWetRich
7402279,Ribes spicatum,ForestWetRich
7402280,Ribes spicatum,ForestWetRich
7404963,Ribes spicatum,ForestWetRich
7404964,Ribes spicatum,ForestWetRich
7404965,Ribes spicatum,ForestWetRich
7404966,Ribes spicatum,ForestWetRich
7404967,Ribes spicatum,ForestWetRich
7404968,Ribes spicatum,ForestWetRich
7404969,Ribes spicatum,ForestWetRich
7404970,Ribes spicatum,ForestWetRich
7404971,Ribes spicatum,ForestWetRich
7404972,Ribes spicatum,ForestWetRich
7404973,Ribes spicatum,ForestWetRich
7404974,Ribes spicatum,ForestWetRich
7404975,Ribes spicatum,ForestWetRich
7404976,Ribes spicatum,ForestWetRich
7404977,Ribes spicatum,ForestWetRich
7404978,Ribes spicatum,ForestWetRich
7404979,Ribes spicatum,ForestWetRich
7404980,Ribes spicatum,ForestWetRich
7407662,Ribes spicatum,ForestWetRich
7407663,Ribes spicatum,ForestWetRich
7407664,Ribes spicatum,ForestWetRich
7407665,Ribes spicatum,ForestWetRich
7407666,Ribes spicatum,ForestWetRich
7407667,Ribes spicatum,ForestWetRich
7407668,Ribes spicatum,ForestWetRich
7407669,Ribes spicatum,ForestWetRich
7407670,Ribes spicatum,ForestWetRich
7407671,Ribes spicatum,ForestWetRich
7407672,Ribes spicatum,ForestWetRich
7407673,Ribes spicatum,ForestWetRich
7407674,Ribes spicatum,ForestWetRich
7407675,Ribes spicatum,ForestWetRich
7407676,Ribes spicatum,ForestWetRich
7407677,Ribes spicatum,ForestWetRich
7407678,Ribes spicatum,ForestWetRich
7407679,Ribes spicatum,ForestWetRich
7407680,Ribes spicatum,ForestWetRich
7410361,Ribes spicatum,ForestWetRich
7410362,Ribes spicatum,ForestWetRich
7410363,Ribes spicatum,ForestWetRich
7410364,Ribes spicatum,ForestWetRich
7410365,Ribes spicatum,ForestWetRich
7410366,Ribes spicatum,ForestWetRich
7410367,Ribes spicatum,ForestWetRich
7410368,Ribes spicatum,ForestWetRich
7410369,Ribes spicatum,ForestWetRich
7410370,Ribes spicatum,ForestWetRich
7410371,Ribes spicatum,ForestWetRich
7410372,Ribes spicatum,ForestWetRich
7410373,Ribes spicatum,ForestWetRich
7410374,Ribes spicatum,ForestWetRich
7410375,Ribes spicatum,ForestWetRich
7410376,Ribes spicatum,ForestWetRich
7410377,Ribes spicatum,ForestWetRich
7410378,Ribes spicatum,ForestWetRich
7410379,Ribes spicatum,ForestWetRich
7410380,Ribes spicatum,ForestWetRich
7413061,Ribes spicatum,ForestWetRich
7413062,Ribes spicatum,ForestWetRich
7413063,Ribes spicatum,ForestWetRich
7413064,Ribes spicatum,ForestWetRich
7413065,Ribes spicatum,ForestWetRich
7413066,Ribes spicatum,ForestWetRich
7413067,Ribes spicatum,ForestWetRich
7413068,Ribes spicatum,ForestWetRich
7413069,Ribes spicatum,ForestWetRich
7413070,Ribes spicatum,ForestWetRich
7413071,Ribes spicatum,ForestWetRich
7413072,Ribes spicatum,ForestWetRich
7413073,Ribes spicatum,ForestWetRich
7413074,Ribes spicatum,ForestWetRich
7413075,Ribes spicatum,ForestWetRich
7413076,Ribes spicatum,ForestWetRich
7413077,Ribes spicatum,ForestWetRich
7413078,Ribes spicatum,ForestWetRich
7413079,Ribes spicatum,ForestWetRich
7413080,Ribes spicatum,ForestWetRich
7415761,Ribes spicatum,ForestWetRich
7415762,Ribes spicatum,ForestWetRich
7415763,Ribes spicatum,ForestWetRich
7415764,Ribes spicatum,ForestWetRich
7415765,Ribes spicatum,ForestWetRich
7415766,Ribes spicatum,ForestWetRich
7415767,Ribes spicatum,ForestWetRich
7415768,Ribes spicatum,ForestWetRich
7415769,Ribes spicatum,ForestWetRich
7415770,Ribes spicatum,ForestWetRich
7415771,Ribes spicatum,ForestWetRich
7415772,Ribes spicatum,ForestWetRich
7415773,Ribes spicatum,ForestWetRich
7415774,Ribes spicatum,ForestWetRich
7415775,Ribes spicatum,ForestWetRich
7415776,Ribes spicatum,ForestWetRich
7415777,Ribes spicatum,ForestWetRich
7415778,Ribes spicatum,ForestWetRich
7415779,Ribes spicatum,ForestWetRich
7415780,Ribes spicatum,ForestWetRich
7418461,Ribes spicatum,ForestWetRich
7418462,Ribes spicatum,ForestWetRich
7418463,Ribes spicatum,ForestWetRich
7418464,Ribes spicatum,ForestWetRich
7418465,Ribes spicatum,ForestWetRich
7418466,Ribes spicatum,ForestWetRich
7418467,Ribes spicatum,ForestWetRich
7418468,Ribes spicatum,ForestWetRich
7418469,Ribes spicatum,ForestWetRich
7418470,Ribes spicatum,ForestWetRich
