cell,species,Landuse
8317581,Saponaria officinalis,ForestWetRich
8317582,Saponaria officinalis,ForestWetRich
8317583,Saponaria officinalis,ForestWetRich
8317584,Saponaria officinalis,ForestWetRich
8317585,Saponaria officinalis,ForestWetRich
8317586,Saponaria officinalis,ForestWetRich
8317587,Saponaria officinalis,ForestWetRich
8317588,Saponaria officinalis,ForestWetRich
8317589,Saponaria officinalis,ForestWetRich
8317590,Saponaria officinalis,ForestWetRich
8317591,Saponaria officinalis,ForestWetRich
8317592,Saponaria officinalis,ForestWetRich
8317593,Saponaria officinalis,ForestWetRich
8317594,Saponaria officinalis,ForestWetRich
8317595,Saponaria officinalis,ForestWetRich
8317596,Saponaria officinalis,ForestWetRich
8317597,Saponaria officinalis,ForestWetRich
8317598,Saponaria officinalis,ForestWetRich
8317599,Saponaria officinalis,ForestWetRich
8317600,Saponaria officinalis,ForestWetRich
8320281,Saponaria officinalis,ForestWetRich
8320282,Saponaria officinalis,ForestWetRich
8320283,Saponaria officinalis,ForestWetRich
8320284,Saponaria officinalis,ForestWetRich
8320285,Saponaria officinalis,ForestWetRich
8320286,Saponaria officinalis,ForestWetRich
8320287,Saponaria officinalis,ForestWetRich
8320288,Saponaria officinalis,ForestWetRich
8320289,Saponaria officinalis,ForestWetRich
8320290,Saponaria officinalis,ForestWetRich
8320291,Saponaria officinalis,ForestWetRich
8320292,Saponaria officinalis,ForestWetRich
8320293,Saponaria officinalis,ForestWetRich
8320294,Saponaria officinalis,ForestWetRich
8320295,Saponaria officinalis,ForestWetRich
8320296,Saponaria officinalis,ForestWetRich
8320297,Saponaria officinalis,ForestWetRich
8320298,Saponaria officinalis,ForestWetRich
8320299,Saponaria officinalis,ForestWetRich
8320300,Saponaria officinalis,ForestWetRich
8322981,Saponaria officinalis,ForestWetRich
8322982,Saponaria officinalis,ForestWetRich
8322983,Saponaria officinalis,ForestWetRich
8322984,Saponaria officinalis,ForestWetRich
8322985,Saponaria officinalis,ForestWetRich
8322986,Saponaria officinalis,ForestWetRich
8322987,Saponaria officinalis,ForestWetRich
8322988,Saponaria officinalis,ForestWetRich
8322989,Saponaria officinalis,ForestWetRich
8322990,Saponaria officinalis,ForestWetRich
8322991,Saponaria officinalis,ForestWetRich
8322992,Saponaria officinalis,ForestWetRich
8322993,Saponaria officinalis,ForestWetRich
8322994,Saponaria officinalis,ForestWetRich
8322995,Saponaria officinalis,ForestWetRich
8322996,Saponaria officinalis,ForestWetRich
8322997,Saponaria officinalis,ForestWetRich
8322998,Saponaria officinalis,ForestWetRich
8322999,Saponaria officinalis,ForestWetRich
8323000,Saponaria officinalis,ForestWetRich
8325681,Saponaria officinalis,ForestWetRich
8325682,Saponaria officinalis,ForestWetRich
8325683,Saponaria officinalis,ForestWetRich
8325684,Saponaria officinalis,ForestWetRich
8325685,Saponaria officinalis,ForestWetRich
8325686,Saponaria officinalis,ForestWetRich
8325687,Saponaria officinalis,ForestWetRich
8325688,Saponaria officinalis,ForestWetRich
8325689,Saponaria officinalis,ForestWetRich
8325690,Saponaria officinalis,ForestWetRich
8325691,Saponaria officinalis,ForestWetRich
8325692,Saponaria officinalis,ForestWetRich
8325693,Saponaria officinalis,ForestWetRich
8325694,Saponaria officinalis,ForestWetRich
8325695,Saponaria officinalis,ForestWetRich
8325696,Saponaria officinalis,ForestWetRich
8325697,Saponaria officinalis,ForestWetRich
8325698,Saponaria officinalis,ForestWetRich
8325699,Saponaria officinalis,ForestWetRich
8325700,Saponaria officinalis,ForestWetRich
8328381,Saponaria officinalis,ForestWetRich
8328382,Saponaria officinalis,ForestWetRich
8328383,Saponaria officinalis,ForestWetRich
8328384,Saponaria officinalis,ForestWetRich
8328385,Saponaria officinalis,ForestWetRich
8328386,Saponaria officinalis,ForestWetRich
8328387,Saponaria officinalis,ForestWetRich
8328388,Saponaria officinalis,ForestWetRich
8328389,Saponaria officinalis,ForestWetRich
8328390,Saponaria officinalis,ForestWetRich
8328391,Saponaria officinalis,ForestWetRich
8328392,Saponaria officinalis,ForestWetRich
8328393,Saponaria officinalis,ForestWetRich
8328394,Saponaria officinalis,ForestWetRich
8328395,Saponaria officinalis,ForestWetRich
8328396,Saponaria officinalis,ForestWetRich
8328397,Saponaria officinalis,ForestWetRich
8328398,Saponaria officinalis,ForestWetRich
8328399,Saponaria officinalis,ForestWetRich
8328400,Saponaria officinalis,ForestWetRich
8331060,Saponaria officinalis,ForestWetRich
8331081,Saponaria officinalis,ForestWetRich
8331082,Saponaria officinalis,ForestWetRich
8331083,Saponaria officinalis,ForestWetRich
8331084,Saponaria officinalis,ForestWetRich
8331085,Saponaria officinalis,ForestWetRich
8331086,Saponaria officinalis,ForestWetRich
8331087,Saponaria officinalis,ForestWetRich
8331088,Saponaria officinalis,ForestWetRich
8331089,Saponaria officinalis,ForestWetRich
8331090,Saponaria officinalis,ForestWetRich
8331091,Saponaria officinalis,ForestWetRich
8331092,Saponaria officinalis,ForestWetRich
8331093,Saponaria officinalis,ForestWetRich
8331094,Saponaria officinalis,ForestWetRich
8331095,Saponaria officinalis,ForestWetRich
8331096,Saponaria officinalis,ForestWetRich
8331097,Saponaria officinalis,ForestWetRich
8331098,Saponaria officinalis,ForestWetRich
8331099,Saponaria officinalis,ForestWetRich
8331100,Saponaria officinalis,ForestWetRich
8333760,Saponaria officinalis,ForestWetRich
8333781,Saponaria officinalis,ForestWetRich
8333782,Saponaria officinalis,ForestWetRich
8333783,Saponaria officinalis,ForestWetRich
8333784,Saponaria officinalis,ForestWetRich
8333785,Saponaria officinalis,ForestWetRich
8333786,Saponaria officinalis,ForestWetRich
8333787,Saponaria officinalis,ForestWetRich
8333788,Saponaria officinalis,ForestWetRich
8333789,Saponaria officinalis,ForestWetRich
8333790,Saponaria officinalis,ForestWetRich
8333791,Saponaria officinalis,ForestWetRich
8333792,Saponaria officinalis,ForestWetRich
8333793,Saponaria officinalis,ForestWetRich
8333794,Saponaria officinalis,ForestWetRich
8333795,Saponaria officinalis,ForestWetRich
8333796,Saponaria officinalis,ForestWetRich
8333797,Saponaria officinalis,ForestWetRich
8333798,Saponaria officinalis,ForestWetRich
8333799,Saponaria officinalis,ForestWetRich
8333800,Saponaria officinalis,ForestWetRich
8336460,Saponaria officinalis,ForestWetRich
8336481,Saponaria officinalis,ForestWetRich
8336482,Saponaria officinalis,ForestWetRich
8336483,Saponaria officinalis,ForestWetRich
8336484,Saponaria officinalis,ForestWetRich
8336485,Saponaria officinalis,ForestWetRich
8336486,Saponaria officinalis,ForestWetRich
8336487,Saponaria officinalis,ForestWetRich
8336488,Saponaria officinalis,ForestWetRich
8336489,Saponaria officinalis,ForestWetRich
8336490,Saponaria officinalis,ForestWetRich
8336491,Saponaria officinalis,ForestWetRich
8336492,Saponaria officinalis,ForestWetRich
8336493,Saponaria officinalis,ForestWetRich
8336494,Saponaria officinalis,ForestWetRich
8336495,Saponaria officinalis,ForestWetRich
8336496,Saponaria officinalis,ForestWetRich
8336497,Saponaria officinalis,ForestWetRich
8336498,Saponaria officinalis,ForestWetRich
8336499,Saponaria officinalis,ForestWetRich
8336500,Saponaria officinalis,ForestWetRich
8339160,Saponaria officinalis,ForestWetRich
8339181,Saponaria officinalis,ForestWetRich
8339182,Saponaria officinalis,ForestWetRich
8339183,Saponaria officinalis,ForestWetRich
8339184,Saponaria officinalis,ForestWetRich
8339185,Saponaria officinalis,ForestWetRich
8339186,Saponaria officinalis,ForestWetRich
8339187,Saponaria officinalis,ForestWetRich
8339188,Saponaria officinalis,ForestWetRich
8339189,Saponaria officinalis,ForestWetRich
8339190,Saponaria officinalis,ForestWetRich
8339191,Saponaria officinalis,ForestWetRich
8339192,Saponaria officinalis,ForestWetRich
8339193,Saponaria officinalis,ForestWetRich
8339194,Saponaria officinalis,ForestWetRich
8339195,Saponaria officinalis,ForestWetRich
8339196,Saponaria officinalis,ForestWetRich
8339197,Saponaria officinalis,ForestWetRich
8339198,Saponaria officinalis,ForestWetRich
8339199,Saponaria officinalis,ForestWetRich
8339200,Saponaria officinalis,ForestWetRich
8341859,Saponaria officinalis,ForestWetRich
8341860,Saponaria officinalis,ForestWetRich
8341881,Saponaria officinalis,ForestWetRich
8341882,Saponaria officinalis,ForestWetRich
8341883,Saponaria officinalis,ForestWetRich
8341884,Saponaria officinalis,ForestWetRich
8341885,Saponaria officinalis,ForestWetRich
8341886,Saponaria officinalis,ForestWetRich
8341887,Saponaria officinalis,ForestWetRich
8341888,Saponaria officinalis,ForestWetRich
8341889,Saponaria officinalis,ForestWetRich
8341890,Saponaria officinalis,ForestWetRich
8341891,Saponaria officinalis,ForestWetRich
8341892,Saponaria officinalis,ForestWetRich
8341893,Saponaria officinalis,ForestWetRich
8341894,Saponaria officinalis,ForestWetRich
8341895,Saponaria officinalis,ForestWetRich
8341896,Saponaria officinalis,ForestWetRich
8341897,Saponaria officinalis,ForestWetRich
8341898,Saponaria officinalis,ForestWetRich
8341899,Saponaria officinalis,ForestWetRich
8341900,Saponaria officinalis,ForestWetRich
8344559,Saponaria officinalis,ForestWetRich
8344560,Saponaria officinalis,ForestWetRich
8344581,Saponaria officinalis,ForestWetRich
8344582,Saponaria officinalis,ForestWetRich
8344583,Saponaria officinalis,ForestWetRich
8344584,Saponaria officinalis,ForestWetRich
8344585,Saponaria officinalis,ForestWetRich
8344586,Saponaria officinalis,ForestWetRich
8344587,Saponaria officinalis,ForestWetRich
8344588,Saponaria officinalis,ForestWetRich
8344589,Saponaria officinalis,ForestWetRich
8344590,Saponaria officinalis,ForestWetRich
8344591,Saponaria officinalis,ForestWetRich
8344592,Saponaria officinalis,ForestWetRich
8344593,Saponaria officinalis,ForestWetRich
8344594,Saponaria officinalis,ForestWetRich
8344595,Saponaria officinalis,ForestWetRich
8344596,Saponaria officinalis,ForestWetRich
8344597,Saponaria officinalis,ForestWetRich
8344598,Saponaria officinalis,ForestWetRich
8344599,Saponaria officinalis,ForestWetRich
8344600,Saponaria officinalis,ForestWetRich
8347259,Saponaria officinalis,ForestWetRich
8347260,Saponaria officinalis,ForestWetRich
8347281,Saponaria officinalis,ForestWetRich
8347282,Saponaria officinalis,ForestWetRich
8347283,Saponaria officinalis,ForestWetRich
8347284,Saponaria officinalis,ForestWetRich
8347285,Saponaria officinalis,ForestWetRich
8347286,Saponaria officinalis,ForestWetRich
8347287,Saponaria officinalis,ForestWetRich
8347288,Saponaria officinalis,ForestWetRich
8347289,Saponaria officinalis,ForestWetRich
8347290,Saponaria officinalis,ForestWetRich
8347291,Saponaria officinalis,ForestWetRich
8347292,Saponaria officinalis,ForestWetRich
8347293,Saponaria officinalis,ForestWetRich
8347294,Saponaria officinalis,ForestWetRich
8347295,Saponaria officinalis,ForestWetRich
8347296,Saponaria officinalis,ForestWetRich
8347297,Saponaria officinalis,ForestWetRich
8347298,Saponaria officinalis,ForestWetRich
8347299,Saponaria officinalis,ForestWetRich
8347300,Saponaria officinalis,ForestWetRich
8349959,Saponaria officinalis,ForestWetRich
8349960,Saponaria officinalis,ForestWetRich
8349981,Saponaria officinalis,ForestWetRich
8349982,Saponaria officinalis,ForestWetRich
8349983,Saponaria officinalis,ForestWetRich
8349984,Saponaria officinalis,ForestWetRich
8349985,Saponaria officinalis,ForestWetRich
8349986,Saponaria officinalis,ForestWetRich
8349987,Saponaria officinalis,ForestWetRich
8349988,Saponaria officinalis,ForestWetRich
8349989,Saponaria officinalis,ForestWetRich
8349990,Saponaria officinalis,ForestWetRich
8349991,Saponaria officinalis,ForestWetRich
8349992,Saponaria officinalis,ForestWetRich
8349993,Saponaria officinalis,ForestWetRich
8349994,Saponaria officinalis,ForestWetRich
8349995,Saponaria officinalis,ForestWetRich
8349996,Saponaria officinalis,ForestWetRich
8349997,Saponaria officinalis,ForestWetRich
8349998,Saponaria officinalis,ForestWetRich
8349999,Saponaria officinalis,ForestWetRich
8350000,Saponaria officinalis,ForestWetRich
8352659,Saponaria officinalis,ForestWetRich
8352660,Saponaria officinalis,ForestWetRich
8352681,Saponaria officinalis,ForestWetRich
8352682,Saponaria officinalis,ForestWetRich
8352683,Saponaria officinalis,ForestWetRich
8352684,Saponaria officinalis,ForestWetRich
8352685,Saponaria officinalis,ForestWetRich
8352686,Saponaria officinalis,ForestWetRich
8352687,Saponaria officinalis,ForestWetRich
8352688,Saponaria officinalis,ForestWetRich
8352689,Saponaria officinalis,ForestWetRich
8352690,Saponaria officinalis,ForestWetRich
8352691,Saponaria officinalis,ForestWetRich
8352692,Saponaria officinalis,ForestWetRich
8352693,Saponaria officinalis,ForestWetRich
8352694,Saponaria officinalis,ForestWetRich
8352695,Saponaria officinalis,ForestWetRich
8352696,Saponaria officinalis,ForestWetRich
8352697,Saponaria officinalis,ForestWetRich
8352698,Saponaria officinalis,ForestWetRich
8352699,Saponaria officinalis,ForestWetRich
8352700,Saponaria officinalis,ForestWetRich
8355359,Saponaria officinalis,ForestWetRich
8355360,Saponaria officinalis,ForestWetRich
8355381,Saponaria officinalis,ForestWetRich
8355382,Saponaria officinalis,ForestWetRich
8355383,Saponaria officinalis,ForestWetRich
8355384,Saponaria officinalis,ForestWetRich
8355385,Saponaria officinalis,ForestWetRich
8355386,Saponaria officinalis,ForestWetRich
8355387,Saponaria officinalis,ForestWetRich
8355388,Saponaria officinalis,ForestWetRich
8355389,Saponaria officinalis,ForestWetRich
8355390,Saponaria officinalis,ForestWetRich
8355391,Saponaria officinalis,ForestWetRich
8355392,Saponaria officinalis,ForestWetRich
8355393,Saponaria officinalis,ForestWetRich
8355394,Saponaria officinalis,ForestWetRich
