cell,species,Landuse
7594074,Acer platanoides,OpenDryPoor
7594075,Acer platanoides,OpenDryPoor
7594076,Acer platanoides,OpenDryPoor
7594077,Acer platanoides,OpenDryPoor
7594078,Acer platanoides,OpenDryPoor
7596766,Acer platanoides,OpenDryPoor
7596767,Acer platanoides,OpenDryPoor
7596768,Acer platanoides,OpenDryPoor
7596769,Acer platanoides,OpenDryPoor
7596770,Acer platanoides,OpenDryPoor
7596771,Acer platanoides,OpenDryPoor
7596772,Acer platanoides,OpenDryPoor
7596773,Acer platanoides,OpenDryPoor
7596774,Acer platanoides,OpenDryPoor
7596775,Acer platanoides,OpenDryPoor
7596776,Acer platanoides,OpenDryPoor
7596777,Acer platanoides,OpenDryPoor
7596778,Acer platanoides,OpenDryPoor
7596779,Acer platanoides,OpenDryPoor
7596780,Acer platanoides,OpenDryPoor
7596781,Acer platanoides,OpenDryPoor
7596782,Acer platanoides,OpenDryPoor
7596783,Acer platanoides,OpenDryPoor
7596784,Acer platanoides,OpenDryPoor
7596785,Acer platanoides,OpenDryPoor
7599462,Acer platanoides,OpenDryPoor
7599463,Acer platanoides,OpenDryPoor
7599464,Acer platanoides,OpenDryPoor
7599465,Acer platanoides,OpenDryPoor
7599466,Acer platanoides,OpenDryPoor
7599467,Acer platanoides,OpenDryPoor
7599468,Acer platanoides,OpenDryPoor
7599469,Acer platanoides,OpenDryPoor
7599470,Acer platanoides,OpenDryPoor
7599471,Acer platanoides,OpenDryPoor
7599472,Acer platanoides,OpenDryPoor
7599473,Acer platanoides,OpenDryPoor
7599474,Acer platanoides,OpenDryPoor
7599475,Acer platanoides,OpenDryPoor
7599476,Acer platanoides,OpenDryPoor
7599477,Acer platanoides,OpenDryPoor
7599478,Acer platanoides,OpenDryPoor
7599479,Acer platanoides,OpenDryPoor
7599480,Acer platanoides,OpenDryPoor
7599481,Acer platanoides,OpenDryPoor
7599482,Acer platanoides,OpenDryPoor
7599483,Acer platanoides,OpenDryPoor
7599484,Acer platanoides,OpenDryPoor
7599485,Acer platanoides,OpenDryPoor
7599486,Acer platanoides,OpenDryPoor
7599487,Acer platanoides,OpenDryPoor
7599488,Acer platanoides,OpenDryPoor
7599489,Acer platanoides,OpenDryPoor
7599490,Acer platanoides,OpenDryPoor
7602159,Acer platanoides,OpenDryPoor
7602160,Acer platanoides,OpenDryPoor
7602161,Acer platanoides,OpenDryPoor
7602162,Acer platanoides,OpenDryPoor
7602163,Acer platanoides,OpenDryPoor
7602164,Acer platanoides,OpenDryPoor
7602165,Acer platanoides,OpenDryPoor
7602166,Acer platanoides,OpenDryPoor
7602167,Acer platanoides,OpenDryPoor
7602168,Acer platanoides,OpenDryPoor
7602169,Acer platanoides,OpenDryPoor
7602170,Acer platanoides,OpenDryPoor
7602171,Acer platanoides,OpenDryPoor
7602172,Acer platanoides,OpenDryPoor
7602173,Acer platanoides,OpenDryPoor
7602174,Acer platanoides,OpenDryPoor
7602175,Acer platanoides,OpenDryPoor
7602176,Acer platanoides,OpenDryPoor
7602177,Acer platanoides,OpenDryPoor
7602178,Acer platanoides,OpenDryPoor
7602179,Acer platanoides,OpenDryPoor
7602180,Acer platanoides,OpenDryPoor
7602181,Acer platanoides,OpenDryPoor
7602182,Acer platanoides,OpenDryPoor
7602183,Acer platanoides,OpenDryPoor
7602184,Acer platanoides,OpenDryPoor
7602185,Acer platanoides,OpenDryPoor
7602186,Acer platanoides,OpenDryPoor
7602187,Acer platanoides,OpenDryPoor
7602188,Acer platanoides,OpenDryPoor
7602189,Acer platanoides,OpenDryPoor
7602190,Acer platanoides,OpenDryPoor
7602191,Acer platanoides,OpenDryPoor
7602192,Acer platanoides,OpenDryPoor
7604857,Acer platanoides,OpenDryPoor
7604858,Acer platanoides,OpenDryPoor
7604859,Acer platanoides,OpenDryPoor
7604860,Acer platanoides,OpenDryPoor
7604861,Acer platanoides,OpenDryPoor
7604862,Acer platanoides,OpenDryPoor
7604863,Acer platanoides,OpenDryPoor
7604864,Acer platanoides,OpenDryPoor
7604865,Acer platanoides,OpenDryPoor
7604866,Acer platanoides,OpenDryPoor
7604867,Acer platanoides,OpenDryPoor
7604868,Acer platanoides,OpenDryPoor
7604869,Acer platanoides,OpenDryPoor
7604870,Acer platanoides,OpenDryPoor
7604871,Acer platanoides,OpenDryPoor
7604872,Acer platanoides,OpenDryPoor
7604873,Acer platanoides,OpenDryPoor
7604874,Acer platanoides,OpenDryPoor
7604875,Acer platanoides,OpenDryPoor
7604876,Acer platanoides,OpenDryPoor
7604877,Acer platanoides,OpenDryPoor
7604878,Acer platanoides,OpenDryPoor
7604879,Acer platanoides,OpenDryPoor
7604880,Acer platanoides,OpenDryPoor
7604881,Acer platanoides,OpenDryPoor
7604882,Acer platanoides,OpenDryPoor
7604883,Acer platanoides,OpenDryPoor
7604884,Acer platanoides,OpenDryPoor
7604885,Acer platanoides,OpenDryPoor
7604886,Acer platanoides,OpenDryPoor
7604887,Acer platanoides,OpenDryPoor
7604888,Acer platanoides,OpenDryPoor
7604889,Acer platanoides,OpenDryPoor
7604890,Acer platanoides,OpenDryPoor
7604891,Acer platanoides,OpenDryPoor
7604892,Acer platanoides,OpenDryPoor
7604893,Acer platanoides,OpenDryPoor
7604894,Acer platanoides,OpenDryPoor
7604895,Acer platanoides,OpenDryPoor
7607554,Acer platanoides,OpenDryPoor
7607555,Acer platanoides,OpenDryPoor
7607556,Acer platanoides,OpenDryPoor
7607557,Acer platanoides,OpenDryPoor
7607558,Acer platanoides,OpenDryPoor
7607559,Acer platanoides,OpenDryPoor
7607560,Acer platanoides,OpenDryPoor
7607561,Acer platanoides,OpenDryPoor
7607562,Acer platanoides,OpenDryPoor
7607563,Acer platanoides,OpenDryPoor
7607564,Acer platanoides,OpenDryPoor
7607565,Acer platanoides,OpenDryPoor
7607566,Acer platanoides,OpenDryPoor
7607567,Acer platanoides,OpenDryPoor
7607568,Acer platanoides,OpenDryPoor
7607569,Acer platanoides,OpenDryPoor
