cell,species,Landuse
7421081,Anthriscus sylvestris,OpenDryPoor
7423781,Anthriscus sylvestris,OpenDryPoor
7423782,Anthriscus sylvestris,OpenDryPoor
7423783,Anthriscus sylvestris,OpenDryPoor
7423784,Anthriscus sylvestris,OpenDryPoor
7423785,Anthriscus sylvestris,OpenDryPoor
7423786,Anthriscus sylvestris,OpenDryPoor
7426481,Anthriscus sylvestris,OpenDryPoor
7426482,Anthriscus sylvestris,OpenDryPoor
7426483,Anthriscus sylvestris,OpenDryPoor
7426484,Anthriscus sylvestris,OpenDryPoor
7426485,Anthriscus sylvestris,OpenDryPoor
7426486,Anthriscus sylvestris,OpenDryPoor
7426487,Anthriscus sylvestris,OpenDryPoor
7426488,Anthriscus sylvestris,OpenDryPoor
7426489,Anthriscus sylvestris,OpenDryPoor
7426490,Anthriscus sylvestris,OpenDryPoor
7429181,Anthriscus sylvestris,OpenDryPoor
7429182,Anthriscus sylvestris,OpenDryPoor
7429183,Anthriscus sylvestris,OpenDryPoor
7429184,Anthriscus sylvestris,OpenDryPoor
7429185,Anthriscus sylvestris,OpenDryPoor
7429186,Anthriscus sylvestris,OpenDryPoor
7429187,Anthriscus sylvestris,OpenDryPoor
7429188,Anthriscus sylvestris,OpenDryPoor
7429189,Anthriscus sylvestris,OpenDryPoor
7429190,Anthriscus sylvestris,OpenDryPoor
7429191,Anthriscus sylvestris,OpenDryPoor
7429192,Anthriscus sylvestris,OpenDryPoor
7431881,Anthriscus sylvestris,OpenDryPoor
7431882,Anthriscus sylvestris,OpenDryPoor
7431883,Anthriscus sylvestris,OpenDryPoor
7431884,Anthriscus sylvestris,OpenDryPoor
7431885,Anthriscus sylvestris,OpenDryPoor
7431886,Anthriscus sylvestris,OpenDryPoor
7431887,Anthriscus sylvestris,OpenDryPoor
7431888,Anthriscus sylvestris,OpenDryPoor
7431889,Anthriscus sylvestris,OpenDryPoor
7431890,Anthriscus sylvestris,OpenDryPoor
7431891,Anthriscus sylvestris,OpenDryPoor
7431892,Anthriscus sylvestris,OpenDryPoor
7431893,Anthriscus sylvestris,OpenDryPoor
7431894,Anthriscus sylvestris,OpenDryPoor
7434581,Anthriscus sylvestris,OpenDryPoor
7434582,Anthriscus sylvestris,OpenDryPoor
7434583,Anthriscus sylvestris,OpenDryPoor
7434584,Anthriscus sylvestris,OpenDryPoor
7434585,Anthriscus sylvestris,OpenDryPoor
7434586,Anthriscus sylvestris,OpenDryPoor
7434587,Anthriscus sylvestris,OpenDryPoor
7434588,Anthriscus sylvestris,OpenDryPoor
7434589,Anthriscus sylvestris,OpenDryPoor
7434590,Anthriscus sylvestris,OpenDryPoor
7434591,Anthriscus sylvestris,OpenDryPoor
7434592,Anthriscus sylvestris,OpenDryPoor
7434593,Anthriscus sylvestris,OpenDryPoor
7434594,Anthriscus sylvestris,OpenDryPoor
7434595,Anthriscus sylvestris,OpenDryPoor
7434596,Anthriscus sylvestris,OpenDryPoor
7434597,Anthriscus sylvestris,OpenDryPoor
7437281,Anthriscus sylvestris,OpenDryPoor
7437282,Anthriscus sylvestris,OpenDryPoor
7437283,Anthriscus sylvestris,OpenDryPoor
7437284,Anthriscus sylvestris,OpenDryPoor
7437285,Anthriscus sylvestris,OpenDryPoor
7437286,Anthriscus sylvestris,OpenDryPoor
7437287,Anthriscus sylvestris,OpenDryPoor
7437288,Anthriscus sylvestris,OpenDryPoor
7437289,Anthriscus sylvestris,OpenDryPoor
7437290,Anthriscus sylvestris,OpenDryPoor
7437291,Anthriscus sylvestris,OpenDryPoor
7437292,Anthriscus sylvestris,OpenDryPoor
7437293,Anthriscus sylvestris,OpenDryPoor
7437294,Anthriscus sylvestris,OpenDryPoor
7437295,Anthriscus sylvestris,OpenDryPoor
7437296,Anthriscus sylvestris,OpenDryPoor
7437297,Anthriscus sylvestris,OpenDryPoor
7437298,Anthriscus sylvestris,OpenDryPoor
7439981,Anthriscus sylvestris,OpenDryPoor
7439982,Anthriscus sylvestris,OpenDryPoor
7439983,Anthriscus sylvestris,OpenDryPoor
7439984,Anthriscus sylvestris,OpenDryPoor
7439985,Anthriscus sylvestris,OpenDryPoor
7439986,Anthriscus sylvestris,OpenDryPoor
7439987,Anthriscus sylvestris,OpenDryPoor
7439988,Anthriscus sylvestris,OpenDryPoor
7439989,Anthriscus sylvestris,OpenDryPoor
7439990,Anthriscus sylvestris,OpenDryPoor
7439991,Anthriscus sylvestris,OpenDryPoor
7439992,Anthriscus sylvestris,OpenDryPoor
7439993,Anthriscus sylvestris,OpenDryPoor
7439994,Anthriscus sylvestris,OpenDryPoor
7439995,Anthriscus sylvestris,OpenDryPoor
7439996,Anthriscus sylvestris,OpenDryPoor
7439997,Anthriscus sylvestris,OpenDryPoor
7439998,Anthriscus sylvestris,OpenDryPoor
7439999,Anthriscus sylvestris,OpenDryPoor
7440000,Anthriscus sylvestris,OpenDryPoor
7442681,Anthriscus sylvestris,OpenDryPoor
7442682,Anthriscus sylvestris,OpenDryPoor
7442683,Anthriscus sylvestris,OpenDryPoor
7442684,Anthriscus sylvestris,OpenDryPoor
7442685,Anthriscus sylvestris,OpenDryPoor
7442686,Anthriscus sylvestris,OpenDryPoor
7442687,Anthriscus sylvestris,OpenDryPoor
7442688,Anthriscus sylvestris,OpenDryPoor
7442689,Anthriscus sylvestris,OpenDryPoor
7442690,Anthriscus sylvestris,OpenDryPoor
7442691,Anthriscus sylvestris,OpenDryPoor
7442692,Anthriscus sylvestris,OpenDryPoor
7442693,Anthriscus sylvestris,OpenDryPoor
7442694,Anthriscus sylvestris,OpenDryPoor
7442695,Anthriscus sylvestris,OpenDryPoor
7442696,Anthriscus sylvestris,OpenDryPoor
7442697,Anthriscus sylvestris,OpenDryPoor
7442698,Anthriscus sylvestris,OpenDryPoor
7442699,Anthriscus sylvestris,OpenDryPoor
