cell,species,Landuse
7399561,Carex acutiformis,OpenDryPoor
7399562,Carex acutiformis,OpenDryPoor
7399563,Carex acutiformis,OpenDryPoor
7399564,Carex acutiformis,OpenDryPoor
7399565,Carex acutiformis,OpenDryPoor
7399566,Carex acutiformis,OpenDryPoor
7399567,Carex acutiformis,OpenDryPoor
7399568,Carex acutiformis,OpenDryPoor
7399569,Carex acutiformis,OpenDryPoor
7399570,Carex acutiformis,OpenDryPoor
7399571,Carex acutiformis,OpenDryPoor
7399572,Carex acutiformis,OpenDryPoor
7399573,Carex acutiformis,OpenDryPoor
7399574,Carex acutiformis,OpenDryPoor
7399575,Carex acutiformis,OpenDryPoor
7399576,Carex acutiformis,OpenDryPoor
7399577,Carex acutiformis,OpenDryPoor
7399578,Carex acutiformis,OpenDryPoor
7399579,Carex acutiformis,OpenDryPoor
7399580,Carex acutiformis,OpenDryPoor
7402261,Carex acutiformis,OpenDryPoor
7402262,Carex acutiformis,OpenDryPoor
7402263,Carex acutiformis,OpenDryPoor
7402264,Carex acutiformis,OpenDryPoor
7402265,Carex acutiformis,OpenDryPoor
7402266,Carex acutiformis,OpenDryPoor
7402267,Carex acutiformis,OpenDryPoor
7402268,Carex acutiformis,OpenDryPoor
7402269,Carex acutiformis,OpenDryPoor
7402270,Carex acutiformis,OpenDryPoor
7402271,Carex acutiformis,OpenDryPoor
7402272,Carex acutiformis,OpenDryPoor
7402273,Carex acutiformis,OpenDryPoor
7402274,Carex acutiformis,OpenDryPoor
7402275,Carex acutiformis,OpenDryPoor
7402276,Carex acutiformis,OpenDryPoor
7402277,Carex acutiformis,OpenDryPoor
7402278,Carex acutiformis,OpenDryPoor
7402279,Carex acutiformis,OpenDryPoor
7402280,Carex acutiformis,OpenDryPoor
7404961,Carex acutiformis,OpenDryPoor
7404962,Carex acutiformis,OpenDryPoor
7404963,Carex acutiformis,OpenDryPoor
7404964,Carex acutiformis,OpenDryPoor
7404965,Carex acutiformis,OpenDryPoor
7404966,Carex acutiformis,OpenDryPoor
7404967,Carex acutiformis,OpenDryPoor
7404968,Carex acutiformis,OpenDryPoor
7404969,Carex acutiformis,OpenDryPoor
7404970,Carex acutiformis,OpenDryPoor
7404971,Carex acutiformis,OpenDryPoor
7404972,Carex acutiformis,OpenDryPoor
7404973,Carex acutiformis,OpenDryPoor
7404974,Carex acutiformis,OpenDryPoor
7404975,Carex acutiformis,OpenDryPoor
7404976,Carex acutiformis,OpenDryPoor
7404977,Carex acutiformis,OpenDryPoor
7404978,Carex acutiformis,OpenDryPoor
7404979,Carex acutiformis,OpenDryPoor
7404980,Carex acutiformis,OpenDryPoor
7407661,Carex acutiformis,OpenDryPoor
7407662,Carex acutiformis,OpenDryPoor
7407663,Carex acutiformis,OpenDryPoor
7407664,Carex acutiformis,OpenDryPoor
7407665,Carex acutiformis,OpenDryPoor
7407666,Carex acutiformis,OpenDryPoor
7407667,Carex acutiformis,OpenDryPoor
7407668,Carex acutiformis,OpenDryPoor
7407669,Carex acutiformis,OpenDryPoor
7407670,Carex acutiformis,OpenDryPoor
7407671,Carex acutiformis,OpenDryPoor
7407672,Carex acutiformis,OpenDryPoor
7407673,Carex acutiformis,OpenDryPoor
7407674,Carex acutiformis,OpenDryPoor
7407675,Carex acutiformis,OpenDryPoor
7407676,Carex acutiformis,OpenDryPoor
7407677,Carex acutiformis,OpenDryPoor
7407678,Carex acutiformis,OpenDryPoor
7407679,Carex acutiformis,OpenDryPoor
7407680,Carex acutiformis,OpenDryPoor
7410361,Carex acutiformis,OpenDryPoor
7410362,Carex acutiformis,OpenDryPoor
7410363,Carex acutiformis,OpenDryPoor
7410364,Carex acutiformis,OpenDryPoor
7410365,Carex acutiformis,OpenDryPoor
7410366,Carex acutiformis,OpenDryPoor
7410367,Carex acutiformis,OpenDryPoor
7410368,Carex acutiformis,OpenDryPoor
7410369,Carex acutiformis,OpenDryPoor
7410370,Carex acutiformis,OpenDryPoor
7410371,Carex acutiformis,OpenDryPoor
7410372,Carex acutiformis,OpenDryPoor
7410373,Carex acutiformis,OpenDryPoor
7410374,Carex acutiformis,OpenDryPoor
7410375,Carex acutiformis,OpenDryPoor
7410376,Carex acutiformis,OpenDryPoor
7410377,Carex acutiformis,OpenDryPoor
7410378,Carex acutiformis,OpenDryPoor
7410379,Carex acutiformis,OpenDryPoor
7410380,Carex acutiformis,OpenDryPoor
7413061,Carex acutiformis,OpenDryPoor
