cell,species,Landuse
7399568,Carex paniculata,OpenDryPoor
7399569,Carex paniculata,OpenDryPoor
7399570,Carex paniculata,OpenDryPoor
7399571,Carex paniculata,OpenDryPoor
7399572,Carex paniculata,OpenDryPoor
7399573,Carex paniculata,OpenDryPoor
7399574,Carex paniculata,OpenDryPoor
7399575,Carex paniculata,OpenDryPoor
7399576,Carex paniculata,OpenDryPoor
7399577,Carex paniculata,OpenDryPoor
7399578,Carex paniculata,OpenDryPoor
7399579,Carex paniculata,OpenDryPoor
7399580,Carex paniculata,OpenDryPoor
7402266,Carex paniculata,OpenDryPoor
7402267,Carex paniculata,OpenDryPoor
7402268,Carex paniculata,OpenDryPoor
7402269,Carex paniculata,OpenDryPoor
7402270,Carex paniculata,OpenDryPoor
7402271,Carex paniculata,OpenDryPoor
7402272,Carex paniculata,OpenDryPoor
7402273,Carex paniculata,OpenDryPoor
7402274,Carex paniculata,OpenDryPoor
7402275,Carex paniculata,OpenDryPoor
7402276,Carex paniculata,OpenDryPoor
7402277,Carex paniculata,OpenDryPoor
7402278,Carex paniculata,OpenDryPoor
7402279,Carex paniculata,OpenDryPoor
7402280,Carex paniculata,OpenDryPoor
7404963,Carex paniculata,OpenDryPoor
7404964,Carex paniculata,OpenDryPoor
7404965,Carex paniculata,OpenDryPoor
7404966,Carex paniculata,OpenDryPoor
7404967,Carex paniculata,OpenDryPoor
7404968,Carex paniculata,OpenDryPoor
7404969,Carex paniculata,OpenDryPoor
7404970,Carex paniculata,OpenDryPoor
7404971,Carex paniculata,OpenDryPoor
7404972,Carex paniculata,OpenDryPoor
7404973,Carex paniculata,OpenDryPoor
7404974,Carex paniculata,OpenDryPoor
7404975,Carex paniculata,OpenDryPoor
7404976,Carex paniculata,OpenDryPoor
7404977,Carex paniculata,OpenDryPoor
7404978,Carex paniculata,OpenDryPoor
7404979,Carex paniculata,OpenDryPoor
7404980,Carex paniculata,OpenDryPoor
7407662,Carex paniculata,OpenDryPoor
7407663,Carex paniculata,OpenDryPoor
7407664,Carex paniculata,OpenDryPoor
7407665,Carex paniculata,OpenDryPoor
7407666,Carex paniculata,OpenDryPoor
7407667,Carex paniculata,OpenDryPoor
7407668,Carex paniculata,OpenDryPoor
7407669,Carex paniculata,OpenDryPoor
7407670,Carex paniculata,OpenDryPoor
7407671,Carex paniculata,OpenDryPoor
7407672,Carex paniculata,OpenDryPoor
7407673,Carex paniculata,OpenDryPoor
7407674,Carex paniculata,OpenDryPoor
7407675,Carex paniculata,OpenDryPoor
7407676,Carex paniculata,OpenDryPoor
7407677,Carex paniculata,OpenDryPoor
7407678,Carex paniculata,OpenDryPoor
7407679,Carex paniculata,OpenDryPoor
7407680,Carex paniculata,OpenDryPoor
7410361,Carex paniculata,OpenDryPoor
7410362,Carex paniculata,OpenDryPoor
7410363,Carex paniculata,OpenDryPoor
7410364,Carex paniculata,OpenDryPoor
7410365,Carex paniculata,OpenDryPoor
7410366,Carex paniculata,OpenDryPoor
7410367,Carex paniculata,OpenDryPoor
7410368,Carex paniculata,OpenDryPoor
7410369,Carex paniculata,OpenDryPoor
7410370,Carex paniculata,OpenDryPoor
7410371,Carex paniculata,OpenDryPoor
7410372,Carex paniculata,OpenDryPoor
7410373,Carex paniculata,OpenDryPoor
7410374,Carex paniculata,OpenDryPoor
7410375,Carex paniculata,OpenDryPoor
7410376,Carex paniculata,OpenDryPoor
7410377,Carex paniculata,OpenDryPoor
7410378,Carex paniculata,OpenDryPoor
7410379,Carex paniculata,OpenDryPoor
7410380,Carex paniculata,OpenDryPoor
7413061,Carex paniculata,OpenDryPoor
7413062,Carex paniculata,OpenDryPoor
7413063,Carex paniculata,OpenDryPoor
7413064,Carex paniculata,OpenDryPoor
7413065,Carex paniculata,OpenDryPoor
7413066,Carex paniculata,OpenDryPoor
7413067,Carex paniculata,OpenDryPoor
7413068,Carex paniculata,OpenDryPoor
7413069,Carex paniculata,OpenDryPoor
7413070,Carex paniculata,OpenDryPoor
7413071,Carex paniculata,OpenDryPoor
7413072,Carex paniculata,OpenDryPoor
7413073,Carex paniculata,OpenDryPoor
7413074,Carex paniculata,OpenDryPoor
7413075,Carex paniculata,OpenDryPoor
7413076,Carex paniculata,OpenDryPoor
7413077,Carex paniculata,OpenDryPoor
