cell,species,Landuse
7345541,Climacium dendroides,OpenDryPoor
7345542,Climacium dendroides,OpenDryPoor
7345543,Climacium dendroides,OpenDryPoor
7345544,Climacium dendroides,OpenDryPoor
7345545,Climacium dendroides,OpenDryPoor
7345546,Climacium dendroides,OpenDryPoor
7345547,Climacium dendroides,OpenDryPoor
7345548,Climacium dendroides,OpenDryPoor
7345549,Climacium dendroides,OpenDryPoor
7345550,Climacium dendroides,OpenDryPoor
7345551,Climacium dendroides,OpenDryPoor
7345552,Climacium dendroides,OpenDryPoor
7345553,Climacium dendroides,OpenDryPoor
7345554,Climacium dendroides,OpenDryPoor
7345555,Climacium dendroides,OpenDryPoor
7345556,Climacium dendroides,OpenDryPoor
7345557,Climacium dendroides,OpenDryPoor
7345558,Climacium dendroides,OpenDryPoor
7345559,Climacium dendroides,OpenDryPoor
7345560,Climacium dendroides,OpenDryPoor
7348241,Climacium dendroides,OpenDryPoor
7348242,Climacium dendroides,OpenDryPoor
7348243,Climacium dendroides,OpenDryPoor
7348244,Climacium dendroides,OpenDryPoor
7348245,Climacium dendroides,OpenDryPoor
7348246,Climacium dendroides,OpenDryPoor
7348247,Climacium dendroides,OpenDryPoor
7348248,Climacium dendroides,OpenDryPoor
7348249,Climacium dendroides,OpenDryPoor
7348250,Climacium dendroides,OpenDryPoor
7348251,Climacium dendroides,OpenDryPoor
7348252,Climacium dendroides,OpenDryPoor
7348253,Climacium dendroides,OpenDryPoor
7348254,Climacium dendroides,OpenDryPoor
7348255,Climacium dendroides,OpenDryPoor
7348256,Climacium dendroides,OpenDryPoor
7348257,Climacium dendroides,OpenDryPoor
7348258,Climacium dendroides,OpenDryPoor
7348259,Climacium dendroides,OpenDryPoor
7348260,Climacium dendroides,OpenDryPoor
7350941,Climacium dendroides,OpenDryPoor
7350942,Climacium dendroides,OpenDryPoor
7350943,Climacium dendroides,OpenDryPoor
7350944,Climacium dendroides,OpenDryPoor
7350945,Climacium dendroides,OpenDryPoor
7350946,Climacium dendroides,OpenDryPoor
7350947,Climacium dendroides,OpenDryPoor
7350948,Climacium dendroides,OpenDryPoor
7350949,Climacium dendroides,OpenDryPoor
7350950,Climacium dendroides,OpenDryPoor
7350951,Climacium dendroides,OpenDryPoor
7350952,Climacium dendroides,OpenDryPoor
7350953,Climacium dendroides,OpenDryPoor
7350954,Climacium dendroides,OpenDryPoor
7350955,Climacium dendroides,OpenDryPoor
7350956,Climacium dendroides,OpenDryPoor
7350957,Climacium dendroides,OpenDryPoor
7350958,Climacium dendroides,OpenDryPoor
7350959,Climacium dendroides,OpenDryPoor
7350960,Climacium dendroides,OpenDryPoor
7353641,Climacium dendroides,OpenDryPoor
7353642,Climacium dendroides,OpenDryPoor
7353643,Climacium dendroides,OpenDryPoor
7353644,Climacium dendroides,OpenDryPoor
7353645,Climacium dendroides,OpenDryPoor
7353646,Climacium dendroides,OpenDryPoor
7353647,Climacium dendroides,OpenDryPoor
7353648,Climacium dendroides,OpenDryPoor
7353649,Climacium dendroides,OpenDryPoor
7353650,Climacium dendroides,OpenDryPoor
7353651,Climacium dendroides,OpenDryPoor
7353652,Climacium dendroides,OpenDryPoor
7353653,Climacium dendroides,OpenDryPoor
7353654,Climacium dendroides,OpenDryPoor
7353655,Climacium dendroides,OpenDryPoor
7353656,Climacium dendroides,OpenDryPoor
7353657,Climacium dendroides,OpenDryPoor
7353658,Climacium dendroides,OpenDryPoor
7353659,Climacium dendroides,OpenDryPoor
7353660,Climacium dendroides,OpenDryPoor
7356341,Climacium dendroides,OpenDryPoor
7356342,Climacium dendroides,OpenDryPoor
7356343,Climacium dendroides,OpenDryPoor
7356344,Climacium dendroides,OpenDryPoor
7356345,Climacium dendroides,OpenDryPoor
7356346,Climacium dendroides,OpenDryPoor
7356347,Climacium dendroides,OpenDryPoor
7356348,Climacium dendroides,OpenDryPoor
7356349,Climacium dendroides,OpenDryPoor
7356350,Climacium dendroides,OpenDryPoor
7356351,Climacium dendroides,OpenDryPoor
7356352,Climacium dendroides,OpenDryPoor
7356353,Climacium dendroides,OpenDryPoor
7356354,Climacium dendroides,OpenDryPoor
7356355,Climacium dendroides,OpenDryPoor
7356356,Climacium dendroides,OpenDryPoor
7356357,Climacium dendroides,OpenDryPoor
7356358,Climacium dendroides,OpenDryPoor
7356359,Climacium dendroides,OpenDryPoor
7356360,Climacium dendroides,OpenDryPoor
7359041,Climacium dendroides,OpenDryPoor
7359042,Climacium dendroides,OpenDryPoor
7359043,Climacium dendroides,OpenDryPoor
7359044,Climacium dendroides,OpenDryPoor
7359045,Climacium dendroides,OpenDryPoor
7359046,Climacium dendroides,OpenDryPoor
7359047,Climacium dendroides,OpenDryPoor
7359048,Climacium dendroides,OpenDryPoor
7359049,Climacium dendroides,OpenDryPoor
7359050,Climacium dendroides,OpenDryPoor
7359051,Climacium dendroides,OpenDryPoor
7359052,Climacium dendroides,OpenDryPoor
7359053,Climacium dendroides,OpenDryPoor
7359054,Climacium dendroides,OpenDryPoor
7359055,Climacium dendroides,OpenDryPoor
7359056,Climacium dendroides,OpenDryPoor
7359057,Climacium dendroides,OpenDryPoor
7359058,Climacium dendroides,OpenDryPoor
7359059,Climacium dendroides,OpenDryPoor
7359060,Climacium dendroides,OpenDryPoor
7361741,Climacium dendroides,OpenDryPoor
7361742,Climacium dendroides,OpenDryPoor
7361743,Climacium dendroides,OpenDryPoor
7361744,Climacium dendroides,OpenDryPoor
7361745,Climacium dendroides,OpenDryPoor
7361746,Climacium dendroides,OpenDryPoor
7361747,Climacium dendroides,OpenDryPoor
7361748,Climacium dendroides,OpenDryPoor
7361749,Climacium dendroides,OpenDryPoor
7361750,Climacium dendroides,OpenDryPoor
7361751,Climacium dendroides,OpenDryPoor
7361752,Climacium dendroides,OpenDryPoor
7361753,Climacium dendroides,OpenDryPoor
7361754,Climacium dendroides,OpenDryPoor
7361755,Climacium dendroides,OpenDryPoor
7361756,Climacium dendroides,OpenDryPoor
7361757,Climacium dendroides,OpenDryPoor
7361758,Climacium dendroides,OpenDryPoor
7361759,Climacium dendroides,OpenDryPoor
7361760,Climacium dendroides,OpenDryPoor
7364441,Climacium dendroides,OpenDryPoor
7364442,Climacium dendroides,OpenDryPoor
7364443,Climacium dendroides,OpenDryPoor
7364444,Climacium dendroides,OpenDryPoor
7364445,Climacium dendroides,OpenDryPoor
7364446,Climacium dendroides,OpenDryPoor
7364447,Climacium dendroides,OpenDryPoor
7364448,Climacium dendroides,OpenDryPoor
7364449,Climacium dendroides,OpenDryPoor
7364450,Climacium dendroides,OpenDryPoor
7364451,Climacium dendroides,OpenDryPoor
7364452,Climacium dendroides,OpenDryPoor
7364453,Climacium dendroides,OpenDryPoor
7364454,Climacium dendroides,OpenDryPoor
7364455,Climacium dendroides,OpenDryPoor
7364456,Climacium dendroides,OpenDryPoor
7364457,Climacium dendroides,OpenDryPoor
7364458,Climacium dendroides,OpenDryPoor
7364459,Climacium dendroides,OpenDryPoor
7364460,Climacium dendroides,OpenDryPoor
7367141,Climacium dendroides,OpenDryPoor
7367142,Climacium dendroides,OpenDryPoor
7367143,Climacium dendroides,OpenDryPoor
7367144,Climacium dendroides,OpenDryPoor
7367145,Climacium dendroides,OpenDryPoor
7367146,Climacium dendroides,OpenDryPoor
7367147,Climacium dendroides,OpenDryPoor
7367148,Climacium dendroides,OpenDryPoor
7367149,Climacium dendroides,OpenDryPoor
7367150,Climacium dendroides,OpenDryPoor
