cell,species,Landuse
8371601,Lycopus europaeus,OpenDryPoor
8371602,Lycopus europaeus,OpenDryPoor
8371603,Lycopus europaeus,OpenDryPoor
8371604,Lycopus europaeus,OpenDryPoor
8371605,Lycopus europaeus,OpenDryPoor
8371606,Lycopus europaeus,OpenDryPoor
8371607,Lycopus europaeus,OpenDryPoor
8371608,Lycopus europaeus,OpenDryPoor
8371609,Lycopus europaeus,OpenDryPoor
8371610,Lycopus europaeus,OpenDryPoor
8371611,Lycopus europaeus,OpenDryPoor
8371612,Lycopus europaeus,OpenDryPoor
8371613,Lycopus europaeus,OpenDryPoor
8371614,Lycopus europaeus,OpenDryPoor
8371615,Lycopus europaeus,OpenDryPoor
8371616,Lycopus europaeus,OpenDryPoor
8371617,Lycopus europaeus,OpenDryPoor
8371618,Lycopus europaeus,OpenDryPoor
8371619,Lycopus europaeus,OpenDryPoor
8371620,Lycopus europaeus,OpenDryPoor
8374301,Lycopus europaeus,OpenDryPoor
8374302,Lycopus europaeus,OpenDryPoor
8374303,Lycopus europaeus,OpenDryPoor
8374304,Lycopus europaeus,OpenDryPoor
8374305,Lycopus europaeus,OpenDryPoor
8374306,Lycopus europaeus,OpenDryPoor
8374307,Lycopus europaeus,OpenDryPoor
8374308,Lycopus europaeus,OpenDryPoor
8374309,Lycopus europaeus,OpenDryPoor
8374310,Lycopus europaeus,OpenDryPoor
8374311,Lycopus europaeus,OpenDryPoor
8374312,Lycopus europaeus,OpenDryPoor
8374313,Lycopus europaeus,OpenDryPoor
8374314,Lycopus europaeus,OpenDryPoor
8374315,Lycopus europaeus,OpenDryPoor
8374316,Lycopus europaeus,OpenDryPoor
8374317,Lycopus europaeus,OpenDryPoor
8374318,Lycopus europaeus,OpenDryPoor
8374319,Lycopus europaeus,OpenDryPoor
8374320,Lycopus europaeus,OpenDryPoor
8377001,Lycopus europaeus,OpenDryPoor
8377002,Lycopus europaeus,OpenDryPoor
8377003,Lycopus europaeus,OpenDryPoor
8377004,Lycopus europaeus,OpenDryPoor
8377005,Lycopus europaeus,OpenDryPoor
8377006,Lycopus europaeus,OpenDryPoor
8377007,Lycopus europaeus,OpenDryPoor
8377008,Lycopus europaeus,OpenDryPoor
8377009,Lycopus europaeus,OpenDryPoor
8377010,Lycopus europaeus,OpenDryPoor
8377011,Lycopus europaeus,OpenDryPoor
8377012,Lycopus europaeus,OpenDryPoor
8377013,Lycopus europaeus,OpenDryPoor
8377014,Lycopus europaeus,OpenDryPoor
8377015,Lycopus europaeus,OpenDryPoor
8377016,Lycopus europaeus,OpenDryPoor
8377017,Lycopus europaeus,OpenDryPoor
8377018,Lycopus europaeus,OpenDryPoor
8377019,Lycopus europaeus,OpenDryPoor
8377020,Lycopus europaeus,OpenDryPoor
8379701,Lycopus europaeus,OpenDryPoor
8379702,Lycopus europaeus,OpenDryPoor
8379703,Lycopus europaeus,OpenDryPoor
8379704,Lycopus europaeus,OpenDryPoor
8379705,Lycopus europaeus,OpenDryPoor
8379706,Lycopus europaeus,OpenDryPoor
8379707,Lycopus europaeus,OpenDryPoor
8379708,Lycopus europaeus,OpenDryPoor
8379709,Lycopus europaeus,OpenDryPoor
8379710,Lycopus europaeus,OpenDryPoor
8379711,Lycopus europaeus,OpenDryPoor
8379712,Lycopus europaeus,OpenDryPoor
8379713,Lycopus europaeus,OpenDryPoor
8379714,Lycopus europaeus,OpenDryPoor
8379715,Lycopus europaeus,OpenDryPoor
8379716,Lycopus europaeus,OpenDryPoor
8379717,Lycopus europaeus,OpenDryPoor
8379718,Lycopus europaeus,OpenDryPoor
8379719,Lycopus europaeus,OpenDryPoor
8379720,Lycopus europaeus,OpenDryPoor
8382401,Lycopus europaeus,OpenDryPoor
8382402,Lycopus europaeus,OpenDryPoor
