cell,species,Landuse
7504880,Dactylis glomerata,OpenDryRich
7507601,Dactylis glomerata,OpenDryRich
7507602,Dactylis glomerata,OpenDryRich
7507603,Dactylis glomerata,OpenDryRich
7507604,Dactylis glomerata,OpenDryRich
7507605,Dactylis glomerata,OpenDryRich
7507606,Dactylis glomerata,OpenDryRich
7507607,Dactylis glomerata,OpenDryRich
7507608,Dactylis glomerata,OpenDryRich
7507609,Dactylis glomerata,OpenDryRich
7507610,Dactylis glomerata,OpenDryRich
7507611,Dactylis glomerata,OpenDryRich
7507612,Dactylis glomerata,OpenDryRich
7507613,Dactylis glomerata,OpenDryRich
7507614,Dactylis glomerata,OpenDryRich
7507615,Dactylis glomerata,OpenDryRich
7507616,Dactylis glomerata,OpenDryRich
7507617,Dactylis glomerata,OpenDryRich
7507618,Dactylis glomerata,OpenDryRich
7507619,Dactylis glomerata,OpenDryRich
7507620,Dactylis glomerata,OpenDryRich
7510301,Dactylis glomerata,OpenDryRich
7510302,Dactylis glomerata,OpenDryRich
7510303,Dactylis glomerata,OpenDryRich
7510304,Dactylis glomerata,OpenDryRich
7510305,Dactylis glomerata,OpenDryRich
7510306,Dactylis glomerata,OpenDryRich
7510307,Dactylis glomerata,OpenDryRich
7510308,Dactylis glomerata,OpenDryRich
7510309,Dactylis glomerata,OpenDryRich
7510310,Dactylis glomerata,OpenDryRich
7510311,Dactylis glomerata,OpenDryRich
7510312,Dactylis glomerata,OpenDryRich
7510313,Dactylis glomerata,OpenDryRich
7510314,Dactylis glomerata,OpenDryRich
7510315,Dactylis glomerata,OpenDryRich
7510316,Dactylis glomerata,OpenDryRich
7510317,Dactylis glomerata,OpenDryRich
7510318,Dactylis glomerata,OpenDryRich
7510319,Dactylis glomerata,OpenDryRich
7510320,Dactylis glomerata,OpenDryRich
7513001,Dactylis glomerata,OpenDryRich
7513002,Dactylis glomerata,OpenDryRich
7513003,Dactylis glomerata,OpenDryRich
7513004,Dactylis glomerata,OpenDryRich
7513005,Dactylis glomerata,OpenDryRich
7513006,Dactylis glomerata,OpenDryRich
7513007,Dactylis glomerata,OpenDryRich
7513008,Dactylis glomerata,OpenDryRich
7513009,Dactylis glomerata,OpenDryRich
7513010,Dactylis glomerata,OpenDryRich
7513011,Dactylis glomerata,OpenDryRich
7513012,Dactylis glomerata,OpenDryRich
7513013,Dactylis glomerata,OpenDryRich
7513014,Dactylis glomerata,OpenDryRich
7513015,Dactylis glomerata,OpenDryRich
7513016,Dactylis glomerata,OpenDryRich
7513017,Dactylis glomerata,OpenDryRich
7513018,Dactylis glomerata,OpenDryRich
7513019,Dactylis glomerata,OpenDryRich
7513020,Dactylis glomerata,OpenDryRich
7515701,Dactylis glomerata,OpenDryRich
7515702,Dactylis glomerata,OpenDryRich
7515703,Dactylis glomerata,OpenDryRich
7515704,Dactylis glomerata,OpenDryRich
7515705,Dactylis glomerata,OpenDryRich
7515706,Dactylis glomerata,OpenDryRich
7515707,Dactylis glomerata,OpenDryRich
7515708,Dactylis glomerata,OpenDryRich
7515709,Dactylis glomerata,OpenDryRich
7515710,Dactylis glomerata,OpenDryRich
7515711,Dactylis glomerata,OpenDryRich
7515712,Dactylis glomerata,OpenDryRich
7515713,Dactylis glomerata,OpenDryRich
7515714,Dactylis glomerata,OpenDryRich
7515715,Dactylis glomerata,OpenDryRich
7515716,Dactylis glomerata,OpenDryRich
7515717,Dactylis glomerata,OpenDryRich
7515718,Dactylis glomerata,OpenDryRich
7515719,Dactylis glomerata,OpenDryRich
7515720,Dactylis glomerata,OpenDryRich
7518401,Dactylis glomerata,OpenDryRich
7518402,Dactylis glomerata,OpenDryRich
7518403,Dactylis glomerata,OpenDryRich
7518404,Dactylis glomerata,OpenDryRich
7518405,Dactylis glomerata,OpenDryRich
7518406,Dactylis glomerata,OpenDryRich
7518407,Dactylis glomerata,OpenDryRich
7518408,Dactylis glomerata,OpenDryRich
7518409,Dactylis glomerata,OpenDryRich
7518410,Dactylis glomerata,OpenDryRich
7518411,Dactylis glomerata,OpenDryRich
7518412,Dactylis glomerata,OpenDryRich
7518413,Dactylis glomerata,OpenDryRich
7518414,Dactylis glomerata,OpenDryRich
7518415,Dactylis glomerata,OpenDryRich
7518416,Dactylis glomerata,OpenDryRich
7518417,Dactylis glomerata,OpenDryRich
7518418,Dactylis glomerata,OpenDryRich
7518419,Dactylis glomerata,OpenDryRich
