cell,species,Landuse
7437361,Draba verna,OpenDryRich
7437362,Draba verna,OpenDryRich
7437363,Draba verna,OpenDryRich
7440061,Draba verna,OpenDryRich
7440062,Draba verna,OpenDryRich
7440063,Draba verna,OpenDryRich
7440064,Draba verna,OpenDryRich
7440065,Draba verna,OpenDryRich
7440066,Draba verna,OpenDryRich
7440067,Draba verna,OpenDryRich
7442761,Draba verna,OpenDryRich
7442762,Draba verna,OpenDryRich
7442763,Draba verna,OpenDryRich
7442764,Draba verna,OpenDryRich
7442765,Draba verna,OpenDryRich
7442766,Draba verna,OpenDryRich
7442767,Draba verna,OpenDryRich
7442768,Draba verna,OpenDryRich
7442769,Draba verna,OpenDryRich
7442770,Draba verna,OpenDryRich
7445461,Draba verna,OpenDryRich
7445462,Draba verna,OpenDryRich
7445463,Draba verna,OpenDryRich
7445464,Draba verna,OpenDryRich
7445465,Draba verna,OpenDryRich
7445466,Draba verna,OpenDryRich
7445467,Draba verna,OpenDryRich
7445468,Draba verna,OpenDryRich
7445469,Draba verna,OpenDryRich
7445470,Draba verna,OpenDryRich
7445471,Draba verna,OpenDryRich
7445472,Draba verna,OpenDryRich
7445473,Draba verna,OpenDryRich
7448161,Draba verna,OpenDryRich
7448162,Draba verna,OpenDryRich
7448163,Draba verna,OpenDryRich
7448164,Draba verna,OpenDryRich
7448165,Draba verna,OpenDryRich
7448166,Draba verna,OpenDryRich
7448167,Draba verna,OpenDryRich
7448168,Draba verna,OpenDryRich
7448169,Draba verna,OpenDryRich
7448170,Draba verna,OpenDryRich
7448171,Draba verna,OpenDryRich
7448172,Draba verna,OpenDryRich
7448173,Draba verna,OpenDryRich
7448174,Draba verna,OpenDryRich
7448175,Draba verna,OpenDryRich
7450861,Draba verna,OpenDryRich
7450862,Draba verna,OpenDryRich
7450863,Draba verna,OpenDryRich
7450864,Draba verna,OpenDryRich
7450865,Draba verna,OpenDryRich
7450866,Draba verna,OpenDryRich
7450867,Draba verna,OpenDryRich
7450868,Draba verna,OpenDryRich
7450869,Draba verna,OpenDryRich
7450870,Draba verna,OpenDryRich
7450871,Draba verna,OpenDryRich
7450872,Draba verna,OpenDryRich
7450873,Draba verna,OpenDryRich
7450874,Draba verna,OpenDryRich
7450875,Draba verna,OpenDryRich
7450876,Draba verna,OpenDryRich
7450877,Draba verna,OpenDryRich
7453561,Draba verna,OpenDryRich
7453562,Draba verna,OpenDryRich
7453563,Draba verna,OpenDryRich
7453564,Draba verna,OpenDryRich
