cell,species,Landuse
7399572,Plagiomnium undulatum,OpenDryRich
7399573,Plagiomnium undulatum,OpenDryRich
7399574,Plagiomnium undulatum,OpenDryRich
7399575,Plagiomnium undulatum,OpenDryRich
7399576,Plagiomnium undulatum,OpenDryRich
7399577,Plagiomnium undulatum,OpenDryRich
7399578,Plagiomnium undulatum,OpenDryRich
7399579,Plagiomnium undulatum,OpenDryRich
7399580,Plagiomnium undulatum,OpenDryRich
7402269,Plagiomnium undulatum,OpenDryRich
7402270,Plagiomnium undulatum,OpenDryRich
7402271,Plagiomnium undulatum,OpenDryRich
7402272,Plagiomnium undulatum,OpenDryRich
7402273,Plagiomnium undulatum,OpenDryRich
7402274,Plagiomnium undulatum,OpenDryRich
7402275,Plagiomnium undulatum,OpenDryRich
7402276,Plagiomnium undulatum,OpenDryRich
7402277,Plagiomnium undulatum,OpenDryRich
7402278,Plagiomnium undulatum,OpenDryRich
7402279,Plagiomnium undulatum,OpenDryRich
7402280,Plagiomnium undulatum,OpenDryRich
7404967,Plagiomnium undulatum,OpenDryRich
7404968,Plagiomnium undulatum,OpenDryRich
7404969,Plagiomnium undulatum,OpenDryRich
7404970,Plagiomnium undulatum,OpenDryRich
7404971,Plagiomnium undulatum,OpenDryRich
7404972,Plagiomnium undulatum,OpenDryRich
7404973,Plagiomnium undulatum,OpenDryRich
7404974,Plagiomnium undulatum,OpenDryRich
7404975,Plagiomnium undulatum,OpenDryRich
7404976,Plagiomnium undulatum,OpenDryRich
7404977,Plagiomnium undulatum,OpenDryRich
7404978,Plagiomnium undulatum,OpenDryRich
7404979,Plagiomnium undulatum,OpenDryRich
7404980,Plagiomnium undulatum,OpenDryRich
7407666,Plagiomnium undulatum,OpenDryRich
7407667,Plagiomnium undulatum,OpenDryRich
7407668,Plagiomnium undulatum,OpenDryRich
7407669,Plagiomnium undulatum,OpenDryRich
7407670,Plagiomnium undulatum,OpenDryRich
7407671,Plagiomnium undulatum,OpenDryRich
7407672,Plagiomnium undulatum,OpenDryRich
7407673,Plagiomnium undulatum,OpenDryRich
7407674,Plagiomnium undulatum,OpenDryRich
7407675,Plagiomnium undulatum,OpenDryRich
7407676,Plagiomnium undulatum,OpenDryRich
7407677,Plagiomnium undulatum,OpenDryRich
7407678,Plagiomnium undulatum,OpenDryRich
7407679,Plagiomnium undulatum,OpenDryRich
7407680,Plagiomnium undulatum,OpenDryRich
7410364,Plagiomnium undulatum,OpenDryRich
7410365,Plagiomnium undulatum,OpenDryRich
7410366,Plagiomnium undulatum,OpenDryRich
7410367,Plagiomnium undulatum,OpenDryRich
7410368,Plagiomnium undulatum,OpenDryRich
7410369,Plagiomnium undulatum,OpenDryRich
7410370,Plagiomnium undulatum,OpenDryRich
7410371,Plagiomnium undulatum,OpenDryRich
7410372,Plagiomnium undulatum,OpenDryRich
7410373,Plagiomnium undulatum,OpenDryRich
7410374,Plagiomnium undulatum,OpenDryRich
7410375,Plagiomnium undulatum,OpenDryRich
7410376,Plagiomnium undulatum,OpenDryRich
7410377,Plagiomnium undulatum,OpenDryRich
7410378,Plagiomnium undulatum,OpenDryRich
7410379,Plagiomnium undulatum,OpenDryRich
7410380,Plagiomnium undulatum,OpenDryRich
7413062,Plagiomnium undulatum,OpenDryRich
7413063,Plagiomnium undulatum,OpenDryRich
7413064,Plagiomnium undulatum,OpenDryRich
7413065,Plagiomnium undulatum,OpenDryRich
7413066,Plagiomnium undulatum,OpenDryRich
7413067,Plagiomnium undulatum,OpenDryRich
7413068,Plagiomnium undulatum,OpenDryRich
7413069,Plagiomnium undulatum,OpenDryRich
7413070,Plagiomnium undulatum,OpenDryRich
7413071,Plagiomnium undulatum,OpenDryRich
7413072,Plagiomnium undulatum,OpenDryRich
7413073,Plagiomnium undulatum,OpenDryRich
7413074,Plagiomnium undulatum,OpenDryRich
7413075,Plagiomnium undulatum,OpenDryRich
7413076,Plagiomnium undulatum,OpenDryRich
7413077,Plagiomnium undulatum,OpenDryRich
7413078,Plagiomnium undulatum,OpenDryRich
7413079,Plagiomnium undulatum,OpenDryRich
7413080,Plagiomnium undulatum,OpenDryRich
7415761,Plagiomnium undulatum,OpenDryRich
7415762,Plagiomnium undulatum,OpenDryRich
7415763,Plagiomnium undulatum,OpenDryRich
7415764,Plagiomnium undulatum,OpenDryRich
7415765,Plagiomnium undulatum,OpenDryRich
7415766,Plagiomnium undulatum,OpenDryRich
7415767,Plagiomnium undulatum,OpenDryRich
7415768,Plagiomnium undulatum,OpenDryRich
7415769,Plagiomnium undulatum,OpenDryRich
7415770,Plagiomnium undulatum,OpenDryRich
7415771,Plagiomnium undulatum,OpenDryRich
7415772,Plagiomnium undulatum,OpenDryRich
7415773,Plagiomnium undulatum,OpenDryRich
7415774,Plagiomnium undulatum,OpenDryRich
7415775,Plagiomnium undulatum,OpenDryRich
7415776,Plagiomnium undulatum,OpenDryRich
7415777,Plagiomnium undulatum,OpenDryRich
7415778,Plagiomnium undulatum,OpenDryRich
7415779,Plagiomnium undulatum,OpenDryRich
7415780,Plagiomnium undulatum,OpenDryRich
7418461,Plagiomnium undulatum,OpenDryRich
7418462,Plagiomnium undulatum,OpenDryRich
7418463,Plagiomnium undulatum,OpenDryRich
7418464,Plagiomnium undulatum,OpenDryRich
7418465,Plagiomnium undulatum,OpenDryRich
7418466,Plagiomnium undulatum,OpenDryRich
7418467,Plagiomnium undulatum,OpenDryRich
7418468,Plagiomnium undulatum,OpenDryRich
7418469,Plagiomnium undulatum,OpenDryRich
7418470,Plagiomnium undulatum,OpenDryRich
7418471,Plagiomnium undulatum,OpenDryRich
7418472,Plagiomnium undulatum,OpenDryRich
7418473,Plagiomnium undulatum,OpenDryRich
7418474,Plagiomnium undulatum,OpenDryRich
7418475,Plagiomnium undulatum,OpenDryRich
7418476,Plagiomnium undulatum,OpenDryRich
7418477,Plagiomnium undulatum,OpenDryRich
7418478,Plagiomnium undulatum,OpenDryRich
7418479,Plagiomnium undulatum,OpenDryRich
7418480,Plagiomnium undulatum,OpenDryRich
7421161,Plagiomnium undulatum,OpenDryRich
7421162,Plagiomnium undulatum,OpenDryRich
