cell,species,Landuse
7361745,Polygonatum multiflorum,OpenDryRich
7361746,Polygonatum multiflorum,OpenDryRich
7361747,Polygonatum multiflorum,OpenDryRich
7361748,Polygonatum multiflorum,OpenDryRich
7361749,Polygonatum multiflorum,OpenDryRich
7361750,Polygonatum multiflorum,OpenDryRich
7361751,Polygonatum multiflorum,OpenDryRich
7361752,Polygonatum multiflorum,OpenDryRich
7361753,Polygonatum multiflorum,OpenDryRich
7361754,Polygonatum multiflorum,OpenDryRich
7364441,Polygonatum multiflorum,OpenDryRich
7364442,Polygonatum multiflorum,OpenDryRich
7364443,Polygonatum multiflorum,OpenDryRich
7364444,Polygonatum multiflorum,OpenDryRich
7364445,Polygonatum multiflorum,OpenDryRich
7364446,Polygonatum multiflorum,OpenDryRich
7364447,Polygonatum multiflorum,OpenDryRich
7364448,Polygonatum multiflorum,OpenDryRich
7364449,Polygonatum multiflorum,OpenDryRich
7364450,Polygonatum multiflorum,OpenDryRich
7364451,Polygonatum multiflorum,OpenDryRich
7364452,Polygonatum multiflorum,OpenDryRich
7364453,Polygonatum multiflorum,OpenDryRich
7364454,Polygonatum multiflorum,OpenDryRich
7364455,Polygonatum multiflorum,OpenDryRich
7364456,Polygonatum multiflorum,OpenDryRich
7364457,Polygonatum multiflorum,OpenDryRich
7364458,Polygonatum multiflorum,OpenDryRich
7364459,Polygonatum multiflorum,OpenDryRich
7364460,Polygonatum multiflorum,OpenDryRich
7367141,Polygonatum multiflorum,OpenDryRich
7367142,Polygonatum multiflorum,OpenDryRich
7367143,Polygonatum multiflorum,OpenDryRich
7367144,Polygonatum multiflorum,OpenDryRich
7367145,Polygonatum multiflorum,OpenDryRich
7367146,Polygonatum multiflorum,OpenDryRich
7367147,Polygonatum multiflorum,OpenDryRich
7367148,Polygonatum multiflorum,OpenDryRich
7367149,Polygonatum multiflorum,OpenDryRich
7367150,Polygonatum multiflorum,OpenDryRich
7367151,Polygonatum multiflorum,OpenDryRich
7367152,Polygonatum multiflorum,OpenDryRich
7367153,Polygonatum multiflorum,OpenDryRich
7367154,Polygonatum multiflorum,OpenDryRich
7367155,Polygonatum multiflorum,OpenDryRich
7367156,Polygonatum multiflorum,OpenDryRich
7367157,Polygonatum multiflorum,OpenDryRich
7367158,Polygonatum multiflorum,OpenDryRich
7367159,Polygonatum multiflorum,OpenDryRich
7367160,Polygonatum multiflorum,OpenDryRich
7369841,Polygonatum multiflorum,OpenDryRich
7369842,Polygonatum multiflorum,OpenDryRich
7369843,Polygonatum multiflorum,OpenDryRich
7369844,Polygonatum multiflorum,OpenDryRich
7369845,Polygonatum multiflorum,OpenDryRich
7369846,Polygonatum multiflorum,OpenDryRich
7369847,Polygonatum multiflorum,OpenDryRich
7369848,Polygonatum multiflorum,OpenDryRich
7369849,Polygonatum multiflorum,OpenDryRich
7369850,Polygonatum multiflorum,OpenDryRich
7369851,Polygonatum multiflorum,OpenDryRich
7369852,Polygonatum multiflorum,OpenDryRich
7369853,Polygonatum multiflorum,OpenDryRich
7369854,Polygonatum multiflorum,OpenDryRich
7369855,Polygonatum multiflorum,OpenDryRich
7369856,Polygonatum multiflorum,OpenDryRich
7369857,Polygonatum multiflorum,OpenDryRich
7369858,Polygonatum multiflorum,OpenDryRich
7369859,Polygonatum multiflorum,OpenDryRich
7369860,Polygonatum multiflorum,OpenDryRich
7372541,Polygonatum multiflorum,OpenDryRich
7372542,Polygonatum multiflorum,OpenDryRich
7372543,Polygonatum multiflorum,OpenDryRich
7372544,Polygonatum multiflorum,OpenDryRich
7372545,Polygonatum multiflorum,OpenDryRich
7372546,Polygonatum multiflorum,OpenDryRich
7372547,Polygonatum multiflorum,OpenDryRich
7372548,Polygonatum multiflorum,OpenDryRich
7372549,Polygonatum multiflorum,OpenDryRich
7372550,Polygonatum multiflorum,OpenDryRich
7372551,Polygonatum multiflorum,OpenDryRich
7372552,Polygonatum multiflorum,OpenDryRich
7372553,Polygonatum multiflorum,OpenDryRich
7372554,Polygonatum multiflorum,OpenDryRich
7372555,Polygonatum multiflorum,OpenDryRich
7372556,Polygonatum multiflorum,OpenDryRich
7372557,Polygonatum multiflorum,OpenDryRich
7372558,Polygonatum multiflorum,OpenDryRich
7372559,Polygonatum multiflorum,OpenDryRich
7372560,Polygonatum multiflorum,OpenDryRich
7375241,Polygonatum multiflorum,OpenDryRich
7375242,Polygonatum multiflorum,OpenDryRich
7375243,Polygonatum multiflorum,OpenDryRich
7375244,Polygonatum multiflorum,OpenDryRich
7375245,Polygonatum multiflorum,OpenDryRich
7375246,Polygonatum multiflorum,OpenDryRich
7375247,Polygonatum multiflorum,OpenDryRich
7375248,Polygonatum multiflorum,OpenDryRich
7375249,Polygonatum multiflorum,OpenDryRich
7375250,Polygonatum multiflorum,OpenDryRich
7375251,Polygonatum multiflorum,OpenDryRich
7375252,Polygonatum multiflorum,OpenDryRich
7375253,Polygonatum multiflorum,OpenDryRich
7375254,Polygonatum multiflorum,OpenDryRich
7375255,Polygonatum multiflorum,OpenDryRich
7375256,Polygonatum multiflorum,OpenDryRich
7375257,Polygonatum multiflorum,OpenDryRich
7375258,Polygonatum multiflorum,OpenDryRich
7375259,Polygonatum multiflorum,OpenDryRich
7375260,Polygonatum multiflorum,OpenDryRich
7377941,Polygonatum multiflorum,OpenDryRich
7377942,Polygonatum multiflorum,OpenDryRich
7377943,Polygonatum multiflorum,OpenDryRich
7377944,Polygonatum multiflorum,OpenDryRich
7377945,Polygonatum multiflorum,OpenDryRich
7377946,Polygonatum multiflorum,OpenDryRich
7377947,Polygonatum multiflorum,OpenDryRich
7377948,Polygonatum multiflorum,OpenDryRich
7377949,Polygonatum multiflorum,OpenDryRich
7377950,Polygonatum multiflorum,OpenDryRich
7377951,Polygonatum multiflorum,OpenDryRich
7377952,Polygonatum multiflorum,OpenDryRich
7377953,Polygonatum multiflorum,OpenDryRich
7377954,Polygonatum multiflorum,OpenDryRich
7377955,Polygonatum multiflorum,OpenDryRich
7377956,Polygonatum multiflorum,OpenDryRich
7377957,Polygonatum multiflorum,OpenDryRich
7377958,Polygonatum multiflorum,OpenDryRich
7377959,Polygonatum multiflorum,OpenDryRich
7377960,Polygonatum multiflorum,OpenDryRich
7380641,Polygonatum multiflorum,OpenDryRich
7380642,Polygonatum multiflorum,OpenDryRich
7380643,Polygonatum multiflorum,OpenDryRich
7380644,Polygonatum multiflorum,OpenDryRich
7380645,Polygonatum multiflorum,OpenDryRich
7380646,Polygonatum multiflorum,OpenDryRich
7380647,Polygonatum multiflorum,OpenDryRich
7380648,Polygonatum multiflorum,OpenDryRich
7380649,Polygonatum multiflorum,OpenDryRich
7380650,Polygonatum multiflorum,OpenDryRich
7380651,Polygonatum multiflorum,OpenDryRich
7380652,Polygonatum multiflorum,OpenDryRich
7380653,Polygonatum multiflorum,OpenDryRich
7380654,Polygonatum multiflorum,OpenDryRich
7380655,Polygonatum multiflorum,OpenDryRich
7380656,Polygonatum multiflorum,OpenDryRich
7380657,Polygonatum multiflorum,OpenDryRich
7380658,Polygonatum multiflorum,OpenDryRich
7380659,Polygonatum multiflorum,OpenDryRich
7380660,Polygonatum multiflorum,OpenDryRich
7383341,Polygonatum multiflorum,OpenDryRich
7383342,Polygonatum multiflorum,OpenDryRich
7383343,Polygonatum multiflorum,OpenDryRich
7383344,Polygonatum multiflorum,OpenDryRich
7383345,Polygonatum multiflorum,OpenDryRich
7383346,Polygonatum multiflorum,OpenDryRich
7383347,Polygonatum multiflorum,OpenDryRich
7383348,Polygonatum multiflorum,OpenDryRich
7383349,Polygonatum multiflorum,OpenDryRich
7383350,Polygonatum multiflorum,OpenDryRich
7383351,Polygonatum multiflorum,OpenDryRich
7383352,Polygonatum multiflorum,OpenDryRich
7383353,Polygonatum multiflorum,OpenDryRich
7383354,Polygonatum multiflorum,OpenDryRich
7383355,Polygonatum multiflorum,OpenDryRich
7383356,Polygonatum multiflorum,OpenDryRich
7383357,Polygonatum multiflorum,OpenDryRich
7383358,Polygonatum multiflorum,OpenDryRich
7383359,Polygonatum multiflorum,OpenDryRich
7383360,Polygonatum multiflorum,OpenDryRich
7386041,Polygonatum multiflorum,OpenDryRich
7386042,Polygonatum multiflorum,OpenDryRich
7386043,Polygonatum multiflorum,OpenDryRich
7386044,Polygonatum multiflorum,OpenDryRich
7386045,Polygonatum multiflorum,OpenDryRich
7386046,Polygonatum multiflorum,OpenDryRich
7386047,Polygonatum multiflorum,OpenDryRich
7386048,Polygonatum multiflorum,OpenDryRich
7386049,Polygonatum multiflorum,OpenDryRich
7386050,Polygonatum multiflorum,OpenDryRich
7386051,Polygonatum multiflorum,OpenDryRich
7386052,Polygonatum multiflorum,OpenDryRich
7386053,Polygonatum multiflorum,OpenDryRich
7386054,Polygonatum multiflorum,OpenDryRich
7386055,Polygonatum multiflorum,OpenDryRich
7386056,Polygonatum multiflorum,OpenDryRich
7426562,Polygonatum multiflorum,OpenDryRich
7426563,Polygonatum multiflorum,OpenDryRich
7426564,Polygonatum multiflorum,OpenDryRich
7426565,Polygonatum multiflorum,OpenDryRich
7426566,Polygonatum multiflorum,OpenDryRich
7426567,Polygonatum multiflorum,OpenDryRich
7426568,Polygonatum multiflorum,OpenDryRich
7426569,Polygonatum multiflorum,OpenDryRich
7426570,Polygonatum multiflorum,OpenDryRich
7426571,Polygonatum multiflorum,OpenDryRich
7426572,Polygonatum multiflorum,OpenDryRich
7426573,Polygonatum multiflorum,OpenDryRich
7426574,Polygonatum multiflorum,OpenDryRich
7426575,Polygonatum multiflorum,OpenDryRich
7426576,Polygonatum multiflorum,OpenDryRich
7426577,Polygonatum multiflorum,OpenDryRich
7426578,Polygonatum multiflorum,OpenDryRich
7426579,Polygonatum multiflorum,OpenDryRich
7426580,Polygonatum multiflorum,OpenDryRich
7429261,Polygonatum multiflorum,OpenDryRich
7429262,Polygonatum multiflorum,OpenDryRich
7429263,Polygonatum multiflorum,OpenDryRich
7429264,Polygonatum multiflorum,OpenDryRich
7429265,Polygonatum multiflorum,OpenDryRich
7429266,Polygonatum multiflorum,OpenDryRich
7429267,Polygonatum multiflorum,OpenDryRich
7429268,Polygonatum multiflorum,OpenDryRich
7429269,Polygonatum multiflorum,OpenDryRich
7429270,Polygonatum multiflorum,OpenDryRich
7429271,Polygonatum multiflorum,OpenDryRich
7429272,Polygonatum multiflorum,OpenDryRich
7429273,Polygonatum multiflorum,OpenDryRich
7429274,Polygonatum multiflorum,OpenDryRich
7429275,Polygonatum multiflorum,OpenDryRich
7429276,Polygonatum multiflorum,OpenDryRich
7429277,Polygonatum multiflorum,OpenDryRich
7429278,Polygonatum multiflorum,OpenDryRich
7429279,Polygonatum multiflorum,OpenDryRich
7429280,Polygonatum multiflorum,OpenDryRich
7431961,Polygonatum multiflorum,OpenDryRich
7431962,Polygonatum multiflorum,OpenDryRich
7431963,Polygonatum multiflorum,OpenDryRich
7431964,Polygonatum multiflorum,OpenDryRich
7431965,Polygonatum multiflorum,OpenDryRich
7431966,Polygonatum multiflorum,OpenDryRich
7431967,Polygonatum multiflorum,OpenDryRich
7431968,Polygonatum multiflorum,OpenDryRich
7431969,Polygonatum multiflorum,OpenDryRich
7431970,Polygonatum multiflorum,OpenDryRich
7431971,Polygonatum multiflorum,OpenDryRich
7431972,Polygonatum multiflorum,OpenDryRich
7431973,Polygonatum multiflorum,OpenDryRich
7431974,Polygonatum multiflorum,OpenDryRich
7431975,Polygonatum multiflorum,OpenDryRich
7431976,Polygonatum multiflorum,OpenDryRich
7431977,Polygonatum multiflorum,OpenDryRich
7431978,Polygonatum multiflorum,OpenDryRich
7431979,Polygonatum multiflorum,OpenDryRich
7431980,Polygonatum multiflorum,OpenDryRich
7434661,Polygonatum multiflorum,OpenDryRich
7434662,Polygonatum multiflorum,OpenDryRich
7434663,Polygonatum multiflorum,OpenDryRich
7434664,Polygonatum multiflorum,OpenDryRich
7434665,Polygonatum multiflorum,OpenDryRich
7434666,Polygonatum multiflorum,OpenDryRich
7434667,Polygonatum multiflorum,OpenDryRich
7434668,Polygonatum multiflorum,OpenDryRich
7434669,Polygonatum multiflorum,OpenDryRich
7434670,Polygonatum multiflorum,OpenDryRich
7434671,Polygonatum multiflorum,OpenDryRich
7434672,Polygonatum multiflorum,OpenDryRich
7434673,Polygonatum multiflorum,OpenDryRich
7434674,Polygonatum multiflorum,OpenDryRich
7434675,Polygonatum multiflorum,OpenDryRich
7434676,Polygonatum multiflorum,OpenDryRich
7434677,Polygonatum multiflorum,OpenDryRich
7434678,Polygonatum multiflorum,OpenDryRich
7434679,Polygonatum multiflorum,OpenDryRich
7434680,Polygonatum multiflorum,OpenDryRich
7437361,Polygonatum multiflorum,OpenDryRich
7437362,Polygonatum multiflorum,OpenDryRich
7437363,Polygonatum multiflorum,OpenDryRich
7437364,Polygonatum multiflorum,OpenDryRich
7437365,Polygonatum multiflorum,OpenDryRich
7437366,Polygonatum multiflorum,OpenDryRich
7437367,Polygonatum multiflorum,OpenDryRich
7437368,Polygonatum multiflorum,OpenDryRich
7437369,Polygonatum multiflorum,OpenDryRich
7437370,Polygonatum multiflorum,OpenDryRich
7437371,Polygonatum multiflorum,OpenDryRich
7437372,Polygonatum multiflorum,OpenDryRich
7437373,Polygonatum multiflorum,OpenDryRich
7437374,Polygonatum multiflorum,OpenDryRich
7399570,Polygonatum multiflorum,OpenDryRich
7399571,Polygonatum multiflorum,OpenDryRich
7399572,Polygonatum multiflorum,OpenDryRich
7399573,Polygonatum multiflorum,OpenDryRich
7399574,Polygonatum multiflorum,OpenDryRich
7399575,Polygonatum multiflorum,OpenDryRich
7399576,Polygonatum multiflorum,OpenDryRich
7399577,Polygonatum multiflorum,OpenDryRich
7399578,Polygonatum multiflorum,OpenDryRich
7399579,Polygonatum multiflorum,OpenDryRich
7399580,Polygonatum multiflorum,OpenDryRich
7402261,Polygonatum multiflorum,OpenDryRich
7402262,Polygonatum multiflorum,OpenDryRich
7402263,Polygonatum multiflorum,OpenDryRich
7402264,Polygonatum multiflorum,OpenDryRich
7402265,Polygonatum multiflorum,OpenDryRich
7402266,Polygonatum multiflorum,OpenDryRich
7402267,Polygonatum multiflorum,OpenDryRich
7402268,Polygonatum multiflorum,OpenDryRich
7402269,Polygonatum multiflorum,OpenDryRich
7402270,Polygonatum multiflorum,OpenDryRich
7402271,Polygonatum multiflorum,OpenDryRich
7402272,Polygonatum multiflorum,OpenDryRich
7402273,Polygonatum multiflorum,OpenDryRich
7402274,Polygonatum multiflorum,OpenDryRich
7402275,Polygonatum multiflorum,OpenDryRich
7402276,Polygonatum multiflorum,OpenDryRich
7402277,Polygonatum multiflorum,OpenDryRich
7402278,Polygonatum multiflorum,OpenDryRich
7402279,Polygonatum multiflorum,OpenDryRich
7402280,Polygonatum multiflorum,OpenDryRich
7404961,Polygonatum multiflorum,OpenDryRich
7404962,Polygonatum multiflorum,OpenDryRich
7404963,Polygonatum multiflorum,OpenDryRich
7404964,Polygonatum multiflorum,OpenDryRich
7404965,Polygonatum multiflorum,OpenDryRich
7404966,Polygonatum multiflorum,OpenDryRich
7404967,Polygonatum multiflorum,OpenDryRich
7404968,Polygonatum multiflorum,OpenDryRich
7404969,Polygonatum multiflorum,OpenDryRich
7404970,Polygonatum multiflorum,OpenDryRich
7404971,Polygonatum multiflorum,OpenDryRich
7404972,Polygonatum multiflorum,OpenDryRich
7404973,Polygonatum multiflorum,OpenDryRich
7404974,Polygonatum multiflorum,OpenDryRich
7404975,Polygonatum multiflorum,OpenDryRich
7404976,Polygonatum multiflorum,OpenDryRich
7404977,Polygonatum multiflorum,OpenDryRich
7404978,Polygonatum multiflorum,OpenDryRich
7404979,Polygonatum multiflorum,OpenDryRich
7404980,Polygonatum multiflorum,OpenDryRich
7407661,Polygonatum multiflorum,OpenDryRich
7407662,Polygonatum multiflorum,OpenDryRich
7407663,Polygonatum multiflorum,OpenDryRich
7407664,Polygonatum multiflorum,OpenDryRich
7407665,Polygonatum multiflorum,OpenDryRich
7407666,Polygonatum multiflorum,OpenDryRich
7407667,Polygonatum multiflorum,OpenDryRich
7407668,Polygonatum multiflorum,OpenDryRich
7407669,Polygonatum multiflorum,OpenDryRich
7407670,Polygonatum multiflorum,OpenDryRich
7407671,Polygonatum multiflorum,OpenDryRich
7407672,Polygonatum multiflorum,OpenDryRich
7407673,Polygonatum multiflorum,OpenDryRich
7407674,Polygonatum multiflorum,OpenDryRich
7407675,Polygonatum multiflorum,OpenDryRich
7407676,Polygonatum multiflorum,OpenDryRich
7407677,Polygonatum multiflorum,OpenDryRich
7407678,Polygonatum multiflorum,OpenDryRich
7407679,Polygonatum multiflorum,OpenDryRich
7407680,Polygonatum multiflorum,OpenDryRich
7410361,Polygonatum multiflorum,OpenDryRich
7410362,Polygonatum multiflorum,OpenDryRich
7410363,Polygonatum multiflorum,OpenDryRich
7410364,Polygonatum multiflorum,OpenDryRich
7410365,Polygonatum multiflorum,OpenDryRich
7410366,Polygonatum multiflorum,OpenDryRich
7410367,Polygonatum multiflorum,OpenDryRich
7410368,Polygonatum multiflorum,OpenDryRich
7410369,Polygonatum multiflorum,OpenDryRich
7410370,Polygonatum multiflorum,OpenDryRich
7410371,Polygonatum multiflorum,OpenDryRich
7410372,Polygonatum multiflorum,OpenDryRich
7410373,Polygonatum multiflorum,OpenDryRich
7410374,Polygonatum multiflorum,OpenDryRich
7410375,Polygonatum multiflorum,OpenDryRich
7410376,Polygonatum multiflorum,OpenDryRich
7410377,Polygonatum multiflorum,OpenDryRich
7410378,Polygonatum multiflorum,OpenDryRich
7410379,Polygonatum multiflorum,OpenDryRich
7410380,Polygonatum multiflorum,OpenDryRich
7413061,Polygonatum multiflorum,OpenDryRich
7413062,Polygonatum multiflorum,OpenDryRich
7450868,Polygonatum multiflorum,OpenDryRich
7450869,Polygonatum multiflorum,OpenDryRich
7450870,Polygonatum multiflorum,OpenDryRich
7450871,Polygonatum multiflorum,OpenDryRich
7450872,Polygonatum multiflorum,OpenDryRich
7450873,Polygonatum multiflorum,OpenDryRich
7450874,Polygonatum multiflorum,OpenDryRich
7450875,Polygonatum multiflorum,OpenDryRich
7450876,Polygonatum multiflorum,OpenDryRich
7450877,Polygonatum multiflorum,OpenDryRich
7450878,Polygonatum multiflorum,OpenDryRich
7450879,Polygonatum multiflorum,OpenDryRich
7450880,Polygonatum multiflorum,OpenDryRich
7453561,Polygonatum multiflorum,OpenDryRich
7453562,Polygonatum multiflorum,OpenDryRich
7453563,Polygonatum multiflorum,OpenDryRich
7453564,Polygonatum multiflorum,OpenDryRich
7453565,Polygonatum multiflorum,OpenDryRich
7453566,Polygonatum multiflorum,OpenDryRich
7453567,Polygonatum multiflorum,OpenDryRich
7453568,Polygonatum multiflorum,OpenDryRich
7453569,Polygonatum multiflorum,OpenDryRich
7453570,Polygonatum multiflorum,OpenDryRich
7453571,Polygonatum multiflorum,OpenDryRich
7453572,Polygonatum multiflorum,OpenDryRich
7453573,Polygonatum multiflorum,OpenDryRich
7453574,Polygonatum multiflorum,OpenDryRich
7453575,Polygonatum multiflorum,OpenDryRich
7453576,Polygonatum multiflorum,OpenDryRich
7453577,Polygonatum multiflorum,OpenDryRich
7453578,Polygonatum multiflorum,OpenDryRich
7453579,Polygonatum multiflorum,OpenDryRich
7453580,Polygonatum multiflorum,OpenDryRich
7456261,Polygonatum multiflorum,OpenDryRich
7456262,Polygonatum multiflorum,OpenDryRich
7456263,Polygonatum multiflorum,OpenDryRich
7456264,Polygonatum multiflorum,OpenDryRich
7456265,Polygonatum multiflorum,OpenDryRich
7456266,Polygonatum multiflorum,OpenDryRich
