cell,species,Landuse
7504880,Potentilla reptans,OpenDryRich
7507601,Potentilla reptans,OpenDryRich
7507602,Potentilla reptans,OpenDryRich
7507603,Potentilla reptans,OpenDryRich
7507604,Potentilla reptans,OpenDryRich
7507605,Potentilla reptans,OpenDryRich
7507606,Potentilla reptans,OpenDryRich
7507607,Potentilla reptans,OpenDryRich
7507608,Potentilla reptans,OpenDryRich
7507609,Potentilla reptans,OpenDryRich
7507610,Potentilla reptans,OpenDryRich
7507611,Potentilla reptans,OpenDryRich
7507612,Potentilla reptans,OpenDryRich
7507613,Potentilla reptans,OpenDryRich
7507614,Potentilla reptans,OpenDryRich
7507615,Potentilla reptans,OpenDryRich
7507616,Potentilla reptans,OpenDryRich
7507617,Potentilla reptans,OpenDryRich
7507618,Potentilla reptans,OpenDryRich
7507619,Potentilla reptans,OpenDryRich
7507620,Potentilla reptans,OpenDryRich
7510301,Potentilla reptans,OpenDryRich
7510302,Potentilla reptans,OpenDryRich
7510303,Potentilla reptans,OpenDryRich
7510304,Potentilla reptans,OpenDryRich
7510305,Potentilla reptans,OpenDryRich
7510306,Potentilla reptans,OpenDryRich
7510307,Potentilla reptans,OpenDryRich
7510308,Potentilla reptans,OpenDryRich
7510309,Potentilla reptans,OpenDryRich
7510310,Potentilla reptans,OpenDryRich
7510311,Potentilla reptans,OpenDryRich
7510312,Potentilla reptans,OpenDryRich
7510313,Potentilla reptans,OpenDryRich
7510314,Potentilla reptans,OpenDryRich
7510315,Potentilla reptans,OpenDryRich
7510316,Potentilla reptans,OpenDryRich
7510317,Potentilla reptans,OpenDryRich
7510318,Potentilla reptans,OpenDryRich
7510319,Potentilla reptans,OpenDryRich
7510320,Potentilla reptans,OpenDryRich
7513001,Potentilla reptans,OpenDryRich
7513002,Potentilla reptans,OpenDryRich
7513003,Potentilla reptans,OpenDryRich
7513004,Potentilla reptans,OpenDryRich
7513005,Potentilla reptans,OpenDryRich
7513006,Potentilla reptans,OpenDryRich
7513007,Potentilla reptans,OpenDryRich
7513008,Potentilla reptans,OpenDryRich
7513009,Potentilla reptans,OpenDryRich
7513010,Potentilla reptans,OpenDryRich
7513011,Potentilla reptans,OpenDryRich
7513012,Potentilla reptans,OpenDryRich
7513013,Potentilla reptans,OpenDryRich
7513014,Potentilla reptans,OpenDryRich
7513015,Potentilla reptans,OpenDryRich
7513016,Potentilla reptans,OpenDryRich
7513017,Potentilla reptans,OpenDryRich
7513018,Potentilla reptans,OpenDryRich
7513019,Potentilla reptans,OpenDryRich
7513020,Potentilla reptans,OpenDryRich
7515701,Potentilla reptans,OpenDryRich
7515702,Potentilla reptans,OpenDryRich
7515703,Potentilla reptans,OpenDryRich
7515704,Potentilla reptans,OpenDryRich
7515705,Potentilla reptans,OpenDryRich
7515706,Potentilla reptans,OpenDryRich
7515707,Potentilla reptans,OpenDryRich
7515708,Potentilla reptans,OpenDryRich
7515709,Potentilla reptans,OpenDryRich
7515710,Potentilla reptans,OpenDryRich
7515711,Potentilla reptans,OpenDryRich
7515712,Potentilla reptans,OpenDryRich
7515713,Potentilla reptans,OpenDryRich
7515714,Potentilla reptans,OpenDryRich
7515715,Potentilla reptans,OpenDryRich
7515716,Potentilla reptans,OpenDryRich
7515717,Potentilla reptans,OpenDryRich
7515718,Potentilla reptans,OpenDryRich
7515719,Potentilla reptans,OpenDryRich
7515720,Potentilla reptans,OpenDryRich
7518401,Potentilla reptans,OpenDryRich
7518402,Potentilla reptans,OpenDryRich
7518403,Potentilla reptans,OpenDryRich
7518404,Potentilla reptans,OpenDryRich
7518405,Potentilla reptans,OpenDryRich
7518406,Potentilla reptans,OpenDryRich
7518407,Potentilla reptans,OpenDryRich
7518408,Potentilla reptans,OpenDryRich
7518409,Potentilla reptans,OpenDryRich
7518410,Potentilla reptans,OpenDryRich
7518411,Potentilla reptans,OpenDryRich
7518412,Potentilla reptans,OpenDryRich
7518413,Potentilla reptans,OpenDryRich
7518414,Potentilla reptans,OpenDryRich
7518415,Potentilla reptans,OpenDryRich
7518416,Potentilla reptans,OpenDryRich
7518417,Potentilla reptans,OpenDryRich
7518418,Potentilla reptans,OpenDryRich
7518419,Potentilla reptans,OpenDryRich
7518420,Potentilla reptans,OpenDryRich
7521101,Potentilla reptans,OpenDryRich
7521102,Potentilla reptans,OpenDryRich
7521103,Potentilla reptans,OpenDryRich
7521104,Potentilla reptans,OpenDryRich
7521105,Potentilla reptans,OpenDryRich
7521106,Potentilla reptans,OpenDryRich
7521107,Potentilla reptans,OpenDryRich
7521108,Potentilla reptans,OpenDryRich
7521109,Potentilla reptans,OpenDryRich
7521110,Potentilla reptans,OpenDryRich
7521111,Potentilla reptans,OpenDryRich
7521112,Potentilla reptans,OpenDryRich
7521113,Potentilla reptans,OpenDryRich
7521114,Potentilla reptans,OpenDryRich
7521115,Potentilla reptans,OpenDryRich
7521116,Potentilla reptans,OpenDryRich
7521117,Potentilla reptans,OpenDryRich
7521118,Potentilla reptans,OpenDryRich
7521119,Potentilla reptans,OpenDryRich
7521120,Potentilla reptans,OpenDryRich
7523801,Potentilla reptans,OpenDryRich
7523802,Potentilla reptans,OpenDryRich
7523803,Potentilla reptans,OpenDryRich
7523804,Potentilla reptans,OpenDryRich
7523805,Potentilla reptans,OpenDryRich
7523806,Potentilla reptans,OpenDryRich
7523807,Potentilla reptans,OpenDryRich
7523808,Potentilla reptans,OpenDryRich
7523809,Potentilla reptans,OpenDryRich
7523810,Potentilla reptans,OpenDryRich
7523811,Potentilla reptans,OpenDryRich
7523812,Potentilla reptans,OpenDryRich
7523813,Potentilla reptans,OpenDryRich
7523814,Potentilla reptans,OpenDryRich
7523815,Potentilla reptans,OpenDryRich
7523816,Potentilla reptans,OpenDryRich
7523817,Potentilla reptans,OpenDryRich
7523818,Potentilla reptans,OpenDryRich
7523819,Potentilla reptans,OpenDryRich
7523820,Potentilla reptans,OpenDryRich
7526501,Potentilla reptans,OpenDryRich
7526502,Potentilla reptans,OpenDryRich
7526503,Potentilla reptans,OpenDryRich
7526504,Potentilla reptans,OpenDryRich
7526505,Potentilla reptans,OpenDryRich
7526506,Potentilla reptans,OpenDryRich
7526507,Potentilla reptans,OpenDryRich
7526508,Potentilla reptans,OpenDryRich
7526509,Potentilla reptans,OpenDryRich
7526510,Potentilla reptans,OpenDryRich
7526511,Potentilla reptans,OpenDryRich
7526512,Potentilla reptans,OpenDryRich
7526513,Potentilla reptans,OpenDryRich
7526514,Potentilla reptans,OpenDryRich
7526515,Potentilla reptans,OpenDryRich
7526516,Potentilla reptans,OpenDryRich
7526517,Potentilla reptans,OpenDryRich
7526518,Potentilla reptans,OpenDryRich
7526519,Potentilla reptans,OpenDryRich
7526520,Potentilla reptans,OpenDryRich
7529201,Potentilla reptans,OpenDryRich
7529202,Potentilla reptans,OpenDryRich
7529203,Potentilla reptans,OpenDryRich
7529204,Potentilla reptans,OpenDryRich
7529205,Potentilla reptans,OpenDryRich
7529206,Potentilla reptans,OpenDryRich
7529207,Potentilla reptans,OpenDryRich
7529208,Potentilla reptans,OpenDryRich
7529209,Potentilla reptans,OpenDryRich
7529210,Potentilla reptans,OpenDryRich
7529211,Potentilla reptans,OpenDryRich
7529212,Potentilla reptans,OpenDryRich
7529213,Potentilla reptans,OpenDryRich
7529214,Potentilla reptans,OpenDryRich
