cell,species,Landuse
7399561,Trollius europaeus,OpenDryRich
7399562,Trollius europaeus,OpenDryRich
7399563,Trollius europaeus,OpenDryRich
7399564,Trollius europaeus,OpenDryRich
7399565,Trollius europaeus,OpenDryRich
7399566,Trollius europaeus,OpenDryRich
7399567,Trollius europaeus,OpenDryRich
7399568,Trollius europaeus,OpenDryRich
7399569,Trollius europaeus,OpenDryRich
7399570,Trollius europaeus,OpenDryRich
7399571,Trollius europaeus,OpenDryRich
7399572,Trollius europaeus,OpenDryRich
7399573,Trollius europaeus,OpenDryRich
7399574,Trollius europaeus,OpenDryRich
7399575,Trollius europaeus,OpenDryRich
7399576,Trollius europaeus,OpenDryRich
7399577,Trollius europaeus,OpenDryRich
7399578,Trollius europaeus,OpenDryRich
7399579,Trollius europaeus,OpenDryRich
7399580,Trollius europaeus,OpenDryRich
7402261,Trollius europaeus,OpenDryRich
7402262,Trollius europaeus,OpenDryRich
7402263,Trollius europaeus,OpenDryRich
7402264,Trollius europaeus,OpenDryRich
7402265,Trollius europaeus,OpenDryRich
7402266,Trollius europaeus,OpenDryRich
7402267,Trollius europaeus,OpenDryRich
7402268,Trollius europaeus,OpenDryRich
7402269,Trollius europaeus,OpenDryRich
7402270,Trollius europaeus,OpenDryRich
7402271,Trollius europaeus,OpenDryRich
7402272,Trollius europaeus,OpenDryRich
7402273,Trollius europaeus,OpenDryRich
7402274,Trollius europaeus,OpenDryRich
7402275,Trollius europaeus,OpenDryRich
7402276,Trollius europaeus,OpenDryRich
7402277,Trollius europaeus,OpenDryRich
7402278,Trollius europaeus,OpenDryRich
7402279,Trollius europaeus,OpenDryRich
7402280,Trollius europaeus,OpenDryRich
7404961,Trollius europaeus,OpenDryRich
7404962,Trollius europaeus,OpenDryRich
7404963,Trollius europaeus,OpenDryRich
7404964,Trollius europaeus,OpenDryRich
7404965,Trollius europaeus,OpenDryRich
7404966,Trollius europaeus,OpenDryRich
7404967,Trollius europaeus,OpenDryRich
7404968,Trollius europaeus,OpenDryRich
7404969,Trollius europaeus,OpenDryRich
7404970,Trollius europaeus,OpenDryRich
7404971,Trollius europaeus,OpenDryRich
7404972,Trollius europaeus,OpenDryRich
7404973,Trollius europaeus,OpenDryRich
7404974,Trollius europaeus,OpenDryRich
7404975,Trollius europaeus,OpenDryRich
7404976,Trollius europaeus,OpenDryRich
7404977,Trollius europaeus,OpenDryRich
7404978,Trollius europaeus,OpenDryRich
7404979,Trollius europaeus,OpenDryRich
7404980,Trollius europaeus,OpenDryRich
7407661,Trollius europaeus,OpenDryRich
7407662,Trollius europaeus,OpenDryRich
7407663,Trollius europaeus,OpenDryRich
7407664,Trollius europaeus,OpenDryRich
7407665,Trollius europaeus,OpenDryRich
7407666,Trollius europaeus,OpenDryRich
7407667,Trollius europaeus,OpenDryRich
7407668,Trollius europaeus,OpenDryRich
7407669,Trollius europaeus,OpenDryRich
7407670,Trollius europaeus,OpenDryRich
7407671,Trollius europaeus,OpenDryRich
7407672,Trollius europaeus,OpenDryRich
7407673,Trollius europaeus,OpenDryRich
7407674,Trollius europaeus,OpenDryRich
7407675,Trollius europaeus,OpenDryRich
7407676,Trollius europaeus,OpenDryRich
7407677,Trollius europaeus,OpenDryRich
7407678,Trollius europaeus,OpenDryRich
7407679,Trollius europaeus,OpenDryRich
7407680,Trollius europaeus,OpenDryRich
7410361,Trollius europaeus,OpenDryRich
7410362,Trollius europaeus,OpenDryRich
7410363,Trollius europaeus,OpenDryRich
7410364,Trollius europaeus,OpenDryRich
7410365,Trollius europaeus,OpenDryRich
7410366,Trollius europaeus,OpenDryRich
7410367,Trollius europaeus,OpenDryRich
7410368,Trollius europaeus,OpenDryRich
7410369,Trollius europaeus,OpenDryRich
7410370,Trollius europaeus,OpenDryRich
7410371,Trollius europaeus,OpenDryRich
7410372,Trollius europaeus,OpenDryRich
7410373,Trollius europaeus,OpenDryRich
7410374,Trollius europaeus,OpenDryRich
7410375,Trollius europaeus,OpenDryRich
7410376,Trollius europaeus,OpenDryRich
7410377,Trollius europaeus,OpenDryRich
7410378,Trollius europaeus,OpenDryRich
7410379,Trollius europaeus,OpenDryRich
7410380,Trollius europaeus,OpenDryRich
7413061,Trollius europaeus,OpenDryRich
7413062,Trollius europaeus,OpenDryRich
7413063,Trollius europaeus,OpenDryRich
7413064,Trollius europaeus,OpenDryRich
7413065,Trollius europaeus,OpenDryRich
7413066,Trollius europaeus,OpenDryRich
7413067,Trollius europaeus,OpenDryRich
7413068,Trollius europaeus,OpenDryRich
7413069,Trollius europaeus,OpenDryRich
7413070,Trollius europaeus,OpenDryRich
7413071,Trollius europaeus,OpenDryRich
7413072,Trollius europaeus,OpenDryRich
7413073,Trollius europaeus,OpenDryRich
7413074,Trollius europaeus,OpenDryRich
7413075,Trollius europaeus,OpenDryRich
7413076,Trollius europaeus,OpenDryRich
7413077,Trollius europaeus,OpenDryRich
7413078,Trollius europaeus,OpenDryRich
7413079,Trollius europaeus,OpenDryRich
7413080,Trollius europaeus,OpenDryRich
7415761,Trollius europaeus,OpenDryRich
7415762,Trollius europaeus,OpenDryRich
7415763,Trollius europaeus,OpenDryRich
7415764,Trollius europaeus,OpenDryRich
7415765,Trollius europaeus,OpenDryRich
7415766,Trollius europaeus,OpenDryRich
7415767,Trollius europaeus,OpenDryRich
7415768,Trollius europaeus,OpenDryRich
7415769,Trollius europaeus,OpenDryRich
7415770,Trollius europaeus,OpenDryRich
7415771,Trollius europaeus,OpenDryRich
7415772,Trollius europaeus,OpenDryRich
7415773,Trollius europaeus,OpenDryRich
7415774,Trollius europaeus,OpenDryRich
7415775,Trollius europaeus,OpenDryRich
7415776,Trollius europaeus,OpenDryRich
7415777,Trollius europaeus,OpenDryRich
7415778,Trollius europaeus,OpenDryRich
7415779,Trollius europaeus,OpenDryRich
7415780,Trollius europaeus,OpenDryRich
7418461,Trollius europaeus,OpenDryRich
7418462,Trollius europaeus,OpenDryRich
7418463,Trollius europaeus,OpenDryRich
7418464,Trollius europaeus,OpenDryRich
7418465,Trollius europaeus,OpenDryRich
7418466,Trollius europaeus,OpenDryRich
7418467,Trollius europaeus,OpenDryRich
7418468,Trollius europaeus,OpenDryRich
7418469,Trollius europaeus,OpenDryRich
7418470,Trollius europaeus,OpenDryRich
7418471,Trollius europaeus,OpenDryRich
7418472,Trollius europaeus,OpenDryRich
7418473,Trollius europaeus,OpenDryRich
7418474,Trollius europaeus,OpenDryRich
7418475,Trollius europaeus,OpenDryRich
7418476,Trollius europaeus,OpenDryRich
7418477,Trollius europaeus,OpenDryRich
7418478,Trollius europaeus,OpenDryRich
7418479,Trollius europaeus,OpenDryRich
7418480,Trollius europaeus,OpenDryRich
7421161,Trollius europaeus,OpenDryRich
7421162,Trollius europaeus,OpenDryRich
7421163,Trollius europaeus,OpenDryRich
7421164,Trollius europaeus,OpenDryRich
7421165,Trollius europaeus,OpenDryRich
7421166,Trollius europaeus,OpenDryRich
7421167,Trollius europaeus,OpenDryRich
7421168,Trollius europaeus,OpenDryRich
7421169,Trollius europaeus,OpenDryRich
7421170,Trollius europaeus,OpenDryRich
7421171,Trollius europaeus,OpenDryRich
7421172,Trollius europaeus,OpenDryRich
7421173,Trollius europaeus,OpenDryRich
7421174,Trollius europaeus,OpenDryRich
7421175,Trollius europaeus,OpenDryRich
7421176,Trollius europaeus,OpenDryRich
7421177,Trollius europaeus,OpenDryRich
7421178,Trollius europaeus,OpenDryRich
7421179,Trollius europaeus,OpenDryRich
7421180,Trollius europaeus,OpenDryRich
7423861,Trollius europaeus,OpenDryRich
7423862,Trollius europaeus,OpenDryRich
7423863,Trollius europaeus,OpenDryRich
7423864,Trollius europaeus,OpenDryRich
7423865,Trollius europaeus,OpenDryRich
7423866,Trollius europaeus,OpenDryRich
7423867,Trollius europaeus,OpenDryRich
7423868,Trollius europaeus,OpenDryRich
7423869,Trollius europaeus,OpenDryRich
7423870,Trollius europaeus,OpenDryRich
7423871,Trollius europaeus,OpenDryRich
7423872,Trollius europaeus,OpenDryRich
7423873,Trollius europaeus,OpenDryRich
7423874,Trollius europaeus,OpenDryRich
7423875,Trollius europaeus,OpenDryRich
7423876,Trollius europaeus,OpenDryRich
7423877,Trollius europaeus,OpenDryRich
7423878,Trollius europaeus,OpenDryRich
7423879,Trollius europaeus,OpenDryRich
7423880,Trollius europaeus,OpenDryRich
7426561,Trollius europaeus,OpenDryRich
7426562,Trollius europaeus,OpenDryRich
7426563,Trollius europaeus,OpenDryRich
7426564,Trollius europaeus,OpenDryRich
7426565,Trollius europaeus,OpenDryRich
7426566,Trollius europaeus,OpenDryRich
7426567,Trollius europaeus,OpenDryRich
7426568,Trollius europaeus,OpenDryRich
7426569,Trollius europaeus,OpenDryRich
7426570,Trollius europaeus,OpenDryRich
7426571,Trollius europaeus,OpenDryRich
7426572,Trollius europaeus,OpenDryRich
7426573,Trollius europaeus,OpenDryRich
7426574,Trollius europaeus,OpenDryRich
7426575,Trollius europaeus,OpenDryRich
7426576,Trollius europaeus,OpenDryRich
7426577,Trollius europaeus,OpenDryRich
7426578,Trollius europaeus,OpenDryRich
7426579,Trollius europaeus,OpenDryRich
7426580,Trollius europaeus,OpenDryRich
7429261,Trollius europaeus,OpenDryRich
7429262,Trollius europaeus,OpenDryRich
7429263,Trollius europaeus,OpenDryRich
7429264,Trollius europaeus,OpenDryRich
7429265,Trollius europaeus,OpenDryRich
7429266,Trollius europaeus,OpenDryRich
7429267,Trollius europaeus,OpenDryRich
7429268,Trollius europaeus,OpenDryRich
7429269,Trollius europaeus,OpenDryRich
7429270,Trollius europaeus,OpenDryRich
7429271,Trollius europaeus,OpenDryRich
7429272,Trollius europaeus,OpenDryRich
7429273,Trollius europaeus,OpenDryRich
7429274,Trollius europaeus,OpenDryRich
7429275,Trollius europaeus,OpenDryRich
7429276,Trollius europaeus,OpenDryRich
7429277,Trollius europaeus,OpenDryRich
7429278,Trollius europaeus,OpenDryRich
7429279,Trollius europaeus,OpenDryRich
7429280,Trollius europaeus,OpenDryRich
7431961,Trollius europaeus,OpenDryRich
7431962,Trollius europaeus,OpenDryRich
7431963,Trollius europaeus,OpenDryRich
7431964,Trollius europaeus,OpenDryRich
7431965,Trollius europaeus,OpenDryRich
7431966,Trollius europaeus,OpenDryRich
7431967,Trollius europaeus,OpenDryRich
7431968,Trollius europaeus,OpenDryRich
7431969,Trollius europaeus,OpenDryRich
7431970,Trollius europaeus,OpenDryRich
7431971,Trollius europaeus,OpenDryRich
7431972,Trollius europaeus,OpenDryRich
7431973,Trollius europaeus,OpenDryRich
7431974,Trollius europaeus,OpenDryRich
7431975,Trollius europaeus,OpenDryRich
7431976,Trollius europaeus,OpenDryRich
7431977,Trollius europaeus,OpenDryRich
7431978,Trollius europaeus,OpenDryRich
7431979,Trollius europaeus,OpenDryRich
7431980,Trollius europaeus,OpenDryRich
7434661,Trollius europaeus,OpenDryRich
7434662,Trollius europaeus,OpenDryRich
7434663,Trollius europaeus,OpenDryRich
7434664,Trollius europaeus,OpenDryRich
7434665,Trollius europaeus,OpenDryRich
7434666,Trollius europaeus,OpenDryRich
7434667,Trollius europaeus,OpenDryRich
7434668,Trollius europaeus,OpenDryRich
7434669,Trollius europaeus,OpenDryRich
7434670,Trollius europaeus,OpenDryRich
7434671,Trollius europaeus,OpenDryRich
7434672,Trollius europaeus,OpenDryRich
7434673,Trollius europaeus,OpenDryRich
7434674,Trollius europaeus,OpenDryRich
7434675,Trollius europaeus,OpenDryRich
7434676,Trollius europaeus,OpenDryRich
7434677,Trollius europaeus,OpenDryRich
7434678,Trollius europaeus,OpenDryRich
7434679,Trollius europaeus,OpenDryRich
7434680,Trollius europaeus,OpenDryRich
7437361,Trollius europaeus,OpenDryRich
7437362,Trollius europaeus,OpenDryRich
7437363,Trollius europaeus,OpenDryRich
7437364,Trollius europaeus,OpenDryRich
7437365,Trollius europaeus,OpenDryRich
7437366,Trollius europaeus,OpenDryRich
7437367,Trollius europaeus,OpenDryRich
7437368,Trollius europaeus,OpenDryRich
7437369,Trollius europaeus,OpenDryRich
7437370,Trollius europaeus,OpenDryRich
7437371,Trollius europaeus,OpenDryRich
7437372,Trollius europaeus,OpenDryRich
7437373,Trollius europaeus,OpenDryRich
7437374,Trollius europaeus,OpenDryRich
7437375,Trollius europaeus,OpenDryRich
7437376,Trollius europaeus,OpenDryRich
7437377,Trollius europaeus,OpenDryRich
7437378,Trollius europaeus,OpenDryRich
7437379,Trollius europaeus,OpenDryRich
7437380,Trollius europaeus,OpenDryRich
7440061,Trollius europaeus,OpenDryRich
7440062,Trollius europaeus,OpenDryRich
7440063,Trollius europaeus,OpenDryRich
7440064,Trollius europaeus,OpenDryRich
7440065,Trollius europaeus,OpenDryRich
7440066,Trollius europaeus,OpenDryRich
7440067,Trollius europaeus,OpenDryRich
7440068,Trollius europaeus,OpenDryRich
7440069,Trollius europaeus,OpenDryRich
7440070,Trollius europaeus,OpenDryRich
7440071,Trollius europaeus,OpenDryRich
7440072,Trollius europaeus,OpenDryRich
7440073,Trollius europaeus,OpenDryRich
7440074,Trollius europaeus,OpenDryRich
7440075,Trollius europaeus,OpenDryRich
7440076,Trollius europaeus,OpenDryRich
7440077,Trollius europaeus,OpenDryRich
7440078,Trollius europaeus,OpenDryRich
7440079,Trollius europaeus,OpenDryRich
7440080,Trollius europaeus,OpenDryRich
7442761,Trollius europaeus,OpenDryRich
7442762,Trollius europaeus,OpenDryRich
7442763,Trollius europaeus,OpenDryRich
7442764,Trollius europaeus,OpenDryRich
7442765,Trollius europaeus,OpenDryRich
7442766,Trollius europaeus,OpenDryRich
7442767,Trollius europaeus,OpenDryRich
7442768,Trollius europaeus,OpenDryRich
7442769,Trollius europaeus,OpenDryRich
7442770,Trollius europaeus,OpenDryRich
7442771,Trollius europaeus,OpenDryRich
7442772,Trollius europaeus,OpenDryRich
7442773,Trollius europaeus,OpenDryRich
7442774,Trollius europaeus,OpenDryRich
7442775,Trollius europaeus,OpenDryRich
7442776,Trollius europaeus,OpenDryRich
7442777,Trollius europaeus,OpenDryRich
7442778,Trollius europaeus,OpenDryRich
7442779,Trollius europaeus,OpenDryRich
7442780,Trollius europaeus,OpenDryRich
7445461,Trollius europaeus,OpenDryRich
7445462,Trollius europaeus,OpenDryRich
7445463,Trollius europaeus,OpenDryRich
7445464,Trollius europaeus,OpenDryRich
7445465,Trollius europaeus,OpenDryRich
7445466,Trollius europaeus,OpenDryRich
7445467,Trollius europaeus,OpenDryRich
7445468,Trollius europaeus,OpenDryRich
7445469,Trollius europaeus,OpenDryRich
7445470,Trollius europaeus,OpenDryRich
7445471,Trollius europaeus,OpenDryRich
7445472,Trollius europaeus,OpenDryRich
7445473,Trollius europaeus,OpenDryRich
7445474,Trollius europaeus,OpenDryRich
7445475,Trollius europaeus,OpenDryRich
7445476,Trollius europaeus,OpenDryRich
7445477,Trollius europaeus,OpenDryRich
7445478,Trollius europaeus,OpenDryRich
7445479,Trollius europaeus,OpenDryRich
7445480,Trollius europaeus,OpenDryRich
7448161,Trollius europaeus,OpenDryRich
7448162,Trollius europaeus,OpenDryRich
7448163,Trollius europaeus,OpenDryRich
7448164,Trollius europaeus,OpenDryRich
7448165,Trollius europaeus,OpenDryRich
7448166,Trollius europaeus,OpenDryRich
7448167,Trollius europaeus,OpenDryRich
7448168,Trollius europaeus,OpenDryRich
7448169,Trollius europaeus,OpenDryRich
7448170,Trollius europaeus,OpenDryRich
7448171,Trollius europaeus,OpenDryRich
7448172,Trollius europaeus,OpenDryRich
7448173,Trollius europaeus,OpenDryRich
7448174,Trollius europaeus,OpenDryRich
7448175,Trollius europaeus,OpenDryRich
7448176,Trollius europaeus,OpenDryRich
7448177,Trollius europaeus,OpenDryRich
7448178,Trollius europaeus,OpenDryRich
7448179,Trollius europaeus,OpenDryRich
7448180,Trollius europaeus,OpenDryRich
7450861,Trollius europaeus,OpenDryRich
7450862,Trollius europaeus,OpenDryRich
7450863,Trollius europaeus,OpenDryRich
7450864,Trollius europaeus,OpenDryRich
7450865,Trollius europaeus,OpenDryRich
7450866,Trollius europaeus,OpenDryRich
7450867,Trollius europaeus,OpenDryRich
7450868,Trollius europaeus,OpenDryRich
7450869,Trollius europaeus,OpenDryRich
7450870,Trollius europaeus,OpenDryRich
7450871,Trollius europaeus,OpenDryRich
7450872,Trollius europaeus,OpenDryRich
7450873,Trollius europaeus,OpenDryRich
7450874,Trollius europaeus,OpenDryRich
7450875,Trollius europaeus,OpenDryRich
7450876,Trollius europaeus,OpenDryRich
7450877,Trollius europaeus,OpenDryRich
7450878,Trollius europaeus,OpenDryRich
7450879,Trollius europaeus,OpenDryRich
7450880,Trollius europaeus,OpenDryRich
