cell,species,Landuse
7399641,Betula pubescens,OpenWetPoor
7399642,Betula pubescens,OpenWetPoor
7399643,Betula pubescens,OpenWetPoor
7399644,Betula pubescens,OpenWetPoor
7399645,Betula pubescens,OpenWetPoor
7399646,Betula pubescens,OpenWetPoor
7399647,Betula pubescens,OpenWetPoor
7399648,Betula pubescens,OpenWetPoor
7399649,Betula pubescens,OpenWetPoor
7399650,Betula pubescens,OpenWetPoor
7399651,Betula pubescens,OpenWetPoor
7399652,Betula pubescens,OpenWetPoor
7399653,Betula pubescens,OpenWetPoor
7399654,Betula pubescens,OpenWetPoor
7399655,Betula pubescens,OpenWetPoor
7399656,Betula pubescens,OpenWetPoor
7399657,Betula pubescens,OpenWetPoor
7399658,Betula pubescens,OpenWetPoor
7399659,Betula pubescens,OpenWetPoor
7399660,Betula pubescens,OpenWetPoor
7399661,Betula pubescens,OpenWetPoor
7399662,Betula pubescens,OpenWetPoor
7399663,Betula pubescens,OpenWetPoor
7399664,Betula pubescens,OpenWetPoor
7399665,Betula pubescens,OpenWetPoor
7399666,Betula pubescens,OpenWetPoor
7399667,Betula pubescens,OpenWetPoor
7399668,Betula pubescens,OpenWetPoor
7399669,Betula pubescens,OpenWetPoor
7399670,Betula pubescens,OpenWetPoor
7399671,Betula pubescens,OpenWetPoor
7399672,Betula pubescens,OpenWetPoor
7399673,Betula pubescens,OpenWetPoor
7399674,Betula pubescens,OpenWetPoor
7399675,Betula pubescens,OpenWetPoor
7399676,Betula pubescens,OpenWetPoor
7399677,Betula pubescens,OpenWetPoor
7399678,Betula pubescens,OpenWetPoor
7399679,Betula pubescens,OpenWetPoor
7399680,Betula pubescens,OpenWetPoor
7402341,Betula pubescens,OpenWetPoor
7402342,Betula pubescens,OpenWetPoor
7402343,Betula pubescens,OpenWetPoor
7402344,Betula pubescens,OpenWetPoor
7402345,Betula pubescens,OpenWetPoor
7402346,Betula pubescens,OpenWetPoor
7402347,Betula pubescens,OpenWetPoor
7402348,Betula pubescens,OpenWetPoor
7402349,Betula pubescens,OpenWetPoor
7402350,Betula pubescens,OpenWetPoor
7402351,Betula pubescens,OpenWetPoor
7402352,Betula pubescens,OpenWetPoor
7402353,Betula pubescens,OpenWetPoor
7402354,Betula pubescens,OpenWetPoor
7402355,Betula pubescens,OpenWetPoor
7402356,Betula pubescens,OpenWetPoor
7402357,Betula pubescens,OpenWetPoor
7402358,Betula pubescens,OpenWetPoor
7402359,Betula pubescens,OpenWetPoor
7402360,Betula pubescens,OpenWetPoor
7402361,Betula pubescens,OpenWetPoor
7402362,Betula pubescens,OpenWetPoor
7402363,Betula pubescens,OpenWetPoor
7402364,Betula pubescens,OpenWetPoor
7402365,Betula pubescens,OpenWetPoor
7402366,Betula pubescens,OpenWetPoor
7402367,Betula pubescens,OpenWetPoor
7402368,Betula pubescens,OpenWetPoor
7402369,Betula pubescens,OpenWetPoor
7402370,Betula pubescens,OpenWetPoor
7402371,Betula pubescens,OpenWetPoor
7402372,Betula pubescens,OpenWetPoor
7402373,Betula pubescens,OpenWetPoor
7402374,Betula pubescens,OpenWetPoor
7402375,Betula pubescens,OpenWetPoor
7402376,Betula pubescens,OpenWetPoor
7402377,Betula pubescens,OpenWetPoor
7402378,Betula pubescens,OpenWetPoor
7402379,Betula pubescens,OpenWetPoor
7402380,Betula pubescens,OpenWetPoor
7405041,Betula pubescens,OpenWetPoor
7405042,Betula pubescens,OpenWetPoor
7405043,Betula pubescens,OpenWetPoor
7405044,Betula pubescens,OpenWetPoor
7405045,Betula pubescens,OpenWetPoor
7405046,Betula pubescens,OpenWetPoor
7405047,Betula pubescens,OpenWetPoor
7405048,Betula pubescens,OpenWetPoor
7405049,Betula pubescens,OpenWetPoor
7405050,Betula pubescens,OpenWetPoor
7405051,Betula pubescens,OpenWetPoor
7405052,Betula pubescens,OpenWetPoor
