cell,species,Landuse
7534641,Hypochaeris radicata,OpenWetPoor
7537341,Hypochaeris radicata,OpenWetPoor
7537342,Hypochaeris radicata,OpenWetPoor
7540041,Hypochaeris radicata,OpenWetPoor
7540042,Hypochaeris radicata,OpenWetPoor
7540043,Hypochaeris radicata,OpenWetPoor
7542741,Hypochaeris radicata,OpenWetPoor
7542742,Hypochaeris radicata,OpenWetPoor
7542743,Hypochaeris radicata,OpenWetPoor
7542744,Hypochaeris radicata,OpenWetPoor
7545441,Hypochaeris radicata,OpenWetPoor
7545442,Hypochaeris radicata,OpenWetPoor
7545443,Hypochaeris radicata,OpenWetPoor
7545444,Hypochaeris radicata,OpenWetPoor
7545445,Hypochaeris radicata,OpenWetPoor
7548141,Hypochaeris radicata,OpenWetPoor
7548142,Hypochaeris radicata,OpenWetPoor
7548143,Hypochaeris radicata,OpenWetPoor
7548144,Hypochaeris radicata,OpenWetPoor
7548145,Hypochaeris radicata,OpenWetPoor
7548146,Hypochaeris radicata,OpenWetPoor
7550841,Hypochaeris radicata,OpenWetPoor
7550842,Hypochaeris radicata,OpenWetPoor
7550843,Hypochaeris radicata,OpenWetPoor
7550844,Hypochaeris radicata,OpenWetPoor
7550845,Hypochaeris radicata,OpenWetPoor
7550846,Hypochaeris radicata,OpenWetPoor
7553541,Hypochaeris radicata,OpenWetPoor
7553542,Hypochaeris radicata,OpenWetPoor
7553543,Hypochaeris radicata,OpenWetPoor
7553544,Hypochaeris radicata,OpenWetPoor
7553545,Hypochaeris radicata,OpenWetPoor
7553546,Hypochaeris radicata,OpenWetPoor
7553547,Hypochaeris radicata,OpenWetPoor
7556241,Hypochaeris radicata,OpenWetPoor
7556242,Hypochaeris radicata,OpenWetPoor
7556243,Hypochaeris radicata,OpenWetPoor
7556244,Hypochaeris radicata,OpenWetPoor
7556245,Hypochaeris radicata,OpenWetPoor
7556246,Hypochaeris radicata,OpenWetPoor
7556247,Hypochaeris radicata,OpenWetPoor
7556248,Hypochaeris radicata,OpenWetPoor
7558941,Hypochaeris radicata,OpenWetPoor
7558942,Hypochaeris radicata,OpenWetPoor
7558943,Hypochaeris radicata,OpenWetPoor
7558944,Hypochaeris radicata,OpenWetPoor
7558945,Hypochaeris radicata,OpenWetPoor
7558946,Hypochaeris radicata,OpenWetPoor
7558947,Hypochaeris radicata,OpenWetPoor
7558948,Hypochaeris radicata,OpenWetPoor
7669621,Hypochaeris radicata,OpenWetPoor
7669622,Hypochaeris radicata,OpenWetPoor
7669623,Hypochaeris radicata,OpenWetPoor
7669624,Hypochaeris radicata,OpenWetPoor
7669625,Hypochaeris radicata,OpenWetPoor
7669626,Hypochaeris radicata,OpenWetPoor
7669627,Hypochaeris radicata,OpenWetPoor
7669628,Hypochaeris radicata,OpenWetPoor
7669629,Hypochaeris radicata,OpenWetPoor
7669630,Hypochaeris radicata,OpenWetPoor
7669631,Hypochaeris radicata,OpenWetPoor
7669632,Hypochaeris radicata,OpenWetPoor
7669633,Hypochaeris radicata,OpenWetPoor
7669634,Hypochaeris radicata,OpenWetPoor
