cell,species,Landuse
7383343,Lathraea squamaria,OpenWetPoor
7383344,Lathraea squamaria,OpenWetPoor
7383345,Lathraea squamaria,OpenWetPoor
7383346,Lathraea squamaria,OpenWetPoor
7383347,Lathraea squamaria,OpenWetPoor
7383348,Lathraea squamaria,OpenWetPoor
7383349,Lathraea squamaria,OpenWetPoor
7383350,Lathraea squamaria,OpenWetPoor
7383351,Lathraea squamaria,OpenWetPoor
7383352,Lathraea squamaria,OpenWetPoor
7383353,Lathraea squamaria,OpenWetPoor
7383354,Lathraea squamaria,OpenWetPoor
7383355,Lathraea squamaria,OpenWetPoor
7383356,Lathraea squamaria,OpenWetPoor
7383357,Lathraea squamaria,OpenWetPoor
7383358,Lathraea squamaria,OpenWetPoor
7383359,Lathraea squamaria,OpenWetPoor
7386041,Lathraea squamaria,OpenWetPoor
7386042,Lathraea squamaria,OpenWetPoor
7386043,Lathraea squamaria,OpenWetPoor
7386044,Lathraea squamaria,OpenWetPoor
7386045,Lathraea squamaria,OpenWetPoor
7386046,Lathraea squamaria,OpenWetPoor
7386047,Lathraea squamaria,OpenWetPoor
7386048,Lathraea squamaria,OpenWetPoor
7386049,Lathraea squamaria,OpenWetPoor
7386050,Lathraea squamaria,OpenWetPoor
7386051,Lathraea squamaria,OpenWetPoor
7386052,Lathraea squamaria,OpenWetPoor
7386053,Lathraea squamaria,OpenWetPoor
7386054,Lathraea squamaria,OpenWetPoor
7386055,Lathraea squamaria,OpenWetPoor
7386056,Lathraea squamaria,OpenWetPoor
7386057,Lathraea squamaria,OpenWetPoor
7386058,Lathraea squamaria,OpenWetPoor
7386059,Lathraea squamaria,OpenWetPoor
7386060,Lathraea squamaria,OpenWetPoor
7388741,Lathraea squamaria,OpenWetPoor
7388742,Lathraea squamaria,OpenWetPoor
7388743,Lathraea squamaria,OpenWetPoor
7388744,Lathraea squamaria,OpenWetPoor
7388745,Lathraea squamaria,OpenWetPoor
7388746,Lathraea squamaria,OpenWetPoor
7388747,Lathraea squamaria,OpenWetPoor
7388748,Lathraea squamaria,OpenWetPoor
7388749,Lathraea squamaria,OpenWetPoor
7388750,Lathraea squamaria,OpenWetPoor
7388751,Lathraea squamaria,OpenWetPoor
7388752,Lathraea squamaria,OpenWetPoor
7388753,Lathraea squamaria,OpenWetPoor
7388754,Lathraea squamaria,OpenWetPoor
7388755,Lathraea squamaria,OpenWetPoor
7388756,Lathraea squamaria,OpenWetPoor
7388757,Lathraea squamaria,OpenWetPoor
7388758,Lathraea squamaria,OpenWetPoor
7388759,Lathraea squamaria,OpenWetPoor
7388760,Lathraea squamaria,OpenWetPoor
7391441,Lathraea squamaria,OpenWetPoor
7391442,Lathraea squamaria,OpenWetPoor
7391443,Lathraea squamaria,OpenWetPoor
7391444,Lathraea squamaria,OpenWetPoor
7391445,Lathraea squamaria,OpenWetPoor
7391446,Lathraea squamaria,OpenWetPoor
7391447,Lathraea squamaria,OpenWetPoor
7391448,Lathraea squamaria,OpenWetPoor
7391449,Lathraea squamaria,OpenWetPoor
7391450,Lathraea squamaria,OpenWetPoor
7391451,Lathraea squamaria,OpenWetPoor
7391452,Lathraea squamaria,OpenWetPoor
7391453,Lathraea squamaria,OpenWetPoor
7391454,Lathraea squamaria,OpenWetPoor
7391455,Lathraea squamaria,OpenWetPoor
7391456,Lathraea squamaria,OpenWetPoor
7391457,Lathraea squamaria,OpenWetPoor
7391458,Lathraea squamaria,OpenWetPoor
7391459,Lathraea squamaria,OpenWetPoor
7391460,Lathraea squamaria,OpenWetPoor
7394141,Lathraea squamaria,OpenWetPoor
7394142,Lathraea squamaria,OpenWetPoor
7394143,Lathraea squamaria,OpenWetPoor
7394144,Lathraea squamaria,OpenWetPoor
7394145,Lathraea squamaria,OpenWetPoor
7394146,Lathraea squamaria,OpenWetPoor
7394147,Lathraea squamaria,OpenWetPoor
7394148,Lathraea squamaria,OpenWetPoor
7394149,Lathraea squamaria,OpenWetPoor
7394150,Lathraea squamaria,OpenWetPoor
7394151,Lathraea squamaria,OpenWetPoor
7394152,Lathraea squamaria,OpenWetPoor
7394153,Lathraea squamaria,OpenWetPoor
7394154,Lathraea squamaria,OpenWetPoor
7394155,Lathraea squamaria,OpenWetPoor
7394156,Lathraea squamaria,OpenWetPoor
7394157,Lathraea squamaria,OpenWetPoor
7394158,Lathraea squamaria,OpenWetPoor
7394159,Lathraea squamaria,OpenWetPoor
7394160,Lathraea squamaria,OpenWetPoor
7396841,Lathraea squamaria,OpenWetPoor
7396842,Lathraea squamaria,OpenWetPoor
7396843,Lathraea squamaria,OpenWetPoor
7396844,Lathraea squamaria,OpenWetPoor
7396845,Lathraea squamaria,OpenWetPoor
7396846,Lathraea squamaria,OpenWetPoor
7396847,Lathraea squamaria,OpenWetPoor
7396848,Lathraea squamaria,OpenWetPoor
7396849,Lathraea squamaria,OpenWetPoor
7396850,Lathraea squamaria,OpenWetPoor
7396851,Lathraea squamaria,OpenWetPoor
7396852,Lathraea squamaria,OpenWetPoor
7396853,Lathraea squamaria,OpenWetPoor
7396854,Lathraea squamaria,OpenWetPoor
7396855,Lathraea squamaria,OpenWetPoor
7396856,Lathraea squamaria,OpenWetPoor
7396857,Lathraea squamaria,OpenWetPoor
7396858,Lathraea squamaria,OpenWetPoor
7396859,Lathraea squamaria,OpenWetPoor
7396860,Lathraea squamaria,OpenWetPoor
7453507,Lathraea squamaria,OpenWetPoor
7453508,Lathraea squamaria,OpenWetPoor
7453509,Lathraea squamaria,OpenWetPoor
7453510,Lathraea squamaria,OpenWetPoor
7453511,Lathraea squamaria,OpenWetPoor
7453512,Lathraea squamaria,OpenWetPoor
7453513,Lathraea squamaria,OpenWetPoor
7453514,Lathraea squamaria,OpenWetPoor
7453515,Lathraea squamaria,OpenWetPoor
7453516,Lathraea squamaria,OpenWetPoor
7453517,Lathraea squamaria,OpenWetPoor
7453518,Lathraea squamaria,OpenWetPoor
7453519,Lathraea squamaria,OpenWetPoor
7453520,Lathraea squamaria,OpenWetPoor
7456207,Lathraea squamaria,OpenWetPoor
7456208,Lathraea squamaria,OpenWetPoor
7456209,Lathraea squamaria,OpenWetPoor
7456210,Lathraea squamaria,OpenWetPoor
7456211,Lathraea squamaria,OpenWetPoor
7456212,Lathraea squamaria,OpenWetPoor
7456213,Lathraea squamaria,OpenWetPoor
7456214,Lathraea squamaria,OpenWetPoor
7456215,Lathraea squamaria,OpenWetPoor
7456216,Lathraea squamaria,OpenWetPoor
