cell,species,Landuse
7669621,Lysimachia thyrsiflora,OpenWetPoor
7669622,Lysimachia thyrsiflora,OpenWetPoor
7669623,Lysimachia thyrsiflora,OpenWetPoor
7669624,Lysimachia thyrsiflora,OpenWetPoor
7669625,Lysimachia thyrsiflora,OpenWetPoor
7669626,Lysimachia thyrsiflora,OpenWetPoor
7669627,Lysimachia thyrsiflora,OpenWetPoor
7669628,Lysimachia thyrsiflora,OpenWetPoor
7669629,Lysimachia thyrsiflora,OpenWetPoor
7669630,Lysimachia thyrsiflora,OpenWetPoor
7669631,Lysimachia thyrsiflora,OpenWetPoor
7669632,Lysimachia thyrsiflora,OpenWetPoor
7669633,Lysimachia thyrsiflora,OpenWetPoor
7669634,Lysimachia thyrsiflora,OpenWetPoor
7669635,Lysimachia thyrsiflora,OpenWetPoor
7669636,Lysimachia thyrsiflora,OpenWetPoor
7669637,Lysimachia thyrsiflora,OpenWetPoor
7669638,Lysimachia thyrsiflora,OpenWetPoor
7669639,Lysimachia thyrsiflora,OpenWetPoor
7669640,Lysimachia thyrsiflora,OpenWetPoor
7669661,Lysimachia thyrsiflora,OpenWetPoor
7669662,Lysimachia thyrsiflora,OpenWetPoor
7669663,Lysimachia thyrsiflora,OpenWetPoor
7669664,Lysimachia thyrsiflora,OpenWetPoor
7669665,Lysimachia thyrsiflora,OpenWetPoor
7669666,Lysimachia thyrsiflora,OpenWetPoor
7669667,Lysimachia thyrsiflora,OpenWetPoor
7669668,Lysimachia thyrsiflora,OpenWetPoor
7669669,Lysimachia thyrsiflora,OpenWetPoor
7669670,Lysimachia thyrsiflora,OpenWetPoor
7669671,Lysimachia thyrsiflora,OpenWetPoor
7672321,Lysimachia thyrsiflora,OpenWetPoor
7672322,Lysimachia thyrsiflora,OpenWetPoor
7672323,Lysimachia thyrsiflora,OpenWetPoor
7672324,Lysimachia thyrsiflora,OpenWetPoor
7672325,Lysimachia thyrsiflora,OpenWetPoor
7672326,Lysimachia thyrsiflora,OpenWetPoor
7672327,Lysimachia thyrsiflora,OpenWetPoor
7672328,Lysimachia thyrsiflora,OpenWetPoor
7672329,Lysimachia thyrsiflora,OpenWetPoor
7672330,Lysimachia thyrsiflora,OpenWetPoor
7672331,Lysimachia thyrsiflora,OpenWetPoor
7672332,Lysimachia thyrsiflora,OpenWetPoor
7672333,Lysimachia thyrsiflora,OpenWetPoor
7672334,Lysimachia thyrsiflora,OpenWetPoor
7672335,Lysimachia thyrsiflora,OpenWetPoor
7672336,Lysimachia thyrsiflora,OpenWetPoor
7672337,Lysimachia thyrsiflora,OpenWetPoor
7672338,Lysimachia thyrsiflora,OpenWetPoor
7672339,Lysimachia thyrsiflora,OpenWetPoor
7672340,Lysimachia thyrsiflora,OpenWetPoor
7672361,Lysimachia thyrsiflora,OpenWetPoor
7672362,Lysimachia thyrsiflora,OpenWetPoor
7672363,Lysimachia thyrsiflora,OpenWetPoor
7672364,Lysimachia thyrsiflora,OpenWetPoor
7672365,Lysimachia thyrsiflora,OpenWetPoor
7672366,Lysimachia thyrsiflora,OpenWetPoor
7672367,Lysimachia thyrsiflora,OpenWetPoor
7672368,Lysimachia thyrsiflora,OpenWetPoor
7672369,Lysimachia thyrsiflora,OpenWetPoor
7672370,Lysimachia thyrsiflora,OpenWetPoor
7672371,Lysimachia thyrsiflora,OpenWetPoor
7672372,Lysimachia thyrsiflora,OpenWetPoor
7675021,Lysimachia thyrsiflora,OpenWetPoor
7675022,Lysimachia thyrsiflora,OpenWetPoor
7675023,Lysimachia thyrsiflora,OpenWetPoor
7675024,Lysimachia thyrsiflora,OpenWetPoor
7675025,Lysimachia thyrsiflora,OpenWetPoor
7675026,Lysimachia thyrsiflora,OpenWetPoor
7675027,Lysimachia thyrsiflora,OpenWetPoor
7675028,Lysimachia thyrsiflora,OpenWetPoor
7675029,Lysimachia thyrsiflora,OpenWetPoor
7675030,Lysimachia thyrsiflora,OpenWetPoor
7675031,Lysimachia thyrsiflora,OpenWetPoor
7675032,Lysimachia thyrsiflora,OpenWetPoor
7675033,Lysimachia thyrsiflora,OpenWetPoor
7675034,Lysimachia thyrsiflora,OpenWetPoor
7675035,Lysimachia thyrsiflora,OpenWetPoor
7675036,Lysimachia thyrsiflora,OpenWetPoor
7675037,Lysimachia thyrsiflora,OpenWetPoor
7675038,Lysimachia thyrsiflora,OpenWetPoor
7675039,Lysimachia thyrsiflora,OpenWetPoor
7675040,Lysimachia thyrsiflora,OpenWetPoor
7675061,Lysimachia thyrsiflora,OpenWetPoor
7675062,Lysimachia thyrsiflora,OpenWetPoor
7675063,Lysimachia thyrsiflora,OpenWetPoor
7675064,Lysimachia thyrsiflora,OpenWetPoor
7675065,Lysimachia thyrsiflora,OpenWetPoor
7675066,Lysimachia thyrsiflora,OpenWetPoor
7675067,Lysimachia thyrsiflora,OpenWetPoor
7675068,Lysimachia thyrsiflora,OpenWetPoor
7675069,Lysimachia thyrsiflora,OpenWetPoor
7675070,Lysimachia thyrsiflora,OpenWetPoor
7675071,Lysimachia thyrsiflora,OpenWetPoor
