cell,species,Landuse
7399641,Rubus idaeus,OpenWetPoor
7399642,Rubus idaeus,OpenWetPoor
7399643,Rubus idaeus,OpenWetPoor
7399644,Rubus idaeus,OpenWetPoor
7399645,Rubus idaeus,OpenWetPoor
7399646,Rubus idaeus,OpenWetPoor
7399647,Rubus idaeus,OpenWetPoor
7399648,Rubus idaeus,OpenWetPoor
7399649,Rubus idaeus,OpenWetPoor
7399650,Rubus idaeus,OpenWetPoor
7399651,Rubus idaeus,OpenWetPoor
7399652,Rubus idaeus,OpenWetPoor
7399653,Rubus idaeus,OpenWetPoor
7399654,Rubus idaeus,OpenWetPoor
7399655,Rubus idaeus,OpenWetPoor
7399656,Rubus idaeus,OpenWetPoor
7399657,Rubus idaeus,OpenWetPoor
7399658,Rubus idaeus,OpenWetPoor
7399659,Rubus idaeus,OpenWetPoor
7399660,Rubus idaeus,OpenWetPoor
7399661,Rubus idaeus,OpenWetPoor
7399662,Rubus idaeus,OpenWetPoor
7399663,Rubus idaeus,OpenWetPoor
7399664,Rubus idaeus,OpenWetPoor
7399665,Rubus idaeus,OpenWetPoor
7399666,Rubus idaeus,OpenWetPoor
7399667,Rubus idaeus,OpenWetPoor
7399668,Rubus idaeus,OpenWetPoor
7399669,Rubus idaeus,OpenWetPoor
7399670,Rubus idaeus,OpenWetPoor
7399671,Rubus idaeus,OpenWetPoor
7399672,Rubus idaeus,OpenWetPoor
7399673,Rubus idaeus,OpenWetPoor
7399674,Rubus idaeus,OpenWetPoor
7399675,Rubus idaeus,OpenWetPoor
7399676,Rubus idaeus,OpenWetPoor
7399677,Rubus idaeus,OpenWetPoor
7399678,Rubus idaeus,OpenWetPoor
7399679,Rubus idaeus,OpenWetPoor
7399680,Rubus idaeus,OpenWetPoor
7402341,Rubus idaeus,OpenWetPoor
7402342,Rubus idaeus,OpenWetPoor
7402343,Rubus idaeus,OpenWetPoor
7402344,Rubus idaeus,OpenWetPoor
7402345,Rubus idaeus,OpenWetPoor
7402346,Rubus idaeus,OpenWetPoor
7402347,Rubus idaeus,OpenWetPoor
7402348,Rubus idaeus,OpenWetPoor
7402349,Rubus idaeus,OpenWetPoor
7402350,Rubus idaeus,OpenWetPoor
7402351,Rubus idaeus,OpenWetPoor
7402352,Rubus idaeus,OpenWetPoor
7402353,Rubus idaeus,OpenWetPoor
7402354,Rubus idaeus,OpenWetPoor
7402355,Rubus idaeus,OpenWetPoor
7402356,Rubus idaeus,OpenWetPoor
7402357,Rubus idaeus,OpenWetPoor
7402358,Rubus idaeus,OpenWetPoor
7402359,Rubus idaeus,OpenWetPoor
7402360,Rubus idaeus,OpenWetPoor
7402361,Rubus idaeus,OpenWetPoor
7402362,Rubus idaeus,OpenWetPoor
7402363,Rubus idaeus,OpenWetPoor
7402364,Rubus idaeus,OpenWetPoor
7402365,Rubus idaeus,OpenWetPoor
7402366,Rubus idaeus,OpenWetPoor
7402367,Rubus idaeus,OpenWetPoor
7402368,Rubus idaeus,OpenWetPoor
7402369,Rubus idaeus,OpenWetPoor
7402370,Rubus idaeus,OpenWetPoor
7402371,Rubus idaeus,OpenWetPoor
7402372,Rubus idaeus,OpenWetPoor
7402373,Rubus idaeus,OpenWetPoor
7402374,Rubus idaeus,OpenWetPoor
7402375,Rubus idaeus,OpenWetPoor
7402376,Rubus idaeus,OpenWetPoor
7402377,Rubus idaeus,OpenWetPoor
7402378,Rubus idaeus,OpenWetPoor
7402379,Rubus idaeus,OpenWetPoor
7402380,Rubus idaeus,OpenWetPoor
7405041,Rubus idaeus,OpenWetPoor
7405042,Rubus idaeus,OpenWetPoor
7405043,Rubus idaeus,OpenWetPoor
7405044,Rubus idaeus,OpenWetPoor
7405045,Rubus idaeus,OpenWetPoor
7405046,Rubus idaeus,OpenWetPoor
7405047,Rubus idaeus,OpenWetPoor
7405048,Rubus idaeus,OpenWetPoor
7405049,Rubus idaeus,OpenWetPoor
7405050,Rubus idaeus,OpenWetPoor
7405051,Rubus idaeus,OpenWetPoor
7405052,Rubus idaeus,OpenWetPoor
7405053,Rubus idaeus,OpenWetPoor
7405054,Rubus idaeus,OpenWetPoor
7405055,Rubus idaeus,OpenWetPoor
7405056,Rubus idaeus,OpenWetPoor
7405057,Rubus idaeus,OpenWetPoor
7405058,Rubus idaeus,OpenWetPoor
7405059,Rubus idaeus,OpenWetPoor
7405060,Rubus idaeus,OpenWetPoor
7405061,Rubus idaeus,OpenWetPoor
7405062,Rubus idaeus,OpenWetPoor
7405063,Rubus idaeus,OpenWetPoor
7405064,Rubus idaeus,OpenWetPoor
7405065,Rubus idaeus,OpenWetPoor
7405066,Rubus idaeus,OpenWetPoor
7405067,Rubus idaeus,OpenWetPoor
7405068,Rubus idaeus,OpenWetPoor
7405069,Rubus idaeus,OpenWetPoor
7405070,Rubus idaeus,OpenWetPoor
7405071,Rubus idaeus,OpenWetPoor
7405072,Rubus idaeus,OpenWetPoor
7405073,Rubus idaeus,OpenWetPoor
7405074,Rubus idaeus,OpenWetPoor
7405075,Rubus idaeus,OpenWetPoor
7405076,Rubus idaeus,OpenWetPoor
