cell,species,Landuse
7472420,Trifolium campestre,OpenWetPoor
7475119,Trifolium campestre,OpenWetPoor
7475120,Trifolium campestre,OpenWetPoor
7477818,Trifolium campestre,OpenWetPoor
7477819,Trifolium campestre,OpenWetPoor
7477820,Trifolium campestre,OpenWetPoor
7480517,Trifolium campestre,OpenWetPoor
7480518,Trifolium campestre,OpenWetPoor
7480519,Trifolium campestre,OpenWetPoor
7480520,Trifolium campestre,OpenWetPoor
7483216,Trifolium campestre,OpenWetPoor
7483217,Trifolium campestre,OpenWetPoor
7483218,Trifolium campestre,OpenWetPoor
7483219,Trifolium campestre,OpenWetPoor
7483220,Trifolium campestre,OpenWetPoor
7485915,Trifolium campestre,OpenWetPoor
7485916,Trifolium campestre,OpenWetPoor
7485917,Trifolium campestre,OpenWetPoor
7485918,Trifolium campestre,OpenWetPoor
7485919,Trifolium campestre,OpenWetPoor
7485920,Trifolium campestre,OpenWetPoor
7488615,Trifolium campestre,OpenWetPoor
7488616,Trifolium campestre,OpenWetPoor
7488617,Trifolium campestre,OpenWetPoor
7488618,Trifolium campestre,OpenWetPoor
7488619,Trifolium campestre,OpenWetPoor
7488620,Trifolium campestre,OpenWetPoor
7491314,Trifolium campestre,OpenWetPoor
7491315,Trifolium campestre,OpenWetPoor
7491316,Trifolium campestre,OpenWetPoor
7491317,Trifolium campestre,OpenWetPoor
7491318,Trifolium campestre,OpenWetPoor
7491319,Trifolium campestre,OpenWetPoor
7491320,Trifolium campestre,OpenWetPoor
7494013,Trifolium campestre,OpenWetPoor
7494014,Trifolium campestre,OpenWetPoor
7494015,Trifolium campestre,OpenWetPoor
7494016,Trifolium campestre,OpenWetPoor
7494017,Trifolium campestre,OpenWetPoor
7494018,Trifolium campestre,OpenWetPoor
7494019,Trifolium campestre,OpenWetPoor
7494020,Trifolium campestre,OpenWetPoor
7496713,Trifolium campestre,OpenWetPoor
7496714,Trifolium campestre,OpenWetPoor
7496715,Trifolium campestre,OpenWetPoor
7496716,Trifolium campestre,OpenWetPoor
7496717,Trifolium campestre,OpenWetPoor
7496718,Trifolium campestre,OpenWetPoor
7496719,Trifolium campestre,OpenWetPoor
7496720,Trifolium campestre,OpenWetPoor
7499412,Trifolium campestre,OpenWetPoor
7499413,Trifolium campestre,OpenWetPoor
7499414,Trifolium campestre,OpenWetPoor
