cell,species,Landuse
7872122,Arctium lappa,OpenWetRich
7872123,Arctium lappa,OpenWetRich
7872124,Arctium lappa,OpenWetRich
7872125,Arctium lappa,OpenWetRich
7872126,Arctium lappa,OpenWetRich
7872127,Arctium lappa,OpenWetRich
7872128,Arctium lappa,OpenWetRich
7872129,Arctium lappa,OpenWetRich
7872130,Arctium lappa,OpenWetRich
7872131,Arctium lappa,OpenWetRich
7872132,Arctium lappa,OpenWetRich
7872133,Arctium lappa,OpenWetRich
7872134,Arctium lappa,OpenWetRich
7872135,Arctium lappa,OpenWetRich
7872136,Arctium lappa,OpenWetRich
7872137,Arctium lappa,OpenWetRich
7872138,Arctium lappa,OpenWetRich
7872139,Arctium lappa,OpenWetRich
7874821,Arctium lappa,OpenWetRich
7874822,Arctium lappa,OpenWetRich
7874823,Arctium lappa,OpenWetRich
7874824,Arctium lappa,OpenWetRich
7874825,Arctium lappa,OpenWetRich
7874826,Arctium lappa,OpenWetRich
7874827,Arctium lappa,OpenWetRich
7874828,Arctium lappa,OpenWetRich
7874829,Arctium lappa,OpenWetRich
7874830,Arctium lappa,OpenWetRich
7874831,Arctium lappa,OpenWetRich
7874832,Arctium lappa,OpenWetRich
7874833,Arctium lappa,OpenWetRich
7874834,Arctium lappa,OpenWetRich
7874835,Arctium lappa,OpenWetRich
7874836,Arctium lappa,OpenWetRich
7874837,Arctium lappa,OpenWetRich
7874838,Arctium lappa,OpenWetRich
7874839,Arctium lappa,OpenWetRich
7874840,Arctium lappa,OpenWetRich
7874841,Arctium lappa,OpenWetRich
7874842,Arctium lappa,OpenWetRich
7874843,Arctium lappa,OpenWetRich
7877521,Arctium lappa,OpenWetRich
7877522,Arctium lappa,OpenWetRich
7877523,Arctium lappa,OpenWetRich
7877524,Arctium lappa,OpenWetRich
7877525,Arctium lappa,OpenWetRich
7877526,Arctium lappa,OpenWetRich
7877527,Arctium lappa,OpenWetRich
7877528,Arctium lappa,OpenWetRich
7877529,Arctium lappa,OpenWetRich
7877530,Arctium lappa,OpenWetRich
7877531,Arctium lappa,OpenWetRich
7877532,Arctium lappa,OpenWetRich
7877533,Arctium lappa,OpenWetRich
7877534,Arctium lappa,OpenWetRich
7877535,Arctium lappa,OpenWetRich
7877536,Arctium lappa,OpenWetRich
7877537,Arctium lappa,OpenWetRich
7877538,Arctium lappa,OpenWetRich
7877539,Arctium lappa,OpenWetRich
7877540,Arctium lappa,OpenWetRich
7877541,Arctium lappa,OpenWetRich
7877542,Arctium lappa,OpenWetRich
7877543,Arctium lappa,OpenWetRich
7877544,Arctium lappa,OpenWetRich
7877545,Arctium lappa,OpenWetRich
7877546,Arctium lappa,OpenWetRich
7880221,Arctium lappa,OpenWetRich
7880222,Arctium lappa,OpenWetRich
7880223,Arctium lappa,OpenWetRich
7880224,Arctium lappa,OpenWetRich
7880225,Arctium lappa,OpenWetRich
7880226,Arctium lappa,OpenWetRich
7880227,Arctium lappa,OpenWetRich
7880228,Arctium lappa,OpenWetRich
7880229,Arctium lappa,OpenWetRich
7880230,Arctium lappa,OpenWetRich
7880231,Arctium lappa,OpenWetRich
7880232,Arctium lappa,OpenWetRich
7880233,Arctium lappa,OpenWetRich
7880234,Arctium lappa,OpenWetRich
7880235,Arctium lappa,OpenWetRich
7880236,Arctium lappa,OpenWetRich
7880237,Arctium lappa,OpenWetRich
7880238,Arctium lappa,OpenWetRich
7880239,Arctium lappa,OpenWetRich
7880240,Arctium lappa,OpenWetRich
7880241,Arctium lappa,OpenWetRich
7880242,Arctium lappa,OpenWetRich
7880243,Arctium lappa,OpenWetRich
7880244,Arctium lappa,OpenWetRich
7880245,Arctium lappa,OpenWetRich
7880246,Arctium lappa,OpenWetRich
7880247,Arctium lappa,OpenWetRich
7880248,Arctium lappa,OpenWetRich
7880249,Arctium lappa,OpenWetRich
7882921,Arctium lappa,OpenWetRich
7882922,Arctium lappa,OpenWetRich
7882923,Arctium lappa,OpenWetRich
7882924,Arctium lappa,OpenWetRich
7882925,Arctium lappa,OpenWetRich
7882926,Arctium lappa,OpenWetRich
7882927,Arctium lappa,OpenWetRich
7882928,Arctium lappa,OpenWetRich
7882929,Arctium lappa,OpenWetRich
7882930,Arctium lappa,OpenWetRich
7882931,Arctium lappa,OpenWetRich
7882932,Arctium lappa,OpenWetRich
7882933,Arctium lappa,OpenWetRich
7882934,Arctium lappa,OpenWetRich
7882935,Arctium lappa,OpenWetRich
7882936,Arctium lappa,OpenWetRich
7882937,Arctium lappa,OpenWetRich
7882938,Arctium lappa,OpenWetRich
7882939,Arctium lappa,OpenWetRich
7882940,Arctium lappa,OpenWetRich
7882941,Arctium lappa,OpenWetRich
7882942,Arctium lappa,OpenWetRich
7882943,Arctium lappa,OpenWetRich
7882944,Arctium lappa,OpenWetRich
7882945,Arctium lappa,OpenWetRich
7882946,Arctium lappa,OpenWetRich
7882947,Arctium lappa,OpenWetRich
7882948,Arctium lappa,OpenWetRich
7882949,Arctium lappa,OpenWetRich
7882950,Arctium lappa,OpenWetRich
7882951,Arctium lappa,OpenWetRich
7899161,Arctium lappa,OpenWetRich
7901861,Arctium lappa,OpenWetRich
7901862,Arctium lappa,OpenWetRich
7904561,Arctium lappa,OpenWetRich
7904562,Arctium lappa,OpenWetRich
7904563,Arctium lappa,OpenWetRich
7907261,Arctium lappa,OpenWetRich
7907262,Arctium lappa,OpenWetRich
7907263,Arctium lappa,OpenWetRich
7907264,Arctium lappa,OpenWetRich
7909961,Arctium lappa,OpenWetRich
7909962,Arctium lappa,OpenWetRich
7909963,Arctium lappa,OpenWetRich
7909964,Arctium lappa,OpenWetRich
7909965,Arctium lappa,OpenWetRich
7909966,Arctium lappa,OpenWetRich
7912661,Arctium lappa,OpenWetRich
7912662,Arctium lappa,OpenWetRich
7912663,Arctium lappa,OpenWetRich
7912664,Arctium lappa,OpenWetRich
7912665,Arctium lappa,OpenWetRich
7912666,Arctium lappa,OpenWetRich
7915361,Arctium lappa,OpenWetRich
7915362,Arctium lappa,OpenWetRich
7915363,Arctium lappa,OpenWetRich
7915364,Arctium lappa,OpenWetRich
7915365,Arctium lappa,OpenWetRich
7915366,Arctium lappa,OpenWetRich
7915367,Arctium lappa,OpenWetRich
7918061,Arctium lappa,OpenWetRich
7918062,Arctium lappa,OpenWetRich
7918063,Arctium lappa,OpenWetRich
7918064,Arctium lappa,OpenWetRich
7918065,Arctium lappa,OpenWetRich
7918066,Arctium lappa,OpenWetRich
7918067,Arctium lappa,OpenWetRich
7918068,Arctium lappa,OpenWetRich
7920761,Arctium lappa,OpenWetRich
7920762,Arctium lappa,OpenWetRich
7920763,Arctium lappa,OpenWetRich
7920764,Arctium lappa,OpenWetRich
7920765,Arctium lappa,OpenWetRich
7920766,Arctium lappa,OpenWetRich
7920767,Arctium lappa,OpenWetRich
7920768,Arctium lappa,OpenWetRich
7920769,Arctium lappa,OpenWetRich
7923461,Arctium lappa,OpenWetRich
7923462,Arctium lappa,OpenWetRich
7923463,Arctium lappa,OpenWetRich
7923464,Arctium lappa,OpenWetRich
7923465,Arctium lappa,OpenWetRich
7923466,Arctium lappa,OpenWetRich
7923467,Arctium lappa,OpenWetRich
7923468,Arctium lappa,OpenWetRich
7923469,Arctium lappa,OpenWetRich
7923470,Arctium lappa,OpenWetRich
7926161,Arctium lappa,OpenWetRich
7926162,Arctium lappa,OpenWetRich
7926163,Arctium lappa,OpenWetRich
7926164,Arctium lappa,OpenWetRich
7926165,Arctium lappa,OpenWetRich
7926166,Arctium lappa,OpenWetRich
7926167,Arctium lappa,OpenWetRich
7926168,Arctium lappa,OpenWetRich
7926169,Arctium lappa,OpenWetRich
7926170,Arctium lappa,OpenWetRich
7926171,Arctium lappa,OpenWetRich
7928861,Arctium lappa,OpenWetRich
7928862,Arctium lappa,OpenWetRich
7928863,Arctium lappa,OpenWetRich
7928864,Arctium lappa,OpenWetRich
7928865,Arctium lappa,OpenWetRich
7928866,Arctium lappa,OpenWetRich
7928867,Arctium lappa,OpenWetRich
7928868,Arctium lappa,OpenWetRich
7928869,Arctium lappa,OpenWetRich
7928870,Arctium lappa,OpenWetRich
7928871,Arctium lappa,OpenWetRich
7931561,Arctium lappa,OpenWetRich
7931562,Arctium lappa,OpenWetRich
7931563,Arctium lappa,OpenWetRich
7931564,Arctium lappa,OpenWetRich
7931565,Arctium lappa,OpenWetRich
7931566,Arctium lappa,OpenWetRich
7931567,Arctium lappa,OpenWetRich
7931568,Arctium lappa,OpenWetRich
7931569,Arctium lappa,OpenWetRich
7931570,Arctium lappa,OpenWetRich
7931571,Arctium lappa,OpenWetRich
7931572,Arctium lappa,OpenWetRich
7934261,Arctium lappa,OpenWetRich
7934262,Arctium lappa,OpenWetRich
7934263,Arctium lappa,OpenWetRich
7934264,Arctium lappa,OpenWetRich
7934265,Arctium lappa,OpenWetRich
7934266,Arctium lappa,OpenWetRich
7934267,Arctium lappa,OpenWetRich
7934268,Arctium lappa,OpenWetRich
7934269,Arctium lappa,OpenWetRich
7934270,Arctium lappa,OpenWetRich
7934271,Arctium lappa,OpenWetRich
7934272,Arctium lappa,OpenWetRich
7936961,Arctium lappa,OpenWetRich
7936962,Arctium lappa,OpenWetRich
7936963,Arctium lappa,OpenWetRich
7936964,Arctium lappa,OpenWetRich
7936965,Arctium lappa,OpenWetRich
7936966,Arctium lappa,OpenWetRich
7936967,Arctium lappa,OpenWetRich
7936968,Arctium lappa,OpenWetRich
7936969,Arctium lappa,OpenWetRich
7936970,Arctium lappa,OpenWetRich
7936971,Arctium lappa,OpenWetRich
7936972,Arctium lappa,OpenWetRich
7936973,Arctium lappa,OpenWetRich
