cell,species,Landuse
7421161,Cardamine pratensis,OpenWetRich
7421162,Cardamine pratensis,OpenWetRich
7421163,Cardamine pratensis,OpenWetRich
7421164,Cardamine pratensis,OpenWetRich
7423861,Cardamine pratensis,OpenWetRich
7423862,Cardamine pratensis,OpenWetRich
7423863,Cardamine pratensis,OpenWetRich
7423864,Cardamine pratensis,OpenWetRich
7423865,Cardamine pratensis,OpenWetRich
7423866,Cardamine pratensis,OpenWetRich
7426561,Cardamine pratensis,OpenWetRich
7426562,Cardamine pratensis,OpenWetRich
7426563,Cardamine pratensis,OpenWetRich
7426564,Cardamine pratensis,OpenWetRich
7426565,Cardamine pratensis,OpenWetRich
7426566,Cardamine pratensis,OpenWetRich
7426567,Cardamine pratensis,OpenWetRich
7426568,Cardamine pratensis,OpenWetRich
7429261,Cardamine pratensis,OpenWetRich
7429262,Cardamine pratensis,OpenWetRich
7429263,Cardamine pratensis,OpenWetRich
7429264,Cardamine pratensis,OpenWetRich
7429265,Cardamine pratensis,OpenWetRich
7429266,Cardamine pratensis,OpenWetRich
7429267,Cardamine pratensis,OpenWetRich
7429268,Cardamine pratensis,OpenWetRich
7429269,Cardamine pratensis,OpenWetRich
7429270,Cardamine pratensis,OpenWetRich
7431961,Cardamine pratensis,OpenWetRich
7431962,Cardamine pratensis,OpenWetRich
7431963,Cardamine pratensis,OpenWetRich
7431964,Cardamine pratensis,OpenWetRich
7431965,Cardamine pratensis,OpenWetRich
7431966,Cardamine pratensis,OpenWetRich
7431967,Cardamine pratensis,OpenWetRich
7431968,Cardamine pratensis,OpenWetRich
7431969,Cardamine pratensis,OpenWetRich
7431970,Cardamine pratensis,OpenWetRich
7431971,Cardamine pratensis,OpenWetRich
7431972,Cardamine pratensis,OpenWetRich
7434661,Cardamine pratensis,OpenWetRich
7434662,Cardamine pratensis,OpenWetRich
7434663,Cardamine pratensis,OpenWetRich
7434664,Cardamine pratensis,OpenWetRich
7434665,Cardamine pratensis,OpenWetRich
7434666,Cardamine pratensis,OpenWetRich
7434667,Cardamine pratensis,OpenWetRich
7434668,Cardamine pratensis,OpenWetRich
7434669,Cardamine pratensis,OpenWetRich
7434670,Cardamine pratensis,OpenWetRich
7434671,Cardamine pratensis,OpenWetRich
7434672,Cardamine pratensis,OpenWetRich
7434673,Cardamine pratensis,OpenWetRich
7434674,Cardamine pratensis,OpenWetRich
7437361,Cardamine pratensis,OpenWetRich
7437362,Cardamine pratensis,OpenWetRich
7437363,Cardamine pratensis,OpenWetRich
