cell,species,Landuse
7421161,Carex acuta,OpenWetRich
7421162,Carex acuta,OpenWetRich
7421163,Carex acuta,OpenWetRich
7421164,Carex acuta,OpenWetRich
7423861,Carex acuta,OpenWetRich
7423862,Carex acuta,OpenWetRich
7423863,Carex acuta,OpenWetRich
7423864,Carex acuta,OpenWetRich
7423865,Carex acuta,OpenWetRich
7423866,Carex acuta,OpenWetRich
7426561,Carex acuta,OpenWetRich
7426562,Carex acuta,OpenWetRich
7426563,Carex acuta,OpenWetRich
7426564,Carex acuta,OpenWetRich
7426565,Carex acuta,OpenWetRich
7426566,Carex acuta,OpenWetRich
7426567,Carex acuta,OpenWetRich
7426568,Carex acuta,OpenWetRich
7429261,Carex acuta,OpenWetRich
7429262,Carex acuta,OpenWetRich
7429263,Carex acuta,OpenWetRich
7429264,Carex acuta,OpenWetRich
7429265,Carex acuta,OpenWetRich
7429266,Carex acuta,OpenWetRich
7429267,Carex acuta,OpenWetRich
7429268,Carex acuta,OpenWetRich
7429269,Carex acuta,OpenWetRich
7429270,Carex acuta,OpenWetRich
7431961,Carex acuta,OpenWetRich
7431962,Carex acuta,OpenWetRich
7431963,Carex acuta,OpenWetRich
7431964,Carex acuta,OpenWetRich
7431965,Carex acuta,OpenWetRich
7431966,Carex acuta,OpenWetRich
7431967,Carex acuta,OpenWetRich
7431968,Carex acuta,OpenWetRich
7431969,Carex acuta,OpenWetRich
7431970,Carex acuta,OpenWetRich
7431971,Carex acuta,OpenWetRich
7431972,Carex acuta,OpenWetRich
7434661,Carex acuta,OpenWetRich
7434662,Carex acuta,OpenWetRich
7434663,Carex acuta,OpenWetRich
7434664,Carex acuta,OpenWetRich
7434665,Carex acuta,OpenWetRich
7434666,Carex acuta,OpenWetRich
7434667,Carex acuta,OpenWetRich
7434668,Carex acuta,OpenWetRich
7434669,Carex acuta,OpenWetRich
7434670,Carex acuta,OpenWetRich
7434671,Carex acuta,OpenWetRich
7434672,Carex acuta,OpenWetRich
7434673,Carex acuta,OpenWetRich
7434674,Carex acuta,OpenWetRich
7437361,Carex acuta,OpenWetRich
7437362,Carex acuta,OpenWetRich
7437363,Carex acuta,OpenWetRich
7437364,Carex acuta,OpenWetRich
7437365,Carex acuta,OpenWetRich
7437366,Carex acuta,OpenWetRich
7437367,Carex acuta,OpenWetRich
7437368,Carex acuta,OpenWetRich
7437369,Carex acuta,OpenWetRich
7437370,Carex acuta,OpenWetRich
7437371,Carex acuta,OpenWetRich
7437372,Carex acuta,OpenWetRich
7437373,Carex acuta,OpenWetRich
7437374,Carex acuta,OpenWetRich
7437375,Carex acuta,OpenWetRich
7440061,Carex acuta,OpenWetRich
7440062,Carex acuta,OpenWetRich
7440063,Carex acuta,OpenWetRich
7440064,Carex acuta,OpenWetRich
7440065,Carex acuta,OpenWetRich
7440066,Carex acuta,OpenWetRich
7440067,Carex acuta,OpenWetRich
7440068,Carex acuta,OpenWetRich
7440069,Carex acuta,OpenWetRich
7440070,Carex acuta,OpenWetRich
7440071,Carex acuta,OpenWetRich
7440072,Carex acuta,OpenWetRich
7440073,Carex acuta,OpenWetRich
7440074,Carex acuta,OpenWetRich
7440075,Carex acuta,OpenWetRich
7440076,Carex acuta,OpenWetRich
7440077,Carex acuta,OpenWetRich
7442761,Carex acuta,OpenWetRich
7442762,Carex acuta,OpenWetRich
7442763,Carex acuta,OpenWetRich
7442764,Carex acuta,OpenWetRich
7442765,Carex acuta,OpenWetRich
7442766,Carex acuta,OpenWetRich
7442767,Carex acuta,OpenWetRich
7442768,Carex acuta,OpenWetRich
7442769,Carex acuta,OpenWetRich
7442770,Carex acuta,OpenWetRich
7442771,Carex acuta,OpenWetRich
7442772,Carex acuta,OpenWetRich
7442773,Carex acuta,OpenWetRich
7442774,Carex acuta,OpenWetRich
7442775,Carex acuta,OpenWetRich
7442776,Carex acuta,OpenWetRich
7442777,Carex acuta,OpenWetRich
7442778,Carex acuta,OpenWetRich
7445461,Carex acuta,OpenWetRich
7445462,Carex acuta,OpenWetRich
7445463,Carex acuta,OpenWetRich
7445464,Carex acuta,OpenWetRich
7445465,Carex acuta,OpenWetRich
7445466,Carex acuta,OpenWetRich
7445467,Carex acuta,OpenWetRich
7445468,Carex acuta,OpenWetRich
7445469,Carex acuta,OpenWetRich
7445470,Carex acuta,OpenWetRich
7445471,Carex acuta,OpenWetRich
7445472,Carex acuta,OpenWetRich
7445473,Carex acuta,OpenWetRich
7445474,Carex acuta,OpenWetRich
7445475,Carex acuta,OpenWetRich
7445476,Carex acuta,OpenWetRich
7445477,Carex acuta,OpenWetRich
7445478,Carex acuta,OpenWetRich
7445479,Carex acuta,OpenWetRich
7448161,Carex acuta,OpenWetRich
7448162,Carex acuta,OpenWetRich
7448163,Carex acuta,OpenWetRich
7448164,Carex acuta,OpenWetRich
7448165,Carex acuta,OpenWetRich
7448166,Carex acuta,OpenWetRich
7448167,Carex acuta,OpenWetRich
7448168,Carex acuta,OpenWetRich
7448169,Carex acuta,OpenWetRich
7448170,Carex acuta,OpenWetRich
7448171,Carex acuta,OpenWetRich
7448172,Carex acuta,OpenWetRich
7448173,Carex acuta,OpenWetRich
7448174,Carex acuta,OpenWetRich
7448175,Carex acuta,OpenWetRich
7448176,Carex acuta,OpenWetRich
7448177,Carex acuta,OpenWetRich
7448178,Carex acuta,OpenWetRich
7448179,Carex acuta,OpenWetRich
7448180,Carex acuta,OpenWetRich
