cell,species,Landuse
7399561,Carex acutiformis,OpenWetRich
7399562,Carex acutiformis,OpenWetRich
7399563,Carex acutiformis,OpenWetRich
7399564,Carex acutiformis,OpenWetRich
7399565,Carex acutiformis,OpenWetRich
7399566,Carex acutiformis,OpenWetRich
7399567,Carex acutiformis,OpenWetRich
7399568,Carex acutiformis,OpenWetRich
7399569,Carex acutiformis,OpenWetRich
7399570,Carex acutiformis,OpenWetRich
7399571,Carex acutiformis,OpenWetRich
7399572,Carex acutiformis,OpenWetRich
7399573,Carex acutiformis,OpenWetRich
7399574,Carex acutiformis,OpenWetRich
7399575,Carex acutiformis,OpenWetRich
7399576,Carex acutiformis,OpenWetRich
7399577,Carex acutiformis,OpenWetRich
7399578,Carex acutiformis,OpenWetRich
7399579,Carex acutiformis,OpenWetRich
7399580,Carex acutiformis,OpenWetRich
7402261,Carex acutiformis,OpenWetRich
7402262,Carex acutiformis,OpenWetRich
7402263,Carex acutiformis,OpenWetRich
7402264,Carex acutiformis,OpenWetRich
7402265,Carex acutiformis,OpenWetRich
7402266,Carex acutiformis,OpenWetRich
7402267,Carex acutiformis,OpenWetRich
7402268,Carex acutiformis,OpenWetRich
7402269,Carex acutiformis,OpenWetRich
7402270,Carex acutiformis,OpenWetRich
7402271,Carex acutiformis,OpenWetRich
7402272,Carex acutiformis,OpenWetRich
7402273,Carex acutiformis,OpenWetRich
7402274,Carex acutiformis,OpenWetRich
7402275,Carex acutiformis,OpenWetRich
7402276,Carex acutiformis,OpenWetRich
7402277,Carex acutiformis,OpenWetRich
7402278,Carex acutiformis,OpenWetRich
7402279,Carex acutiformis,OpenWetRich
7402280,Carex acutiformis,OpenWetRich
7404961,Carex acutiformis,OpenWetRich
7404962,Carex acutiformis,OpenWetRich
7404963,Carex acutiformis,OpenWetRich
7404964,Carex acutiformis,OpenWetRich
7404965,Carex acutiformis,OpenWetRich
7404966,Carex acutiformis,OpenWetRich
7404967,Carex acutiformis,OpenWetRich
7404968,Carex acutiformis,OpenWetRich
