cell,species,Landuse
7437361,Dipsacus fullonum,OpenWetRich
7437362,Dipsacus fullonum,OpenWetRich
7440061,Dipsacus fullonum,OpenWetRich
7440062,Dipsacus fullonum,OpenWetRich
7440063,Dipsacus fullonum,OpenWetRich
7440064,Dipsacus fullonum,OpenWetRich
7440065,Dipsacus fullonum,OpenWetRich
7440066,Dipsacus fullonum,OpenWetRich
7440067,Dipsacus fullonum,OpenWetRich
7440068,Dipsacus fullonum,OpenWetRich
7440069,Dipsacus fullonum,OpenWetRich
7440070,Dipsacus fullonum,OpenWetRich
7442761,Dipsacus fullonum,OpenWetRich
7442762,Dipsacus fullonum,OpenWetRich
7442763,Dipsacus fullonum,OpenWetRich
7442764,Dipsacus fullonum,OpenWetRich
7442765,Dipsacus fullonum,OpenWetRich
7442766,Dipsacus fullonum,OpenWetRich
7442767,Dipsacus fullonum,OpenWetRich
7442768,Dipsacus fullonum,OpenWetRich
7442769,Dipsacus fullonum,OpenWetRich
7442770,Dipsacus fullonum,OpenWetRich
7442771,Dipsacus fullonum,OpenWetRich
7442772,Dipsacus fullonum,OpenWetRich
7442773,Dipsacus fullonum,OpenWetRich
7442774,Dipsacus fullonum,OpenWetRich
7445461,Dipsacus fullonum,OpenWetRich
7445462,Dipsacus fullonum,OpenWetRich
7445463,Dipsacus fullonum,OpenWetRich
7445464,Dipsacus fullonum,OpenWetRich
7445465,Dipsacus fullonum,OpenWetRich
7445466,Dipsacus fullonum,OpenWetRich
7445467,Dipsacus fullonum,OpenWetRich
7445468,Dipsacus fullonum,OpenWetRich
7445469,Dipsacus fullonum,OpenWetRich
7445470,Dipsacus fullonum,OpenWetRich
7445471,Dipsacus fullonum,OpenWetRich
7445472,Dipsacus fullonum,OpenWetRich
7445473,Dipsacus fullonum,OpenWetRich
7445474,Dipsacus fullonum,OpenWetRich
7445475,Dipsacus fullonum,OpenWetRich
7445476,Dipsacus fullonum,OpenWetRich
7445477,Dipsacus fullonum,OpenWetRich
7448161,Dipsacus fullonum,OpenWetRich
7448162,Dipsacus fullonum,OpenWetRich
7448163,Dipsacus fullonum,OpenWetRich
7448164,Dipsacus fullonum,OpenWetRich
7448165,Dipsacus fullonum,OpenWetRich
7448166,Dipsacus fullonum,OpenWetRich
7448167,Dipsacus fullonum,OpenWetRich
7448168,Dipsacus fullonum,OpenWetRich
7448169,Dipsacus fullonum,OpenWetRich
7448170,Dipsacus fullonum,OpenWetRich
7448171,Dipsacus fullonum,OpenWetRich
7448172,Dipsacus fullonum,OpenWetRich
7448173,Dipsacus fullonum,OpenWetRich
7448174,Dipsacus fullonum,OpenWetRich
7448175,Dipsacus fullonum,OpenWetRich
7448176,Dipsacus fullonum,OpenWetRich
7448177,Dipsacus fullonum,OpenWetRich
7448178,Dipsacus fullonum,OpenWetRich
7448179,Dipsacus fullonum,OpenWetRich
7450861,Dipsacus fullonum,OpenWetRich
7450862,Dipsacus fullonum,OpenWetRich
7450863,Dipsacus fullonum,OpenWetRich
7450864,Dipsacus fullonum,OpenWetRich
7450865,Dipsacus fullonum,OpenWetRich
7450866,Dipsacus fullonum,OpenWetRich
7450867,Dipsacus fullonum,OpenWetRich
7450868,Dipsacus fullonum,OpenWetRich
7450869,Dipsacus fullonum,OpenWetRich
7450870,Dipsacus fullonum,OpenWetRich
7450871,Dipsacus fullonum,OpenWetRich
7450872,Dipsacus fullonum,OpenWetRich
7450873,Dipsacus fullonum,OpenWetRich
7450874,Dipsacus fullonum,OpenWetRich
7450875,Dipsacus fullonum,OpenWetRich
7450876,Dipsacus fullonum,OpenWetRich
7450877,Dipsacus fullonum,OpenWetRich
7450878,Dipsacus fullonum,OpenWetRich
7450879,Dipsacus fullonum,OpenWetRich
7450880,Dipsacus fullonum,OpenWetRich
7453561,Dipsacus fullonum,OpenWetRich
7453562,Dipsacus fullonum,OpenWetRich
7453563,Dipsacus fullonum,OpenWetRich
