cell,species,Landuse
7607555,Dryopteris filix-mas,OpenWetRich
7607556,Dryopteris filix-mas,OpenWetRich
7610246,Dryopteris filix-mas,OpenWetRich
7610247,Dryopteris filix-mas,OpenWetRich
7610248,Dryopteris filix-mas,OpenWetRich
7610249,Dryopteris filix-mas,OpenWetRich
7610250,Dryopteris filix-mas,OpenWetRich
7610251,Dryopteris filix-mas,OpenWetRich
7610252,Dryopteris filix-mas,OpenWetRich
7610253,Dryopteris filix-mas,OpenWetRich
7610254,Dryopteris filix-mas,OpenWetRich
7610255,Dryopteris filix-mas,OpenWetRich
7610256,Dryopteris filix-mas,OpenWetRich
7610257,Dryopteris filix-mas,OpenWetRich
7610258,Dryopteris filix-mas,OpenWetRich
7610259,Dryopteris filix-mas,OpenWetRich
7610260,Dryopteris filix-mas,OpenWetRich
7610261,Dryopteris filix-mas,OpenWetRich
7610262,Dryopteris filix-mas,OpenWetRich
7610263,Dryopteris filix-mas,OpenWetRich
7610264,Dryopteris filix-mas,OpenWetRich
7610265,Dryopteris filix-mas,OpenWetRich
7612942,Dryopteris filix-mas,OpenWetRich
7612943,Dryopteris filix-mas,OpenWetRich
7612944,Dryopteris filix-mas,OpenWetRich
7612945,Dryopteris filix-mas,OpenWetRich
7612946,Dryopteris filix-mas,OpenWetRich
7612947,Dryopteris filix-mas,OpenWetRich
7612948,Dryopteris filix-mas,OpenWetRich
7612949,Dryopteris filix-mas,OpenWetRich
7612950,Dryopteris filix-mas,OpenWetRich
7612951,Dryopteris filix-mas,OpenWetRich
7612952,Dryopteris filix-mas,OpenWetRich
7612953,Dryopteris filix-mas,OpenWetRich
7612954,Dryopteris filix-mas,OpenWetRich
7612955,Dryopteris filix-mas,OpenWetRich
7612956,Dryopteris filix-mas,OpenWetRich
7612957,Dryopteris filix-mas,OpenWetRich
7612958,Dryopteris filix-mas,OpenWetRich
7612959,Dryopteris filix-mas,OpenWetRich
7612960,Dryopteris filix-mas,OpenWetRich
7612961,Dryopteris filix-mas,OpenWetRich
7612962,Dryopteris filix-mas,OpenWetRich
7612963,Dryopteris filix-mas,OpenWetRich
7612964,Dryopteris filix-mas,OpenWetRich
7612965,Dryopteris filix-mas,OpenWetRich
7612966,Dryopteris filix-mas,OpenWetRich
7612967,Dryopteris filix-mas,OpenWetRich
7612968,Dryopteris filix-mas,OpenWetRich
7612969,Dryopteris filix-mas,OpenWetRich
7615639,Dryopteris filix-mas,OpenWetRich
7615640,Dryopteris filix-mas,OpenWetRich
7615641,Dryopteris filix-mas,OpenWetRich
7615642,Dryopteris filix-mas,OpenWetRich
7615643,Dryopteris filix-mas,OpenWetRich
7615644,Dryopteris filix-mas,OpenWetRich
7615645,Dryopteris filix-mas,OpenWetRich
7615646,Dryopteris filix-mas,OpenWetRich
7615647,Dryopteris filix-mas,OpenWetRich
7615648,Dryopteris filix-mas,OpenWetRich
7615649,Dryopteris filix-mas,OpenWetRich
7615650,Dryopteris filix-mas,OpenWetRich
7615651,Dryopteris filix-mas,OpenWetRich
7615652,Dryopteris filix-mas,OpenWetRich
7615653,Dryopteris filix-mas,OpenWetRich
7615654,Dryopteris filix-mas,OpenWetRich
7615655,Dryopteris filix-mas,OpenWetRich
7615656,Dryopteris filix-mas,OpenWetRich
7615657,Dryopteris filix-mas,OpenWetRich
7615658,Dryopteris filix-mas,OpenWetRich
7615659,Dryopteris filix-mas,OpenWetRich
7615660,Dryopteris filix-mas,OpenWetRich
7618336,Dryopteris filix-mas,OpenWetRich
7618337,Dryopteris filix-mas,OpenWetRich
7618338,Dryopteris filix-mas,OpenWetRich
7618339,Dryopteris filix-mas,OpenWetRich
7618340,Dryopteris filix-mas,OpenWetRich
7618341,Dryopteris filix-mas,OpenWetRich
7618342,Dryopteris filix-mas,OpenWetRich
7618343,Dryopteris filix-mas,OpenWetRich
7618344,Dryopteris filix-mas,OpenWetRich
7618345,Dryopteris filix-mas,OpenWetRich
7618346,Dryopteris filix-mas,OpenWetRich
7618347,Dryopteris filix-mas,OpenWetRich
7618348,Dryopteris filix-mas,OpenWetRich
7618349,Dryopteris filix-mas,OpenWetRich
7618350,Dryopteris filix-mas,OpenWetRich
7618351,Dryopteris filix-mas,OpenWetRich
7618352,Dryopteris filix-mas,OpenWetRich
7618353,Dryopteris filix-mas,OpenWetRich
7618354,Dryopteris filix-mas,OpenWetRich
7618355,Dryopteris filix-mas,OpenWetRich
7618356,Dryopteris filix-mas,OpenWetRich
7618357,Dryopteris filix-mas,OpenWetRich
7618358,Dryopteris filix-mas,OpenWetRich
7618359,Dryopteris filix-mas,OpenWetRich
7618360,Dryopteris filix-mas,OpenWetRich
7621034,Dryopteris filix-mas,OpenWetRich
7621035,Dryopteris filix-mas,OpenWetRich
7621036,Dryopteris filix-mas,OpenWetRich
7621037,Dryopteris filix-mas,OpenWetRich
7621038,Dryopteris filix-mas,OpenWetRich
7621039,Dryopteris filix-mas,OpenWetRich
7621040,Dryopteris filix-mas,OpenWetRich
7621041,Dryopteris filix-mas,OpenWetRich
7621042,Dryopteris filix-mas,OpenWetRich
7621043,Dryopteris filix-mas,OpenWetRich
7621044,Dryopteris filix-mas,OpenWetRich
7621045,Dryopteris filix-mas,OpenWetRich
7621046,Dryopteris filix-mas,OpenWetRich
7621047,Dryopteris filix-mas,OpenWetRich
7621048,Dryopteris filix-mas,OpenWetRich
7621049,Dryopteris filix-mas,OpenWetRich
7621050,Dryopteris filix-mas,OpenWetRich
7621051,Dryopteris filix-mas,OpenWetRich
7621052,Dryopteris filix-mas,OpenWetRich
7621053,Dryopteris filix-mas,OpenWetRich
7621054,Dryopteris filix-mas,OpenWetRich
7621055,Dryopteris filix-mas,OpenWetRich
7621056,Dryopteris filix-mas,OpenWetRich
7621057,Dryopteris filix-mas,OpenWetRich
7621058,Dryopteris filix-mas,OpenWetRich
7621059,Dryopteris filix-mas,OpenWetRich
7621060,Dryopteris filix-mas,OpenWetRich
7623732,Dryopteris filix-mas,OpenWetRich
7623733,Dryopteris filix-mas,OpenWetRich
7623734,Dryopteris filix-mas,OpenWetRich
7623735,Dryopteris filix-mas,OpenWetRich
7623736,Dryopteris filix-mas,OpenWetRich
7623737,Dryopteris filix-mas,OpenWetRich
7623738,Dryopteris filix-mas,OpenWetRich
7623739,Dryopteris filix-mas,OpenWetRich
7623740,Dryopteris filix-mas,OpenWetRich
7623741,Dryopteris filix-mas,OpenWetRich
7623742,Dryopteris filix-mas,OpenWetRich
7623743,Dryopteris filix-mas,OpenWetRich
7623744,Dryopteris filix-mas,OpenWetRich
7623745,Dryopteris filix-mas,OpenWetRich
7623746,Dryopteris filix-mas,OpenWetRich
7623747,Dryopteris filix-mas,OpenWetRich
7623748,Dryopteris filix-mas,OpenWetRich
7623749,Dryopteris filix-mas,OpenWetRich
7623750,Dryopteris filix-mas,OpenWetRich
7623751,Dryopteris filix-mas,OpenWetRich
7623752,Dryopteris filix-mas,OpenWetRich
7623753,Dryopteris filix-mas,OpenWetRich
7623754,Dryopteris filix-mas,OpenWetRich
7623755,Dryopteris filix-mas,OpenWetRich
7623756,Dryopteris filix-mas,OpenWetRich
7623757,Dryopteris filix-mas,OpenWetRich
7623758,Dryopteris filix-mas,OpenWetRich
7623759,Dryopteris filix-mas,OpenWetRich
7623760,Dryopteris filix-mas,OpenWetRich
7626431,Dryopteris filix-mas,OpenWetRich
7626432,Dryopteris filix-mas,OpenWetRich
7626433,Dryopteris filix-mas,OpenWetRich
7626434,Dryopteris filix-mas,OpenWetRich
7626435,Dryopteris filix-mas,OpenWetRich
7626436,Dryopteris filix-mas,OpenWetRich
