cell,species,Landuse
7394159,Equisetum fluviatile,OpenWetRich
7394160,Equisetum fluviatile,OpenWetRich
7396855,Equisetum fluviatile,OpenWetRich
7396856,Equisetum fluviatile,OpenWetRich
7396857,Equisetum fluviatile,OpenWetRich
7396858,Equisetum fluviatile,OpenWetRich
7396859,Equisetum fluviatile,OpenWetRich
7396860,Equisetum fluviatile,OpenWetRich
7399561,Equisetum fluviatile,OpenWetRich
7399562,Equisetum fluviatile,OpenWetRich
7399563,Equisetum fluviatile,OpenWetRich
7399564,Equisetum fluviatile,OpenWetRich
7399565,Equisetum fluviatile,OpenWetRich
7399566,Equisetum fluviatile,OpenWetRich
7399567,Equisetum fluviatile,OpenWetRich
7399568,Equisetum fluviatile,OpenWetRich
7399569,Equisetum fluviatile,OpenWetRich
7399570,Equisetum fluviatile,OpenWetRich
7399571,Equisetum fluviatile,OpenWetRich
7399572,Equisetum fluviatile,OpenWetRich
7399573,Equisetum fluviatile,OpenWetRich
7399574,Equisetum fluviatile,OpenWetRich
7399575,Equisetum fluviatile,OpenWetRich
7399576,Equisetum fluviatile,OpenWetRich
7399577,Equisetum fluviatile,OpenWetRich
7399578,Equisetum fluviatile,OpenWetRich
7399579,Equisetum fluviatile,OpenWetRich
7399580,Equisetum fluviatile,OpenWetRich
7402261,Equisetum fluviatile,OpenWetRich
7402262,Equisetum fluviatile,OpenWetRich
7402263,Equisetum fluviatile,OpenWetRich
7402264,Equisetum fluviatile,OpenWetRich
7402265,Equisetum fluviatile,OpenWetRich
7402266,Equisetum fluviatile,OpenWetRich
7402267,Equisetum fluviatile,OpenWetRich
7402268,Equisetum fluviatile,OpenWetRich
7402269,Equisetum fluviatile,OpenWetRich
7402270,Equisetum fluviatile,OpenWetRich
7402271,Equisetum fluviatile,OpenWetRich
7402272,Equisetum fluviatile,OpenWetRich
7402273,Equisetum fluviatile,OpenWetRich
7402274,Equisetum fluviatile,OpenWetRich
7402275,Equisetum fluviatile,OpenWetRich
7402276,Equisetum fluviatile,OpenWetRich
7402277,Equisetum fluviatile,OpenWetRich
7402278,Equisetum fluviatile,OpenWetRich
7402279,Equisetum fluviatile,OpenWetRich
7402280,Equisetum fluviatile,OpenWetRich
7404961,Equisetum fluviatile,OpenWetRich
7404962,Equisetum fluviatile,OpenWetRich
7404963,Equisetum fluviatile,OpenWetRich
7404964,Equisetum fluviatile,OpenWetRich
7404965,Equisetum fluviatile,OpenWetRich
7404966,Equisetum fluviatile,OpenWetRich
7404967,Equisetum fluviatile,OpenWetRich
7404968,Equisetum fluviatile,OpenWetRich
7404969,Equisetum fluviatile,OpenWetRich
7404970,Equisetum fluviatile,OpenWetRich
7404971,Equisetum fluviatile,OpenWetRich
7404972,Equisetum fluviatile,OpenWetRich
7404973,Equisetum fluviatile,OpenWetRich
7404974,Equisetum fluviatile,OpenWetRich
7404975,Equisetum fluviatile,OpenWetRich
7404976,Equisetum fluviatile,OpenWetRich
7404977,Equisetum fluviatile,OpenWetRich
7404978,Equisetum fluviatile,OpenWetRich
7404979,Equisetum fluviatile,OpenWetRich
7404980,Equisetum fluviatile,OpenWetRich
7407661,Equisetum fluviatile,OpenWetRich
7407662,Equisetum fluviatile,OpenWetRich
7407663,Equisetum fluviatile,OpenWetRich
7407664,Equisetum fluviatile,OpenWetRich
7407665,Equisetum fluviatile,OpenWetRich
7407666,Equisetum fluviatile,OpenWetRich
7407667,Equisetum fluviatile,OpenWetRich
7407668,Equisetum fluviatile,OpenWetRich
7407669,Equisetum fluviatile,OpenWetRich
7407670,Equisetum fluviatile,OpenWetRich
7407671,Equisetum fluviatile,OpenWetRich
7407672,Equisetum fluviatile,OpenWetRich
7407673,Equisetum fluviatile,OpenWetRich
7407674,Equisetum fluviatile,OpenWetRich
7407675,Equisetum fluviatile,OpenWetRich
7407676,Equisetum fluviatile,OpenWetRich
7407677,Equisetum fluviatile,OpenWetRich
7407678,Equisetum fluviatile,OpenWetRich
7407679,Equisetum fluviatile,OpenWetRich
7407680,Equisetum fluviatile,OpenWetRich
7410361,Equisetum fluviatile,OpenWetRich
7410362,Equisetum fluviatile,OpenWetRich
7410363,Equisetum fluviatile,OpenWetRich
7410364,Equisetum fluviatile,OpenWetRich
7410365,Equisetum fluviatile,OpenWetRich
7410366,Equisetum fluviatile,OpenWetRich
7410367,Equisetum fluviatile,OpenWetRich
7410368,Equisetum fluviatile,OpenWetRich
7410369,Equisetum fluviatile,OpenWetRich
7410370,Equisetum fluviatile,OpenWetRich
7410371,Equisetum fluviatile,OpenWetRich
7410372,Equisetum fluviatile,OpenWetRich
7410373,Equisetum fluviatile,OpenWetRich
7410374,Equisetum fluviatile,OpenWetRich
7410375,Equisetum fluviatile,OpenWetRich
7410376,Equisetum fluviatile,OpenWetRich
7410377,Equisetum fluviatile,OpenWetRich
7410378,Equisetum fluviatile,OpenWetRich
7410379,Equisetum fluviatile,OpenWetRich
7410380,Equisetum fluviatile,OpenWetRich
7413061,Equisetum fluviatile,OpenWetRich
7413062,Equisetum fluviatile,OpenWetRich
7413063,Equisetum fluviatile,OpenWetRich
7413064,Equisetum fluviatile,OpenWetRich
7413065,Equisetum fluviatile,OpenWetRich
7413066,Equisetum fluviatile,OpenWetRich
7413067,Equisetum fluviatile,OpenWetRich
7413068,Equisetum fluviatile,OpenWetRich
7413069,Equisetum fluviatile,OpenWetRich
7413070,Equisetum fluviatile,OpenWetRich
7413071,Equisetum fluviatile,OpenWetRich
7413072,Equisetum fluviatile,OpenWetRich
7413073,Equisetum fluviatile,OpenWetRich
7413074,Equisetum fluviatile,OpenWetRich
7413075,Equisetum fluviatile,OpenWetRich
7413076,Equisetum fluviatile,OpenWetRich
7413077,Equisetum fluviatile,OpenWetRich
7413078,Equisetum fluviatile,OpenWetRich
7413079,Equisetum fluviatile,OpenWetRich
7413080,Equisetum fluviatile,OpenWetRich
7415761,Equisetum fluviatile,OpenWetRich
7415762,Equisetum fluviatile,OpenWetRich
7415763,Equisetum fluviatile,OpenWetRich
7415764,Equisetum fluviatile,OpenWetRich
7415765,Equisetum fluviatile,OpenWetRich
7415766,Equisetum fluviatile,OpenWetRich
7415767,Equisetum fluviatile,OpenWetRich
7415768,Equisetum fluviatile,OpenWetRich
7415769,Equisetum fluviatile,OpenWetRich
7415770,Equisetum fluviatile,OpenWetRich
7415771,Equisetum fluviatile,OpenWetRich
7415772,Equisetum fluviatile,OpenWetRich
7415773,Equisetum fluviatile,OpenWetRich
7415774,Equisetum fluviatile,OpenWetRich
7415775,Equisetum fluviatile,OpenWetRich
7415776,Equisetum fluviatile,OpenWetRich
7415777,Equisetum fluviatile,OpenWetRich
7415778,Equisetum fluviatile,OpenWetRich
7415779,Equisetum fluviatile,OpenWetRich
7415780,Equisetum fluviatile,OpenWetRich
7418461,Equisetum fluviatile,OpenWetRich
7418462,Equisetum fluviatile,OpenWetRich
7418463,Equisetum fluviatile,OpenWetRich
7418464,Equisetum fluviatile,OpenWetRich
7418465,Equisetum fluviatile,OpenWetRich
7418466,Equisetum fluviatile,OpenWetRich
7418467,Equisetum fluviatile,OpenWetRich
7418468,Equisetum fluviatile,OpenWetRich
7418469,Equisetum fluviatile,OpenWetRich
7418470,Equisetum fluviatile,OpenWetRich
7418471,Equisetum fluviatile,OpenWetRich
7418472,Equisetum fluviatile,OpenWetRich
7418473,Equisetum fluviatile,OpenWetRich
7418474,Equisetum fluviatile,OpenWetRich
7418475,Equisetum fluviatile,OpenWetRich
7418476,Equisetum fluviatile,OpenWetRich
7418477,Equisetum fluviatile,OpenWetRich
7418478,Equisetum fluviatile,OpenWetRich
7418479,Equisetum fluviatile,OpenWetRich
7418480,Equisetum fluviatile,OpenWetRich
7421161,Equisetum fluviatile,OpenWetRich
7421162,Equisetum fluviatile,OpenWetRich
7421163,Equisetum fluviatile,OpenWetRich
7421164,Equisetum fluviatile,OpenWetRich
7421165,Equisetum fluviatile,OpenWetRich
7421166,Equisetum fluviatile,OpenWetRich
7421167,Equisetum fluviatile,OpenWetRich
7421168,Equisetum fluviatile,OpenWetRich
7421169,Equisetum fluviatile,OpenWetRich
7421170,Equisetum fluviatile,OpenWetRich
7421171,Equisetum fluviatile,OpenWetRich
7421172,Equisetum fluviatile,OpenWetRich
7421173,Equisetum fluviatile,OpenWetRich
7421174,Equisetum fluviatile,OpenWetRich
7421175,Equisetum fluviatile,OpenWetRich
7421176,Equisetum fluviatile,OpenWetRich
7421177,Equisetum fluviatile,OpenWetRich
7421178,Equisetum fluviatile,OpenWetRich
7421179,Equisetum fluviatile,OpenWetRich
7421180,Equisetum fluviatile,OpenWetRich
7423861,Equisetum fluviatile,OpenWetRich
7423862,Equisetum fluviatile,OpenWetRich
7423863,Equisetum fluviatile,OpenWetRich
7423864,Equisetum fluviatile,OpenWetRich
7423865,Equisetum fluviatile,OpenWetRich
7423866,Equisetum fluviatile,OpenWetRich
7423867,Equisetum fluviatile,OpenWetRich
7423868,Equisetum fluviatile,OpenWetRich
7423869,Equisetum fluviatile,OpenWetRich
7423870,Equisetum fluviatile,OpenWetRich
7423871,Equisetum fluviatile,OpenWetRich
7423872,Equisetum fluviatile,OpenWetRich
7423873,Equisetum fluviatile,OpenWetRich
7423874,Equisetum fluviatile,OpenWetRich
7423875,Equisetum fluviatile,OpenWetRich
7423876,Equisetum fluviatile,OpenWetRich
