cell,species,Landuse
7410261,Equisetum palustre,OpenWetRich
7410262,Equisetum palustre,OpenWetRich
7410263,Equisetum palustre,OpenWetRich
7410264,Equisetum palustre,OpenWetRich
7412961,Equisetum palustre,OpenWetRich
7412962,Equisetum palustre,OpenWetRich
7412963,Equisetum palustre,OpenWetRich
7412964,Equisetum palustre,OpenWetRich
7412965,Equisetum palustre,OpenWetRich
7412966,Equisetum palustre,OpenWetRich
7412967,Equisetum palustre,OpenWetRich
7412968,Equisetum palustre,OpenWetRich
7415661,Equisetum palustre,OpenWetRich
7415662,Equisetum palustre,OpenWetRich
7415663,Equisetum palustre,OpenWetRich
7415664,Equisetum palustre,OpenWetRich
7415665,Equisetum palustre,OpenWetRich
7415666,Equisetum palustre,OpenWetRich
7415667,Equisetum palustre,OpenWetRich
7415668,Equisetum palustre,OpenWetRich
7415669,Equisetum palustre,OpenWetRich
7415670,Equisetum palustre,OpenWetRich
7418361,Equisetum palustre,OpenWetRich
7418362,Equisetum palustre,OpenWetRich
7418363,Equisetum palustre,OpenWetRich
7418364,Equisetum palustre,OpenWetRich
7418365,Equisetum palustre,OpenWetRich
7418366,Equisetum palustre,OpenWetRich
7418367,Equisetum palustre,OpenWetRich
7418368,Equisetum palustre,OpenWetRich
7418369,Equisetum palustre,OpenWetRich
7418370,Equisetum palustre,OpenWetRich
7418371,Equisetum palustre,OpenWetRich
7418372,Equisetum palustre,OpenWetRich
7418373,Equisetum palustre,OpenWetRich
7421061,Equisetum palustre,OpenWetRich
7421062,Equisetum palustre,OpenWetRich
7421063,Equisetum palustre,OpenWetRich
7421064,Equisetum palustre,OpenWetRich
7421065,Equisetum palustre,OpenWetRich
7421066,Equisetum palustre,OpenWetRich
7421067,Equisetum palustre,OpenWetRich
7421068,Equisetum palustre,OpenWetRich
7421069,Equisetum palustre,OpenWetRich
7421070,Equisetum palustre,OpenWetRich
7421071,Equisetum palustre,OpenWetRich
7421072,Equisetum palustre,OpenWetRich
7421073,Equisetum palustre,OpenWetRich
7421074,Equisetum palustre,OpenWetRich
7421075,Equisetum palustre,OpenWetRich
7423761,Equisetum palustre,OpenWetRich
7423762,Equisetum palustre,OpenWetRich
7423763,Equisetum palustre,OpenWetRich
7423764,Equisetum palustre,OpenWetRich
7423765,Equisetum palustre,OpenWetRich
7423766,Equisetum palustre,OpenWetRich
7423767,Equisetum palustre,OpenWetRich
7423768,Equisetum palustre,OpenWetRich
7423769,Equisetum palustre,OpenWetRich
7423770,Equisetum palustre,OpenWetRich
7423771,Equisetum palustre,OpenWetRich
7423772,Equisetum palustre,OpenWetRich
7423773,Equisetum palustre,OpenWetRich
7423774,Equisetum palustre,OpenWetRich
7423775,Equisetum palustre,OpenWetRich
7423776,Equisetum palustre,OpenWetRich
7423777,Equisetum palustre,OpenWetRich
7426461,Equisetum palustre,OpenWetRich
7426462,Equisetum palustre,OpenWetRich
7426463,Equisetum palustre,OpenWetRich
7426464,Equisetum palustre,OpenWetRich
7426465,Equisetum palustre,OpenWetRich
