cell,species,Landuse
7758360,Fragaria vesca,OpenWetRich
7761060,Fragaria vesca,OpenWetRich
7763759,Fragaria vesca,OpenWetRich
7763760,Fragaria vesca,OpenWetRich
7766459,Fragaria vesca,OpenWetRich
7766460,Fragaria vesca,OpenWetRich
7769159,Fragaria vesca,OpenWetRich
7769160,Fragaria vesca,OpenWetRich
7771858,Fragaria vesca,OpenWetRich
7771859,Fragaria vesca,OpenWetRich
7771860,Fragaria vesca,OpenWetRich
7774558,Fragaria vesca,OpenWetRich
7774559,Fragaria vesca,OpenWetRich
7774560,Fragaria vesca,OpenWetRich
7777258,Fragaria vesca,OpenWetRich
7777259,Fragaria vesca,OpenWetRich
7777260,Fragaria vesca,OpenWetRich
7779957,Fragaria vesca,OpenWetRich
7779958,Fragaria vesca,OpenWetRich
7779959,Fragaria vesca,OpenWetRich
7779960,Fragaria vesca,OpenWetRich
7782657,Fragaria vesca,OpenWetRich
7782658,Fragaria vesca,OpenWetRich
7782659,Fragaria vesca,OpenWetRich
7782660,Fragaria vesca,OpenWetRich
7785357,Fragaria vesca,OpenWetRich
7785358,Fragaria vesca,OpenWetRich
7785359,Fragaria vesca,OpenWetRich
7785360,Fragaria vesca,OpenWetRich
7788057,Fragaria vesca,OpenWetRich
7788058,Fragaria vesca,OpenWetRich
7788059,Fragaria vesca,OpenWetRich
7788060,Fragaria vesca,OpenWetRich
7790756,Fragaria vesca,OpenWetRich
7790757,Fragaria vesca,OpenWetRich
7790758,Fragaria vesca,OpenWetRich
7790759,Fragaria vesca,OpenWetRich
7790760,Fragaria vesca,OpenWetRich
7793456,Fragaria vesca,OpenWetRich
7793457,Fragaria vesca,OpenWetRich
7793458,Fragaria vesca,OpenWetRich
7793459,Fragaria vesca,OpenWetRich
7793460,Fragaria vesca,OpenWetRich
7796156,Fragaria vesca,OpenWetRich
7796157,Fragaria vesca,OpenWetRich
7796158,Fragaria vesca,OpenWetRich
7796159,Fragaria vesca,OpenWetRich
7796160,Fragaria vesca,OpenWetRich
7798856,Fragaria vesca,OpenWetRich
7798857,Fragaria vesca,OpenWetRich
7798858,Fragaria vesca,OpenWetRich
7798859,Fragaria vesca,OpenWetRich
7798860,Fragaria vesca,OpenWetRich
7801556,Fragaria vesca,OpenWetRich
7801557,Fragaria vesca,OpenWetRich
7801558,Fragaria vesca,OpenWetRich
7801559,Fragaria vesca,OpenWetRich
7801560,Fragaria vesca,OpenWetRich
7804256,Fragaria vesca,OpenWetRich
7804257,Fragaria vesca,OpenWetRich
7804258,Fragaria vesca,OpenWetRich
7804259,Fragaria vesca,OpenWetRich
7804260,Fragaria vesca,OpenWetRich
7806956,Fragaria vesca,OpenWetRich
7806957,Fragaria vesca,OpenWetRich
7806958,Fragaria vesca,OpenWetRich
7806959,Fragaria vesca,OpenWetRich
7806960,Fragaria vesca,OpenWetRich
