cell,species,Landuse
7580561,Heracleum sphondylium,OpenWetRich
7580562,Heracleum sphondylium,OpenWetRich
7580563,Heracleum sphondylium,OpenWetRich
7580564,Heracleum sphondylium,OpenWetRich
7580565,Heracleum sphondylium,OpenWetRich
7580566,Heracleum sphondylium,OpenWetRich
7580567,Heracleum sphondylium,OpenWetRich
7580568,Heracleum sphondylium,OpenWetRich
7580569,Heracleum sphondylium,OpenWetRich
7580570,Heracleum sphondylium,OpenWetRich
7580571,Heracleum sphondylium,OpenWetRich
7580572,Heracleum sphondylium,OpenWetRich
7580573,Heracleum sphondylium,OpenWetRich
7580574,Heracleum sphondylium,OpenWetRich
7580575,Heracleum sphondylium,OpenWetRich
7580576,Heracleum sphondylium,OpenWetRich
7580577,Heracleum sphondylium,OpenWetRich
7583257,Heracleum sphondylium,OpenWetRich
7583258,Heracleum sphondylium,OpenWetRich
7583259,Heracleum sphondylium,OpenWetRich
7583260,Heracleum sphondylium,OpenWetRich
7583261,Heracleum sphondylium,OpenWetRich
7583262,Heracleum sphondylium,OpenWetRich
7583263,Heracleum sphondylium,OpenWetRich
7583264,Heracleum sphondylium,OpenWetRich
7583265,Heracleum sphondylium,OpenWetRich
7583266,Heracleum sphondylium,OpenWetRich
7583267,Heracleum sphondylium,OpenWetRich
7583268,Heracleum sphondylium,OpenWetRich
7583269,Heracleum sphondylium,OpenWetRich
7583270,Heracleum sphondylium,OpenWetRich
7583271,Heracleum sphondylium,OpenWetRich
7583272,Heracleum sphondylium,OpenWetRich
7583273,Heracleum sphondylium,OpenWetRich
7583274,Heracleum sphondylium,OpenWetRich
7583275,Heracleum sphondylium,OpenWetRich
7583276,Heracleum sphondylium,OpenWetRich
7583277,Heracleum sphondylium,OpenWetRich
7583278,Heracleum sphondylium,OpenWetRich
7583279,Heracleum sphondylium,OpenWetRich
7583280,Heracleum sphondylium,OpenWetRich
7583281,Heracleum sphondylium,OpenWetRich
7585953,Heracleum sphondylium,OpenWetRich
7585954,Heracleum sphondylium,OpenWetRich
7585955,Heracleum sphondylium,OpenWetRich
7585956,Heracleum sphondylium,OpenWetRich
7585957,Heracleum sphondylium,OpenWetRich
7585958,Heracleum sphondylium,OpenWetRich
7585959,Heracleum sphondylium,OpenWetRich
7585960,Heracleum sphondylium,OpenWetRich
7585961,Heracleum sphondylium,OpenWetRich
7585962,Heracleum sphondylium,OpenWetRich
7585963,Heracleum sphondylium,OpenWetRich
7585964,Heracleum sphondylium,OpenWetRich
7585965,Heracleum sphondylium,OpenWetRich
7585966,Heracleum sphondylium,OpenWetRich
7585967,Heracleum sphondylium,OpenWetRich
7585968,Heracleum sphondylium,OpenWetRich
7585969,Heracleum sphondylium,OpenWetRich
7585970,Heracleum sphondylium,OpenWetRich
7585971,Heracleum sphondylium,OpenWetRich
7585972,Heracleum sphondylium,OpenWetRich
7585973,Heracleum sphondylium,OpenWetRich
7585974,Heracleum sphondylium,OpenWetRich
7585975,Heracleum sphondylium,OpenWetRich
7585976,Heracleum sphondylium,OpenWetRich
7585977,Heracleum sphondylium,OpenWetRich
7585978,Heracleum sphondylium,OpenWetRich
7585979,Heracleum sphondylium,OpenWetRich
7585980,Heracleum sphondylium,OpenWetRich
7585981,Heracleum sphondylium,OpenWetRich
7585982,Heracleum sphondylium,OpenWetRich
7585983,Heracleum sphondylium,OpenWetRich
7585984,Heracleum sphondylium,OpenWetRich
7585985,Heracleum sphondylium,OpenWetRich
7588651,Heracleum sphondylium,OpenWetRich
7588652,Heracleum sphondylium,OpenWetRich
7588653,Heracleum sphondylium,OpenWetRich
7588654,Heracleum sphondylium,OpenWetRich
7588655,Heracleum sphondylium,OpenWetRich
7588656,Heracleum sphondylium,OpenWetRich
7588657,Heracleum sphondylium,OpenWetRich
7588658,Heracleum sphondylium,OpenWetRich
7588659,Heracleum sphondylium,OpenWetRich
7588660,Heracleum sphondylium,OpenWetRich
7588661,Heracleum sphondylium,OpenWetRich
7588662,Heracleum sphondylium,OpenWetRich
