cell,species,Landuse
8322998,Lycopus europaeus,OpenWetRich
8322999,Lycopus europaeus,OpenWetRich
8323000,Lycopus europaeus,OpenWetRich
8325694,Lycopus europaeus,OpenWetRich
8325695,Lycopus europaeus,OpenWetRich
8325696,Lycopus europaeus,OpenWetRich
8325697,Lycopus europaeus,OpenWetRich
8325698,Lycopus europaeus,OpenWetRich
8325699,Lycopus europaeus,OpenWetRich
8325700,Lycopus europaeus,OpenWetRich
8328390,Lycopus europaeus,OpenWetRich
8328391,Lycopus europaeus,OpenWetRich
8328392,Lycopus europaeus,OpenWetRich
8328393,Lycopus europaeus,OpenWetRich
8328394,Lycopus europaeus,OpenWetRich
8328395,Lycopus europaeus,OpenWetRich
8328396,Lycopus europaeus,OpenWetRich
8328397,Lycopus europaeus,OpenWetRich
8328398,Lycopus europaeus,OpenWetRich
8328399,Lycopus europaeus,OpenWetRich
8328400,Lycopus europaeus,OpenWetRich
8331087,Lycopus europaeus,OpenWetRich
8331088,Lycopus europaeus,OpenWetRich
8331089,Lycopus europaeus,OpenWetRich
8331090,Lycopus europaeus,OpenWetRich
8331091,Lycopus europaeus,OpenWetRich
8331092,Lycopus europaeus,OpenWetRich
8331093,Lycopus europaeus,OpenWetRich
8331094,Lycopus europaeus,OpenWetRich
8331095,Lycopus europaeus,OpenWetRich
8331096,Lycopus europaeus,OpenWetRich
8331097,Lycopus europaeus,OpenWetRich
8331098,Lycopus europaeus,OpenWetRich
8331099,Lycopus europaeus,OpenWetRich
8331100,Lycopus europaeus,OpenWetRich
8333785,Lycopus europaeus,OpenWetRich
8333786,Lycopus europaeus,OpenWetRich
8333787,Lycopus europaeus,OpenWetRich
8333788,Lycopus europaeus,OpenWetRich
8333789,Lycopus europaeus,OpenWetRich
8333790,Lycopus europaeus,OpenWetRich
8333791,Lycopus europaeus,OpenWetRich
8333792,Lycopus europaeus,OpenWetRich
8333793,Lycopus europaeus,OpenWetRich
8333794,Lycopus europaeus,OpenWetRich
8333795,Lycopus europaeus,OpenWetRich
8333796,Lycopus europaeus,OpenWetRich
8333797,Lycopus europaeus,OpenWetRich
8333798,Lycopus europaeus,OpenWetRich
8333799,Lycopus europaeus,OpenWetRich
8333800,Lycopus europaeus,OpenWetRich
8336483,Lycopus europaeus,OpenWetRich
8336484,Lycopus europaeus,OpenWetRich
8336485,Lycopus europaeus,OpenWetRich
8336486,Lycopus europaeus,OpenWetRich
8336487,Lycopus europaeus,OpenWetRich
8336488,Lycopus europaeus,OpenWetRich
8336489,Lycopus europaeus,OpenWetRich
8336490,Lycopus europaeus,OpenWetRich
8336491,Lycopus europaeus,OpenWetRich
8336492,Lycopus europaeus,OpenWetRich
8336493,Lycopus europaeus,OpenWetRich
8336494,Lycopus europaeus,OpenWetRich
8336495,Lycopus europaeus,OpenWetRich
8336496,Lycopus europaeus,OpenWetRich
8336497,Lycopus europaeus,OpenWetRich
8336498,Lycopus europaeus,OpenWetRich
8336499,Lycopus europaeus,OpenWetRich
8336500,Lycopus europaeus,OpenWetRich
8339181,Lycopus europaeus,OpenWetRich
8339182,Lycopus europaeus,OpenWetRich
8339183,Lycopus europaeus,OpenWetRich
8339184,Lycopus europaeus,OpenWetRich
8339185,Lycopus europaeus,OpenWetRich
8339186,Lycopus europaeus,OpenWetRich
8339187,Lycopus europaeus,OpenWetRich
8339188,Lycopus europaeus,OpenWetRich
8339189,Lycopus europaeus,OpenWetRich
8339190,Lycopus europaeus,OpenWetRich
8339191,Lycopus europaeus,OpenWetRich
8339192,Lycopus europaeus,OpenWetRich
8339193,Lycopus europaeus,OpenWetRich
8339194,Lycopus europaeus,OpenWetRich
8339195,Lycopus europaeus,OpenWetRich
8339196,Lycopus europaeus,OpenWetRich
8339197,Lycopus europaeus,OpenWetRich
8339198,Lycopus europaeus,OpenWetRich
8339199,Lycopus europaeus,OpenWetRich
8339200,Lycopus europaeus,OpenWetRich
8341881,Lycopus europaeus,OpenWetRich
8341882,Lycopus europaeus,OpenWetRich
8341883,Lycopus europaeus,OpenWetRich
8341884,Lycopus europaeus,OpenWetRich
8341885,Lycopus europaeus,OpenWetRich
8341886,Lycopus europaeus,OpenWetRich
8341887,Lycopus europaeus,OpenWetRich
8341888,Lycopus europaeus,OpenWetRich
8341889,Lycopus europaeus,OpenWetRich
8341890,Lycopus europaeus,OpenWetRich
8341891,Lycopus europaeus,OpenWetRich
8341892,Lycopus europaeus,OpenWetRich
8341893,Lycopus europaeus,OpenWetRich
8341894,Lycopus europaeus,OpenWetRich
8341895,Lycopus europaeus,OpenWetRich
8341896,Lycopus europaeus,OpenWetRich
8341897,Lycopus europaeus,OpenWetRich
8341898,Lycopus europaeus,OpenWetRich
8341899,Lycopus europaeus,OpenWetRich
8341900,Lycopus europaeus,OpenWetRich
8344581,Lycopus europaeus,OpenWetRich
8344582,Lycopus europaeus,OpenWetRich
8344583,Lycopus europaeus,OpenWetRich
8344584,Lycopus europaeus,OpenWetRich
8344585,Lycopus europaeus,OpenWetRich
8344586,Lycopus europaeus,OpenWetRich
8344587,Lycopus europaeus,OpenWetRich
8344588,Lycopus europaeus,OpenWetRich
8344589,Lycopus europaeus,OpenWetRich
8344590,Lycopus europaeus,OpenWetRich
8344591,Lycopus europaeus,OpenWetRich
8344592,Lycopus europaeus,OpenWetRich
8344593,Lycopus europaeus,OpenWetRich
8344594,Lycopus europaeus,OpenWetRich
8344595,Lycopus europaeus,OpenWetRich
8344596,Lycopus europaeus,OpenWetRich
8344597,Lycopus europaeus,OpenWetRich
8344598,Lycopus europaeus,OpenWetRich
8344599,Lycopus europaeus,OpenWetRich
8344600,Lycopus europaeus,OpenWetRich
8347281,Lycopus europaeus,OpenWetRich
8347282,Lycopus europaeus,OpenWetRich
8347283,Lycopus europaeus,OpenWetRich
8347284,Lycopus europaeus,OpenWetRich
8347285,Lycopus europaeus,OpenWetRich
8347286,Lycopus europaeus,OpenWetRich
8347287,Lycopus europaeus,OpenWetRich
8347288,Lycopus europaeus,OpenWetRich
8347289,Lycopus europaeus,OpenWetRich
8347290,Lycopus europaeus,OpenWetRich
8347291,Lycopus europaeus,OpenWetRich
8347292,Lycopus europaeus,OpenWetRich
8347293,Lycopus europaeus,OpenWetRich
8347294,Lycopus europaeus,OpenWetRich
8347295,Lycopus europaeus,OpenWetRich
8347296,Lycopus europaeus,OpenWetRich
8347297,Lycopus europaeus,OpenWetRich
8347298,Lycopus europaeus,OpenWetRich
8347299,Lycopus europaeus,OpenWetRich
8347300,Lycopus europaeus,OpenWetRich
8349981,Lycopus europaeus,OpenWetRich
8349982,Lycopus europaeus,OpenWetRich
8349983,Lycopus europaeus,OpenWetRich
8349984,Lycopus europaeus,OpenWetRich
8349985,Lycopus europaeus,OpenWetRich
8349986,Lycopus europaeus,OpenWetRich
8349987,Lycopus europaeus,OpenWetRich
8349988,Lycopus europaeus,OpenWetRich
8349989,Lycopus europaeus,OpenWetRich
8349990,Lycopus europaeus,OpenWetRich
8349991,Lycopus europaeus,OpenWetRich
8349992,Lycopus europaeus,OpenWetRich
8349993,Lycopus europaeus,OpenWetRich
8349994,Lycopus europaeus,OpenWetRich
8349995,Lycopus europaeus,OpenWetRich
8349996,Lycopus europaeus,OpenWetRich
8349997,Lycopus europaeus,OpenWetRich
8349998,Lycopus europaeus,OpenWetRich
8349999,Lycopus europaeus,OpenWetRich
8350000,Lycopus europaeus,OpenWetRich
8352681,Lycopus europaeus,OpenWetRich
8352682,Lycopus europaeus,OpenWetRich
8352683,Lycopus europaeus,OpenWetRich
