cell,species,Landuse
7693783,Medicago sativa,OpenWetRich
7693784,Medicago sativa,OpenWetRich
7693785,Medicago sativa,OpenWetRich
7693786,Medicago sativa,OpenWetRich
7693787,Medicago sativa,OpenWetRich
7693788,Medicago sativa,OpenWetRich
7693789,Medicago sativa,OpenWetRich
7693790,Medicago sativa,OpenWetRich
7693791,Medicago sativa,OpenWetRich
7693792,Medicago sativa,OpenWetRich
7693793,Medicago sativa,OpenWetRich
7693794,Medicago sativa,OpenWetRich
7693795,Medicago sativa,OpenWetRich
7693796,Medicago sativa,OpenWetRich
7693797,Medicago sativa,OpenWetRich
7693798,Medicago sativa,OpenWetRich
7693799,Medicago sativa,OpenWetRich
7696478,Medicago sativa,OpenWetRich
7696479,Medicago sativa,OpenWetRich
7696480,Medicago sativa,OpenWetRich
7696481,Medicago sativa,OpenWetRich
7696482,Medicago sativa,OpenWetRich
7696483,Medicago sativa,OpenWetRich
7696484,Medicago sativa,OpenWetRich
7696485,Medicago sativa,OpenWetRich
7696486,Medicago sativa,OpenWetRich
7696487,Medicago sativa,OpenWetRich
7696488,Medicago sativa,OpenWetRich
7696489,Medicago sativa,OpenWetRich
7696490,Medicago sativa,OpenWetRich
7696491,Medicago sativa,OpenWetRich
7696492,Medicago sativa,OpenWetRich
7696493,Medicago sativa,OpenWetRich
7696494,Medicago sativa,OpenWetRich
7696495,Medicago sativa,OpenWetRich
7696496,Medicago sativa,OpenWetRich
7696497,Medicago sativa,OpenWetRich
7696498,Medicago sativa,OpenWetRich
7696499,Medicago sativa,OpenWetRich
7696500,Medicago sativa,OpenWetRich
7696501,Medicago sativa,OpenWetRich
7696502,Medicago sativa,OpenWetRich
7696503,Medicago sativa,OpenWetRich
7699175,Medicago sativa,OpenWetRich
7699176,Medicago sativa,OpenWetRich
7699177,Medicago sativa,OpenWetRich
7699178,Medicago sativa,OpenWetRich
7699179,Medicago sativa,OpenWetRich
7699180,Medicago sativa,OpenWetRich
7699181,Medicago sativa,OpenWetRich
7699182,Medicago sativa,OpenWetRich
7699183,Medicago sativa,OpenWetRich
7699184,Medicago sativa,OpenWetRich
7699185,Medicago sativa,OpenWetRich
7699186,Medicago sativa,OpenWetRich
7699187,Medicago sativa,OpenWetRich
7699188,Medicago sativa,OpenWetRich
7699189,Medicago sativa,OpenWetRich
7699190,Medicago sativa,OpenWetRich
7699191,Medicago sativa,OpenWetRich
7699192,Medicago sativa,OpenWetRich
7699193,Medicago sativa,OpenWetRich
7699194,Medicago sativa,OpenWetRich
7699195,Medicago sativa,OpenWetRich
7699196,Medicago sativa,OpenWetRich
7699197,Medicago sativa,OpenWetRich
7699198,Medicago sativa,OpenWetRich
7699199,Medicago sativa,OpenWetRich
7699200,Medicago sativa,OpenWetRich
7699201,Medicago sativa,OpenWetRich
7699202,Medicago sativa,OpenWetRich
7699203,Medicago sativa,OpenWetRich
7699204,Medicago sativa,OpenWetRich
7699205,Medicago sativa,OpenWetRich
7699206,Medicago sativa,OpenWetRich
7699207,Medicago sativa,OpenWetRich
7701873,Medicago sativa,OpenWetRich
7701874,Medicago sativa,OpenWetRich
7701875,Medicago sativa,OpenWetRich
7701876,Medicago sativa,OpenWetRich
7701877,Medicago sativa,OpenWetRich
7701878,Medicago sativa,OpenWetRich
7701879,Medicago sativa,OpenWetRich
7701880,Medicago sativa,OpenWetRich
7701881,Medicago sativa,OpenWetRich
7701882,Medicago sativa,OpenWetRich
7701883,Medicago sativa,OpenWetRich
7701884,Medicago sativa,OpenWetRich
7701885,Medicago sativa,OpenWetRich
7701886,Medicago sativa,OpenWetRich
7701887,Medicago sativa,OpenWetRich
7701888,Medicago sativa,OpenWetRich
7701889,Medicago sativa,OpenWetRich
7701890,Medicago sativa,OpenWetRich
7701891,Medicago sativa,OpenWetRich
7701892,Medicago sativa,OpenWetRich
7701893,Medicago sativa,OpenWetRich
7701894,Medicago sativa,OpenWetRich
7701895,Medicago sativa,OpenWetRich
7701896,Medicago sativa,OpenWetRich
7701897,Medicago sativa,OpenWetRich
7701898,Medicago sativa,OpenWetRich
7701899,Medicago sativa,OpenWetRich
7701900,Medicago sativa,OpenWetRich
7701901,Medicago sativa,OpenWetRich
7701902,Medicago sativa,OpenWetRich
7701903,Medicago sativa,OpenWetRich
7701904,Medicago sativa,OpenWetRich
7701905,Medicago sativa,OpenWetRich
7701906,Medicago sativa,OpenWetRich
7701907,Medicago sativa,OpenWetRich
7701908,Medicago sativa,OpenWetRich
7701909,Medicago sativa,OpenWetRich
7704570,Medicago sativa,OpenWetRich
7704571,Medicago sativa,OpenWetRich
7704572,Medicago sativa,OpenWetRich
7704573,Medicago sativa,OpenWetRich
7704574,Medicago sativa,OpenWetRich
7704575,Medicago sativa,OpenWetRich
7704576,Medicago sativa,OpenWetRich
7704577,Medicago sativa,OpenWetRich
7704578,Medicago sativa,OpenWetRich
7704579,Medicago sativa,OpenWetRich
7704580,Medicago sativa,OpenWetRich
7704581,Medicago sativa,OpenWetRich
7704582,Medicago sativa,OpenWetRich
7704583,Medicago sativa,OpenWetRich
7704584,Medicago sativa,OpenWetRich
7704585,Medicago sativa,OpenWetRich
7704586,Medicago sativa,OpenWetRich
7704587,Medicago sativa,OpenWetRich
7704588,Medicago sativa,OpenWetRich
7704589,Medicago sativa,OpenWetRich
7704590,Medicago sativa,OpenWetRich
7704591,Medicago sativa,OpenWetRich
7704592,Medicago sativa,OpenWetRich
7704593,Medicago sativa,OpenWetRich
7704594,Medicago sativa,OpenWetRich
7704595,Medicago sativa,OpenWetRich
7704596,Medicago sativa,OpenWetRich
7704597,Medicago sativa,OpenWetRich
7704598,Medicago sativa,OpenWetRich
7704599,Medicago sativa,OpenWetRich
7704600,Medicago sativa,OpenWetRich
7704601,Medicago sativa,OpenWetRich
7704602,Medicago sativa,OpenWetRich
7704603,Medicago sativa,OpenWetRich
7704604,Medicago sativa,OpenWetRich
7704605,Medicago sativa,OpenWetRich
7704606,Medicago sativa,OpenWetRich
7704607,Medicago sativa,OpenWetRich
7704608,Medicago sativa,OpenWetRich
7704609,Medicago sativa,OpenWetRich
7704610,Medicago sativa,OpenWetRich
7704611,Medicago sativa,OpenWetRich
7704612,Medicago sativa,OpenWetRich
7707268,Medicago sativa,OpenWetRich
7707269,Medicago sativa,OpenWetRich
7707270,Medicago sativa,OpenWetRich
7707271,Medicago sativa,OpenWetRich
7707272,Medicago sativa,OpenWetRich
7707273,Medicago sativa,OpenWetRich
7707274,Medicago sativa,OpenWetRich
7707275,Medicago sativa,OpenWetRich
7707276,Medicago sativa,OpenWetRich
7707277,Medicago sativa,OpenWetRich
7707278,Medicago sativa,OpenWetRich
7707279,Medicago sativa,OpenWetRich
7707280,Medicago sativa,OpenWetRich
7707281,Medicago sativa,OpenWetRich
7707282,Medicago sativa,OpenWetRich
7707283,Medicago sativa,OpenWetRich
7707284,Medicago sativa,OpenWetRich
7707285,Medicago sativa,OpenWetRich
7707286,Medicago sativa,OpenWetRich
7707287,Medicago sativa,OpenWetRich
7707288,Medicago sativa,OpenWetRich
7707289,Medicago sativa,OpenWetRich
7707290,Medicago sativa,OpenWetRich
7707291,Medicago sativa,OpenWetRich
7707292,Medicago sativa,OpenWetRich
7707293,Medicago sativa,OpenWetRich
7707294,Medicago sativa,OpenWetRich
7707295,Medicago sativa,OpenWetRich
7707296,Medicago sativa,OpenWetRich
7707297,Medicago sativa,OpenWetRich
7707298,Medicago sativa,OpenWetRich
7707299,Medicago sativa,OpenWetRich
7707300,Medicago sativa,OpenWetRich
7707301,Medicago sativa,OpenWetRich
7707302,Medicago sativa,OpenWetRich
7707303,Medicago sativa,OpenWetRich
7707304,Medicago sativa,OpenWetRich
7707305,Medicago sativa,OpenWetRich
7707306,Medicago sativa,OpenWetRich
7707307,Medicago sativa,OpenWetRich
7707308,Medicago sativa,OpenWetRich
7707309,Medicago sativa,OpenWetRich
7707310,Medicago sativa,OpenWetRich
7707311,Medicago sativa,OpenWetRich
7707312,Medicago sativa,OpenWetRich
7707313,Medicago sativa,OpenWetRich
7707314,Medicago sativa,OpenWetRich
7709966,Medicago sativa,OpenWetRich
7709967,Medicago sativa,OpenWetRich
7709968,Medicago sativa,OpenWetRich
7709969,Medicago sativa,OpenWetRich
7709970,Medicago sativa,OpenWetRich
7709971,Medicago sativa,OpenWetRich
7709972,Medicago sativa,OpenWetRich
7709973,Medicago sativa,OpenWetRich
7709974,Medicago sativa,OpenWetRich
7709975,Medicago sativa,OpenWetRich
7709976,Medicago sativa,OpenWetRich
7709977,Medicago sativa,OpenWetRich
7709978,Medicago sativa,OpenWetRich
7709979,Medicago sativa,OpenWetRich
7709980,Medicago sativa,OpenWetRich
7709981,Medicago sativa,OpenWetRich
7709982,Medicago sativa,OpenWetRich
7709983,Medicago sativa,OpenWetRich
7709984,Medicago sativa,OpenWetRich
7709985,Medicago sativa,OpenWetRich
7709986,Medicago sativa,OpenWetRich
7709987,Medicago sativa,OpenWetRich
7709988,Medicago sativa,OpenWetRich
7709989,Medicago sativa,OpenWetRich
7709990,Medicago sativa,OpenWetRich
7709991,Medicago sativa,OpenWetRich
