cell,species,Landuse
7391400,Stellaria graminea,OpenWetRich
7394097,Stellaria graminea,OpenWetRich
7394098,Stellaria graminea,OpenWetRich
7394099,Stellaria graminea,OpenWetRich
7394100,Stellaria graminea,OpenWetRich
7396795,Stellaria graminea,OpenWetRich
7396796,Stellaria graminea,OpenWetRich
7396797,Stellaria graminea,OpenWetRich
7396798,Stellaria graminea,OpenWetRich
7396799,Stellaria graminea,OpenWetRich
7396800,Stellaria graminea,OpenWetRich
7396841,Stellaria graminea,OpenWetRich
7396842,Stellaria graminea,OpenWetRich
7399494,Stellaria graminea,OpenWetRich
7399495,Stellaria graminea,OpenWetRich
7399496,Stellaria graminea,OpenWetRich
7399497,Stellaria graminea,OpenWetRich
7399498,Stellaria graminea,OpenWetRich
7399499,Stellaria graminea,OpenWetRich
7399500,Stellaria graminea,OpenWetRich
7402192,Stellaria graminea,OpenWetRich
7402193,Stellaria graminea,OpenWetRich
7402194,Stellaria graminea,OpenWetRich
7402195,Stellaria graminea,OpenWetRich
7402196,Stellaria graminea,OpenWetRich
7402197,Stellaria graminea,OpenWetRich
7402198,Stellaria graminea,OpenWetRich
7402199,Stellaria graminea,OpenWetRich
7402200,Stellaria graminea,OpenWetRich
7404891,Stellaria graminea,OpenWetRich
7404892,Stellaria graminea,OpenWetRich
7404893,Stellaria graminea,OpenWetRich
7404894,Stellaria graminea,OpenWetRich
7404895,Stellaria graminea,OpenWetRich
7404896,Stellaria graminea,OpenWetRich
7404897,Stellaria graminea,OpenWetRich
7404898,Stellaria graminea,OpenWetRich
7404899,Stellaria graminea,OpenWetRich
7404900,Stellaria graminea,OpenWetRich
7407589,Stellaria graminea,OpenWetRich
7407590,Stellaria graminea,OpenWetRich
7407591,Stellaria graminea,OpenWetRich
7407592,Stellaria graminea,OpenWetRich
7407593,Stellaria graminea,OpenWetRich
7407594,Stellaria graminea,OpenWetRich
7407595,Stellaria graminea,OpenWetRich
7407596,Stellaria graminea,OpenWetRich
7407597,Stellaria graminea,OpenWetRich
7407598,Stellaria graminea,OpenWetRich
7407599,Stellaria graminea,OpenWetRich
7407600,Stellaria graminea,OpenWetRich
7410288,Stellaria graminea,OpenWetRich
7410289,Stellaria graminea,OpenWetRich
7410290,Stellaria graminea,OpenWetRich
7410291,Stellaria graminea,OpenWetRich
7410292,Stellaria graminea,OpenWetRich
7410293,Stellaria graminea,OpenWetRich
7410294,Stellaria graminea,OpenWetRich
7410295,Stellaria graminea,OpenWetRich
7410296,Stellaria graminea,OpenWetRich
7410297,Stellaria graminea,OpenWetRich
7410298,Stellaria graminea,OpenWetRich
7410299,Stellaria graminea,OpenWetRich
7410300,Stellaria graminea,OpenWetRich
7412987,Stellaria graminea,OpenWetRich
7412988,Stellaria graminea,OpenWetRich
7412989,Stellaria graminea,OpenWetRich
