cell,species,Landuse
7410380,Syringa vulgaris,OpenWetRich
7413079,Syringa vulgaris,OpenWetRich
7413080,Syringa vulgaris,OpenWetRich
7415777,Syringa vulgaris,OpenWetRich
7415778,Syringa vulgaris,OpenWetRich
7415779,Syringa vulgaris,OpenWetRich
7415780,Syringa vulgaris,OpenWetRich
7418476,Syringa vulgaris,OpenWetRich
7418477,Syringa vulgaris,OpenWetRich
7418478,Syringa vulgaris,OpenWetRich
7418479,Syringa vulgaris,OpenWetRich
7418480,Syringa vulgaris,OpenWetRich
7421175,Syringa vulgaris,OpenWetRich
7421176,Syringa vulgaris,OpenWetRich
7421177,Syringa vulgaris,OpenWetRich
7421178,Syringa vulgaris,OpenWetRich
7421179,Syringa vulgaris,OpenWetRich
7421180,Syringa vulgaris,OpenWetRich
7423874,Syringa vulgaris,OpenWetRich
7423875,Syringa vulgaris,OpenWetRich
7423876,Syringa vulgaris,OpenWetRich
7423877,Syringa vulgaris,OpenWetRich
7423878,Syringa vulgaris,OpenWetRich
7423879,Syringa vulgaris,OpenWetRich
7423880,Syringa vulgaris,OpenWetRich
7426573,Syringa vulgaris,OpenWetRich
7426574,Syringa vulgaris,OpenWetRich
7426575,Syringa vulgaris,OpenWetRich
7426576,Syringa vulgaris,OpenWetRich
7426577,Syringa vulgaris,OpenWetRich
7426578,Syringa vulgaris,OpenWetRich
7426579,Syringa vulgaris,OpenWetRich
7426580,Syringa vulgaris,OpenWetRich
7429271,Syringa vulgaris,OpenWetRich
7429272,Syringa vulgaris,OpenWetRich
7429273,Syringa vulgaris,OpenWetRich
7429274,Syringa vulgaris,OpenWetRich
7429275,Syringa vulgaris,OpenWetRich
7429276,Syringa vulgaris,OpenWetRich
7429277,Syringa vulgaris,OpenWetRich
7429278,Syringa vulgaris,OpenWetRich
7429279,Syringa vulgaris,OpenWetRich
7429280,Syringa vulgaris,OpenWetRich
7429341,Syringa vulgaris,OpenWetRich
7431970,Syringa vulgaris,OpenWetRich
7431971,Syringa vulgaris,OpenWetRich
7431972,Syringa vulgaris,OpenWetRich
7431973,Syringa vulgaris,OpenWetRich
7431974,Syringa vulgaris,OpenWetRich
7431975,Syringa vulgaris,OpenWetRich
7431976,Syringa vulgaris,OpenWetRich
7431977,Syringa vulgaris,OpenWetRich
7431978,Syringa vulgaris,OpenWetRich
7431979,Syringa vulgaris,OpenWetRich
